equipe,player_id,player_name,player_country_code,age,positions,matches_played,min,gls,ast,xg,xag,pk_made,pk_att,yellow_cards,red_cards,carries_prog,passes_prog,sh,sot,avg_sh_dist,fk_sh,npxg_per_sh,pass_cmp,pass_att,pass_ttl_dist,pass_cmp_s,pass_att_s,pass_cmp_m,pass_att_m,pass_cmp_l,pass_att_l,xa,pass_prog,pass_prog_ttl_dist,key_passes,pass_fthird,pass_opp_box,cross_opp_box,pass_live,pass_dead,pass_fk,through_balls,switches,crosses,pass_offside,pass_blocked,throw_ins,ck,ck_in_swinger,ck_out_swinger,ck_straight,ttl_sca,pass_live_sca,pass_dead_sca,take_on_sca,sh_sca,fld_sca,def_sca,gca,pass_live_gca,pass_dead_gca,take_on_gca,sh_gca,fld_gca,def_gca,tkl,tkl_won,tkl_def_third,tkl_mid_third,tkl_att_third,tkl_drb,tkl_drb_att,blocks,sh_blocked,int,clearances,def_error,touches,touch_def_box,touch_def_third,touch_mid_third,touch_fthird,touch_opp_box,take_on_att,take_on_suc,take_on_tkld,carries,ttl_carries_dist,ttl_carries_prog_dist,carries_fthird,carries_opp_box,carries_miscontrolled,carries_dispossessed,pass_recvd,pass_prog_rcvd,second_yellow_cards,fls_com,fls_drawn,offside,pk_won,pk_conceded,og,ball_recov,air_dual_won,air_dual_lost
Le Havre,d4e93bab,Daler Kuzyaev,RUS,31.0,MF,12,567.0,1.0,0.0,0.2,0.6,0.0,0.0,1.0,0.0,4.0,32.0,4.0,3.0,22.3,0.0,0.05,211.0,260.0,3222.0,116.0,133.0,74.0,94.0,12.0,21.0,0.7,32.0,949.0,2.0,12.0,3.0,0.0,253.0,7.0,5.0,1.0,1.0,6.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,7.0,4.0,2.0,2.0,9.0,7.0,4.0,9.0,8.0,0.0,317.0,16.0,102.0,156.0,60.0,4.0,3.0,2.0,1.0,140.0,628.0,317.0,3.0,0.0,5.0,2.0,199.0,9.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,27.0,7.0,4.0
Reims,fd01216a,John Joe,IRL,20.0,MF,13,545.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,6.0,14.0,8.0,1.0,24.2,0.0,0.02,165.0,223.0,2681.0,78.0,93.0,72.0,84.0,8.0,22.0,0.2,14.0,557.0,1.0,12.0,2.0,0.0,215.0,5.0,4.0,0.0,1.0,5.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,11.0,10.0,3.0,7.0,19.0,11.0,2.0,6.0,9.0,0.0,310.0,13.0,96.0,150.0,75.0,6.0,18.0,6.0,11.0,150.0,873.0,429.0,7.0,1.0,5.0,9.0,173.0,9.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,31.0,10.0,13.0
Rennes,424cbbb3,Mohamed Meité,FRA,16.0,FW,12,544.0,2.0,0.0,2.5,0.6,0.0,0.0,0.0,0.0,8.0,6.0,15.0,5.0,10.8,0.0,0.16,62.0,94.0,781.0,36.0,51.0,12.0,21.0,5.0,6.0,0.4,6.0,184.0,5.0,3.0,3.0,0.0,88.0,6.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,155.0,4.0,9.0,66.0,81.0,29.0,11.0,1.0,9.0,100.0,440.0,190.0,5.0,5.0,21.0,17.0,126.0,37.0,0.0,14.0,8.0,4.0,0.0,0.0,0.0,5.0,15.0,11.0
Strasbourg,c393a6c4,Andrew Omobamidele,IRL,22.0,DF,10,539.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,367.0,390.0,6665.0,127.0,133.0,221.0,231.0,19.0,26.0,0.0,9.0,2470.0,0.0,7.0,0.0,0.0,374.0,16.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,3.0,0.0,2.0,5.0,12.0,8.0,8.0,41.0,0.0,468.0,80.0,294.0,170.0,5.0,0.0,2.0,1.0,0.0,258.0,1171.0,606.0,1.0,0.0,4.0,1.0,324.0,0.0,1.0,13.0,7.0,0.0,0.0,1.0,0.0,25.0,9.0,3.0
Nantes,0cbc8baa,Jean-Kevin Duverne,HAI,27.0,DF,9,537.0,0.0,0.0,0.3,0.1,0.0,0.0,2.0,0.0,6.0,22.0,4.0,0.0,17.0,0.0,0.07,238.0,304.0,3826.0,123.0,141.0,96.0,112.0,17.0,37.0,0.1,22.0,1571.0,1.0,22.0,2.0,2.0,250.0,53.0,6.0,0.0,0.0,9.0,1.0,5.0,47.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,13.0,4.0,4.0,15.0,27.0,10.0,3.0,8.0,23.0,0.0,378.0,28.0,132.0,185.0,61.0,3.0,5.0,2.0,1.0,161.0,670.0,327.0,8.0,1.0,6.0,3.0,198.0,8.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,20.0,9.0,3.0
Angers,40774c6b,Bamba Dieng,SEN,24.0,FW,18,532.0,3.0,0.0,3.1,0.0,1.0,1.0,1.0,0.0,6.0,7.0,13.0,6.0,18.5,2.0,0.18,80.0,103.0,931.0,52.0,60.0,20.0,30.0,0.0,2.0,0.2,7.0,140.0,1.0,2.0,3.0,1.0,99.0,4.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,157.0,3.0,14.0,58.0,86.0,24.0,14.0,2.0,11.0,96.0,419.0,194.0,5.0,3.0,11.0,10.0,135.0,35.0,0.0,9.0,13.0,4.0,1.0,0.0,0.0,5.0,9.0,24.0
Saint,e14e818c,Ben Old,NZL,21.0,"FW,MF",13,528.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,16.0,14.0,11.0,2.0,18.7,0.0,0.09,108.0,146.0,1641.0,57.0,64.0,45.0,55.0,4.0,15.0,0.5,14.0,467.0,9.0,6.0,4.0,1.0,137.0,8.0,1.0,2.0,0.0,19.0,1.0,7.0,2.0,5.0,4.0,0.0,0.0,16.0,11.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,1.0,3.0,11.0,8.0,1.0,2.0,2.0,0.0,218.0,4.0,40.0,72.0,112.0,23.0,22.0,9.0,12.0,134.0,906.0,400.0,6.0,8.0,19.0,6.0,163.0,48.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,24.0,1.0,5.0
Marseille,e7d59f4f,Amine Harit,MAR,27.0,MF,13,519.0,2.0,4.0,0.8,2.4,0.0,0.0,1.0,1.0,13.0,35.0,8.0,5.0,19.1,1.0,0.1,213.0,255.0,2938.0,127.0,136.0,70.0,79.0,7.0,17.0,1.5,35.0,865.0,19.0,18.0,8.0,0.0,232.0,18.0,7.0,4.0,1.0,7.0,5.0,6.0,0.0,6.0,3.0,1.0,0.0,33.0,27.0,2.0,1.0,0.0,2.0,1.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,0.0,6.0,2.0,1.0,2.0,6.0,0.0,3.0,1.0,1.0,313.0,1.0,26.0,159.0,131.0,20.0,20.0,8.0,9.0,221.0,1151.0,563.0,16.0,4.0,15.0,12.0,259.0,34.0,0.0,6.0,15.0,0.0,1.0,0.0,0.0,24.0,1.0,5.0
Nantes,7d08063d,Tino Kadewere,ZIM,28.0,"MF,FW",12,512.0,1.0,2.0,1.7,1.0,0.0,0.0,1.0,0.0,5.0,19.0,8.0,6.0,15.4,0.0,0.21,130.0,173.0,1947.0,67.0,85.0,52.0,64.0,5.0,7.0,0.5,19.0,547.0,8.0,7.0,3.0,0.0,169.0,3.0,1.0,1.0,0.0,2.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,19.0,14.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,5.0,3.0,6.0,6.0,13.0,3.0,0.0,6.0,8.0,0.0,242.0,6.0,44.0,117.0,86.0,20.0,15.0,4.0,11.0,133.0,623.0,270.0,5.0,1.0,14.0,7.0,156.0,27.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,34.0,15.0,12.0
Monaco,8104e41e,Krépin Diatta,SEN,25.0,"DF,FW",19,508.0,0.0,0.0,0.2,0.8,0.0,0.0,3.0,0.0,17.0,21.0,2.0,1.0,13.1,0.0,0.08,240.0,314.0,3683.0,129.0,149.0,89.0,117.0,14.0,28.0,0.9,21.0,1198.0,4.0,16.0,6.0,2.0,278.0,35.0,2.0,1.0,3.0,15.0,1.0,5.0,33.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,13.0,2.0,3.0,14.0,24.0,5.0,1.0,9.0,12.0,2.0,373.0,14.0,72.0,192.0,114.0,9.0,13.0,8.0,4.0,205.0,1254.0,693.0,13.0,1.0,10.0,2.0,230.0,41.0,0.0,14.0,7.0,2.0,0.0,0.0,0.0,36.0,15.0,9.0
