equipe,player_id,player_name,player_country_code,age,positions,matches_played,min,gls,ast,xg,xag,pk_made,pk_att,yellow_cards,red_cards,carries_prog,passes_prog,sh,sot,avg_sh_dist,fk_sh,npxg_per_sh,pass_cmp,pass_att,pass_ttl_dist,pass_cmp_s,pass_att_s,pass_cmp_m,pass_att_m,pass_cmp_l,pass_att_l,xa,pass_prog,pass_prog_ttl_dist,key_passes,pass_fthird,pass_opp_box,cross_opp_box,pass_live,pass_dead,pass_fk,through_balls,switches,crosses,pass_offside,pass_blocked,throw_ins,ck,ck_in_swinger,ck_out_swinger,ck_straight,ttl_sca,pass_live_sca,pass_dead_sca,take_on_sca,sh_sca,fld_sca,def_sca,gca,pass_live_gca,pass_dead_gca,take_on_gca,sh_gca,fld_gca,def_gca,tkl,tkl_won,tkl_def_third,tkl_mid_third,tkl_att_third,tkl_drb,tkl_drb_att,blocks,sh_blocked,int,clearances,def_error,touches,touch_def_box,touch_def_third,touch_mid_third,touch_fthird,touch_opp_box,take_on_att,take_on_suc,take_on_tkld,carries,ttl_carries_dist,ttl_carries_prog_dist,carries_fthird,carries_opp_box,carries_miscontrolled,carries_dispossessed,pass_recvd,pass_prog_rcvd,second_yellow_cards,fls_com,fls_drawn,offside,pk_won,pk_conceded,og,ball_recov,air_dual_won,air_dual_lost
Angers,c3e4ecbb,Jordan Lefort,FRA,30.0,DF,34,3060.0,0.0,1.0,0.6,1.1,0.0,0.0,3.0,0.0,6.0,89.0,9.0,1.0,12.9,1.0,0.06,1446.0,1749.0,27893.0,522.0,564.0,769.0,829.0,148.0,307.0,1.2,89.0,12926.0,10.0,89.0,11.0,4.0,1649.0,90.0,80.0,5.0,9.0,12.0,10.0,21.0,5.0,0.0,0.0,0.0,0.0,26.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,30.0,42.0,9.0,1.0,30.0,44.0,56.0,37.0,32.0,206.0,3.0,2144.0,335.0,1304.0,765.0,87.0,19.0,17.0,8.0,7.0,1196.0,6463.0,4191.0,6.0,0.0,16.0,2.0,1420.0,13.0,0.0,14.0,15.0,1.0,0.0,1.0,0.0,110.0,40.0,28.0
Strasbourg,dd745366,Andrey Santos,BRA,20.0,MF,32,2855.0,10.0,3.0,5.1,3.3,0.0,0.0,8.0,0.0,29.0,149.0,46.0,16.0,16.2,0.0,0.11,1401.0,1588.0,23008.0,659.0,726.0,647.0,708.0,77.0,96.0,2.0,149.0,7859.0,27.0,141.0,15.0,0.0,1519.0,62.0,61.0,8.0,1.0,0.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,56.0,47.0,0.0,1.0,1.0,2.0,5.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,110.0,74.0,47.0,51.0,12.0,51.0,87.0,46.0,14.0,32.0,67.0,1.0,1983.0,108.0,634.0,1159.0,213.0,36.0,37.0,18.0,14.0,1015.0,4117.0,2383.0,14.0,3.0,44.0,11.0,1276.0,26.0,0.0,29.0,63.0,0.0,1.0,1.0,0.0,188.0,37.0,24.0
Reims,6b5edd5d,Valentin Atangana Edoa,FRA,18.0,MF,34,2854.0,1.0,0.0,2.5,1.1,0.0,0.0,7.0,0.0,41.0,93.0,33.0,6.0,18.4,0.0,0.08,908.0,1056.0,13649.0,489.0,532.0,374.0,417.0,23.0,49.0,0.7,93.0,3710.0,12.0,66.0,8.0,1.0,1037.0,13.0,11.0,2.0,0.0,17.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,49.0,33.0,0.0,3.0,5.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,50.0,32.0,30.0,7.0,28.0,38.0,31.0,15.0,37.0,64.0,0.0,1433.0,115.0,457.0,760.0,234.0,54.0,48.0,14.0,29.0,735.0,4761.0,2212.0,35.0,8.0,57.0,23.0,889.0,38.0,0.0,57.0,50.0,8.0,0.0,0.0,0.0,117.0,47.0,34.0
Angers,7978cbf0,Himad Abdelli,ALG,24.0,"MF,FW",32,2842.0,6.0,1.0,6.4,3.2,3.0,4.0,4.0,0.0,107.0,207.0,35.0,8.0,22.6,0.0,0.09,1373.0,1672.0,21646.0,710.0,807.0,531.0,612.0,82.0,151.0,3.7,207.0,6031.0,39.0,171.0,38.0,3.0,1555.0,107.0,41.0,23.0,13.0,44.0,10.0,31.0,15.0,10.0,5.0,2.0,0.0,94.0,80.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,48.0,32.0,13.0,20.0,15.0,15.0,48.0,24.0,1.0,26.0,28.0,2.0,1993.0,38.0,293.0,1149.0,597.0,49.0,121.0,57.0,61.0,1183.0,7595.0,4388.0,90.0,17.0,55.0,51.0,1446.0,111.0,0.0,48.0,32.0,3.0,0.0,0.0,0.0,193.0,13.0,20.0
Marseille,58eee997,Mason Greenwood,ENG,22.0,"FW,MF",34,2804.0,21.0,5.0,16.3,5.7,7.0,9.0,3.0,0.0,126.0,157.0,111.0,45.0,19.8,3.0,0.08,1089.0,1389.0,18128.0,555.0,646.0,395.0,475.0,104.0,186.0,7.8,157.0,4250.0,47.0,78.0,70.0,14.0,1313.0,71.0,13.0,13.0,25.0,110.0,5.0,26.0,8.0,43.0,29.0,4.0,0.0,123.0,78.0,13.0,12.0,12.0,7.0,1.0,19.0,15.0,0.0,1.0,2.0,1.0,0.0,35.0,18.0,10.0,14.0,11.0,16.0,39.0,7.0,0.0,12.0,5.0,2.0,1746.0,4.0,107.0,726.0,929.0,151.0,129.0,54.0,66.0,1214.0,7040.0,3609.0,71.0,67.0,63.0,44.0,1451.0,295.0,0.0,24.0,37.0,2.0,2.0,0.0,0.0,88.0,8.0,7.0
Saint,88b4d2e3,Zuriko Davitashvili,GEO,23.0,"FW,MF",33,2778.0,9.0,8.0,8.1,4.7,2.0,2.0,3.0,0.0,95.0,73.0,68.0,24.0,19.4,5.0,0.1,737.0,938.0,10639.0,426.0,485.0,238.0,297.0,36.0,83.0,5.5,73.0,2497.0,50.0,38.0,23.0,4.0,799.0,134.0,40.0,6.0,1.0,85.0,5.0,22.0,16.0,68.0,13.0,34.0,0.0,115.0,55.0,23.0,16.0,13.0,8.0,0.0,15.0,8.0,1.0,4.0,0.0,2.0,0.0,22.0,14.0,9.0,7.0,6.0,15.0,49.0,20.0,0.0,14.0,14.0,0.0,1298.0,17.0,138.0,478.0,710.0,123.0,123.0,46.0,71.0,764.0,5467.0,2388.0,56.0,47.0,74.0,57.0,905.0,224.0,0.0,20.0,40.0,5.0,2.0,0.0,0.0,117.0,14.0,47.0
Le Havre,ac89503b,Gautier Lloris,FRA,29.0,DF,31,2768.0,2.0,1.0,1.2,0.9,0.0,0.0,5.0,0.0,13.0,99.0,11.0,2.0,12.8,0.0,0.11,1317.0,1511.0,25779.0,399.0,436.0,786.0,827.0,118.0,207.0,0.5,99.0,9345.0,5.0,88.0,5.0,1.0,1464.0,42.0,34.0,0.0,6.0,3.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,68.0,43.0,52.0,16.0,0.0,38.0,53.0,33.0,21.0,34.0,192.0,0.0,1885.0,267.0,1018.0,818.0,58.0,21.0,7.0,4.0,3.0,1028.0,4501.0,2369.0,10.0,0.0,13.0,3.0,1240.0,7.0,0.0,31.0,7.0,2.0,0.0,2.0,0.0,100.0,64.0,34.0
Nantes,0e46fa2f,Matthis Abline,FRA,21.0,FW,34,2768.0,9.0,2.0,8.5,3.8,1.0,1.0,3.0,0.0,75.0,48.0,73.0,26.0,15.0,0.0,0.11,351.0,538.0,5145.0,185.0,256.0,119.0,160.0,20.0,38.0,3.4,48.0,976.0,27.0,23.0,15.0,4.0,510.0,26.0,1.0,3.0,4.0,30.0,2.0,27.0,1.0,0.0,0.0,0.0,0.0,61.0,43.0,0.0,8.0,6.0,3.0,1.0,9.0,6.0,0.0,2.0,1.0,0.0,0.0,11.0,5.0,2.0,4.0,5.0,3.0,9.0,15.0,1.0,4.0,36.0,1.0,878.0,34.0,75.0,382.0,438.0,142.0,86.0,35.0,48.0,587.0,3670.0,1743.0,42.0,42.0,92.0,65.0,689.0,169.0,0.0,34.0,53.0,5.0,0.0,0.0,0.0,83.0,64.0,76.0
Lille,1bfb6fef,Bafodé Diakité,FRA,23.0,DF,31,2766.0,4.0,1.0,2.3,0.2,0.0,0.0,8.0,1.0,15.0,90.0,16.0,7.0,8.3,0.0,0.15,2086.0,2239.0,38535.0,706.0,746.0,1216.0,1255.0,145.0,196.0,0.8,90.0,12423.0,3.0,141.0,0.0,0.0,2155.0,82.0,63.0,2.0,5.0,4.0,2.0,19.0,6.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,31.0,18.0,17.0,11.0,3.0,18.0,26.0,30.0,17.0,27.0,99.0,5.0,2475.0,199.0,973.0,1416.0,92.0,21.0,9.0,9.0,0.0,1606.0,7489.0,4516.0,15.0,0.0,13.0,6.0,1891.0,3.0,1.0,44.0,17.0,1.0,0.0,1.0,0.0,139.0,61.0,23.0
Rennes,5d0e0a1f,Adrien Truffert,FRA,22.0,"DF,MF",33,2752.0,2.0,2.0,2.4,3.2,0.0,0.0,3.0,0.0,69.0,104.0,23.0,10.0,19.7,0.0,0.1,1263.0,1601.0,19719.0,669.0,743.0,490.0,620.0,70.0,144.0,4.0,104.0,6114.0,39.0,56.0,39.0,20.0,1312.0,283.0,27.0,1.0,3.0,145.0,6.0,39.0,218.0,38.0,11.0,19.0,0.0,76.0,53.0,12.0,2.0,5.0,3.0,1.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,61.0,36.0,27.0,21.0,13.0,32.0,48.0,44.0,6.0,27.0,56.0,1.0,1906.0,71.0,455.0,791.0,674.0,57.0,44.0,16.0,22.0,971.0,5126.0,2605.0,45.0,15.0,36.0,25.0,1186.0,243.0,0.0,25.0,34.0,4.0,0.0,0.0,0.0,139.0,27.0,27.0
Lyon,00242715,Moussa Niakhate,SEN,28.0,DF,31,2726.0,0.0,0.0,0.1,1.0,0.0,0.0,2.0,0.0,34.0,111.0,2.0,1.0,7.8,0.0,0.06,1688.0,1869.0,29756.0,671.0,706.0,897.0,955.0,97.0,162.0,1.1,111.0,11730.0,7.0,88.0,13.0,3.0,1748.0,119.0,44.0,4.0,6.0,5.0,2.0,14.0,34.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,27.0,37.0,8.0,2.0,24.0,32.0,26.0,17.0,25.0,143.0,3.0,2133.0,277.0,1034.0,1032.0,77.0,7.0,3.0,3.0,0.0,1331.0,7461.0,4792.0,14.0,0.0,9.0,4.0,1510.0,5.0,0.0,34.0,16.0,1.0,0.0,0.0,0.0,119.0,43.0,24.0
Strasbourg,b4ef3fb5,Guela Doué,CIV,21.0,DF,32,2717.0,1.0,2.0,0.8,0.7,0.0,0.0,7.0,0.0,51.0,173.0,18.0,6.0,14.4,0.0,0.05,1688.0,2023.0,29943.0,689.0,739.0,879.0,1015.0,102.0,216.0,1.1,173.0,12563.0,11.0,153.0,14.0,6.0,1728.0,293.0,63.0,1.0,3.0,46.0,2.0,26.0,226.0,0.0,0.0,0.0,0.0,44.0,31.0,2.0,4.0,4.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,65.0,45.0,40.0,15.0,10.0,37.0,54.0,38.0,6.0,34.0,154.0,1.0,2421.0,155.0,1004.0,1150.0,287.0,31.0,41.0,27.0,14.0,1184.0,5408.0,3109.0,22.0,4.0,43.0,13.0,1505.0,54.0,0.0,41.0,19.0,0.0,0.0,1.0,0.0,162.0,58.0,37.0
Lille,102c9665,Alexsandro Ribeiro,BRA,24.0,DF,30,2700.0,1.0,1.0,1.6,0.4,0.0,0.0,10.0,0.0,25.0,178.0,21.0,4.0,10.3,0.0,0.08,2204.0,2417.0,43718.0,635.0,678.0,1353.0,1420.0,197.0,286.0,1.0,178.0,14857.0,9.0,191.0,6.0,2.0,2266.0,150.0,65.0,3.0,10.0,8.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,40.0,32.0,2.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,18.0,13.0,1.0,20.0,30.0,23.0,13.0,27.0,143.0,3.0,2712.0,300.0,1098.0,1508.0,125.0,38.0,8.0,5.0,2.0,1737.0,9066.0,5419.0,28.0,0.0,22.0,10.0,1982.0,8.0,0.0,28.0,32.0,2.0,0.0,1.0,1.0,175.0,64.0,25.0
Toulouse,f86fe8c1,Cristian Cásseres Jr.,VEN,24.0,MF,32,2696.0,1.0,3.0,1.0,2.6,0.0,0.0,11.0,0.0,31.0,128.0,17.0,5.0,21.3,2.0,0.06,1120.0,1421.0,19695.0,479.0,569.0,528.0,599.0,92.0,185.0,3.6,128.0,5429.0,27.0,89.0,23.0,7.0,1272.0,144.0,80.0,5.0,9.0,80.0,5.0,26.0,11.0,46.0,26.0,12.0,0.0,77.0,41.0,20.0,4.0,1.0,5.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,96.0,61.0,41.0,43.0,12.0,46.0,88.0,35.0,9.0,42.0,36.0,1.0,1727.0,75.0,442.0,990.0,330.0,18.0,38.0,22.0,13.0,873.0,4119.0,1955.0,27.0,4.0,39.0,12.0,1009.0,46.0,0.0,53.0,46.0,1.0,0.0,0.0,0.0,172.0,24.0,17.0
Lille,ef9c1c95,Benjamin André,FRA,33.0,MF,30,2692.0,0.0,3.0,1.4,1.9,0.0,0.0,12.0,0.0,29.0,209.0,16.0,4.0,15.6,0.0,0.09,1586.0,1911.0,26597.0,772.0,862.0,636.0,737.0,138.0,208.0,2.7,209.0,7159.0,21.0,207.0,18.0,3.0,1845.0,57.0,53.0,1.0,20.0,16.0,9.0,31.0,4.0,0.0,0.0,0.0,0.0,53.0,46.0,0.0,0.0,2.0,4.0,1.0,9.0,6.0,0.0,0.0,2.0,1.0,0.0,103.0,57.0,31.0,60.0,12.0,54.0,96.0,42.0,6.0,48.0,56.0,0.0,2267.0,72.0,392.0,1462.0,430.0,45.0,22.0,9.0,11.0,1153.0,5343.0,2593.0,33.0,1.0,45.0,33.0,1556.0,72.0,0.0,50.0,49.0,3.0,1.0,0.0,0.0,189.0,94.0,82.0
Auxerre,10dd88f9,Gaëtan Perrin,FRA,28.0,"MF,FW",34,2691.0,10.0,11.0,6.1,7.8,0.0,0.0,2.0,0.0,83.0,142.0,59.0,26.0,19.2,5.0,0.1,728.0,1031.0,13238.0,348.0,418.0,233.0,306.0,113.0,216.0,4.7,142.0,4768.0,73.0,87.0,34.0,7.0,820.0,204.0,57.0,9.0,12.0,162.0,7.0,43.0,7.0,110.0,40.0,54.0,0.0,125.0,69.0,38.0,8.0,3.0,3.0,4.0,18.0,8.0,7.0,2.0,0.0,1.0,0.0,49.0,26.0,22.0,12.0,15.0,21.0,48.0,10.0,0.0,12.0,4.0,1.0,1327.0,6.0,144.0,590.0,616.0,98.0,127.0,60.0,62.0,798.0,5341.0,2838.0,61.0,37.0,46.0,63.0,888.0,125.0,0.0,24.0,20.0,9.0,0.0,0.0,0.0,124.0,3.0,13.0
Reims,dbd3a428,Junya Ito,JPN,31.0,"FW,MF",33,2690.0,4.0,3.0,4.6,7.1,0.0,0.0,1.0,0.0,100.0,133.0,31.0,11.0,13.7,0.0,0.15,811.0,1214.0,12385.0,443.0,532.0,247.0,375.0,75.0,191.0,9.1,133.0,4724.0,82.0,69.0,67.0,28.0,1048.0,160.0,44.0,7.0,6.0,234.0,6.0,40.0,19.0,92.0,27.0,52.0,0.0,129.0,82.0,31.0,9.0,5.0,1.0,1.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,45.0,30.0,19.0,16.0,10.0,17.0,60.0,33.0,3.0,13.0,15.0,2.0,1533.0,19.0,222.0,546.0,798.0,83.0,110.0,47.0,56.0,837.0,5599.0,2986.0,74.0,25.0,85.0,39.0,1034.0,256.0,0.0,14.0,34.0,10.0,0.0,0.0,0.0,135.0,17.0,28.0
Toulouse,10cff752,Aron Dønnum,NOR,26.0,"DF,MF",32,2689.0,2.0,2.0,2.1,4.6,0.0,0.0,6.0,0.0,94.0,126.0,31.0,5.0,19.7,0.0,0.07,880.0,1213.0,16244.0,412.0,476.0,340.0,446.0,118.0,216.0,5.6,126.0,5509.0,45.0,73.0,50.0,14.0,1013.0,190.0,31.0,7.0,26.0,117.0,10.0,42.0,127.0,32.0,23.0,5.0,0.0,92.0,60.0,19.0,3.0,6.0,3.0,1.0,11.0,8.0,2.0,0.0,1.0,0.0,0.0,56.0,35.0,25.0,24.0,7.0,31.0,55.0,29.0,4.0,28.0,37.0,1.0,1542.0,58.0,318.0,693.0,560.0,72.0,104.0,47.0,48.0,862.0,5805.0,3249.0,52.0,26.0,44.0,38.0,913.0,142.0,0.0,38.0,55.0,0.0,0.0,0.0,0.0,171.0,12.0,17.0
Brest,770d7eb8,Kenny Lala,MAD,32.0,DF,30,2686.0,3.0,2.0,3.0,4.3,3.0,3.0,5.0,0.0,58.0,138.0,9.0,4.0,26.8,2.0,0.07,1367.0,1796.0,27268.0,518.0,602.0,615.0,759.0,220.0,370.0,5.0,138.0,10357.0,41.0,124.0,40.0,13.0,1487.0,306.0,65.0,4.0,13.0,126.0,3.0,44.0,230.0,10.0,3.0,5.0,0.0,80.0,56.0,19.0,1.0,3.0,0.0,1.0,6.0,3.0,1.0,0.0,2.0,0.0,0.0,66.0,42.0,36.0,23.0,7.0,38.0,57.0,25.0,9.0,25.0,75.0,2.0,2043.0,110.0,642.0,952.0,461.0,7.0,24.0,15.0,8.0,1054.0,6043.0,3093.0,45.0,2.0,29.0,16.0,1229.0,91.0,0.0,18.0,14.0,1.0,0.0,1.0,0.0,154.0,8.0,13.0
Angers,6bfb4303,Florent Hanin,ALG,34.0,DF,33,2672.0,1.0,2.0,0.9,1.9,0.0,0.0,2.0,0.0,48.0,99.0,11.0,1.0,21.2,0.0,0.09,1282.0,1654.0,20970.0,694.0,770.0,451.0,594.0,113.0,214.0,2.5,99.0,8837.0,25.0,93.0,37.0,21.0,1345.0,294.0,46.0,2.0,9.0,107.0,15.0,28.0,248.0,0.0,0.0,0.0,0.0,60.0,48.0,6.0,0.0,1.0,3.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,69.0,48.0,45.0,17.0,7.0,39.0,71.0,31.0,10.0,47.0,99.0,2.0,1965.0,115.0,697.0,837.0,448.0,18.0,23.0,11.0,11.0,904.0,4170.0,2309.0,38.0,3.0,27.0,7.0,1113.0,108.0,0.0,16.0,35.0,1.0,0.0,0.0,0.0,132.0,15.0,28.0
Marseille,8b04d6c1,Pierre Højbjerg,DEN,28.0,MF,30,2664.0,2.0,4.0,3.3,3.9,0.0,0.0,5.0,0.0,36.0,263.0,33.0,8.0,18.9,7.0,0.1,2674.0,2895.0,41468.0,1386.0,1461.0,1095.0,1152.0,111.0,165.0,4.4,263.0,12509.0,43.0,231.0,29.0,0.0,2787.0,106.0,82.0,10.0,13.0,19.0,2.0,20.0,9.0,13.0,6.0,5.0,0.0,100.0,80.0,11.0,0.0,4.0,2.0,3.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,64.0,45.0,25.0,32.0,7.0,37.0,69.0,28.0,4.0,42.0,33.0,2.0,3174.0,80.0,638.0,2071.0,487.0,49.0,24.0,7.0,16.0,1950.0,8198.0,4084.0,33.0,6.0,33.0,25.0,2594.0,43.0,0.0,30.0,39.0,0.0,0.0,0.0,0.0,171.0,21.0,18.0
Brest,8577e60a,Mahdi Camara,FRA,26.0,"MF,FW",34,2659.0,5.0,3.0,4.1,2.0,0.0,0.0,5.0,0.0,58.0,111.0,49.0,19.0,16.6,0.0,0.08,1021.0,1190.0,15953.0,498.0,554.0,443.0,492.0,41.0,65.0,2.6,111.0,3369.0,26.0,79.0,17.0,10.0,1100.0,88.0,12.0,3.0,0.0,46.0,2.0,24.0,8.0,0.0,0.0,0.0,0.0,71.0,49.0,0.0,4.0,6.0,8.0,4.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,71.0,40.0,16.0,38.0,17.0,24.0,46.0,40.0,5.0,33.0,29.0,0.0,1530.0,36.0,268.0,841.0,441.0,78.0,65.0,29.0,28.0,828.0,4647.0,2478.0,40.0,14.0,38.0,28.0,999.0,112.0,0.0,41.0,46.0,3.0,1.0,0.0,0.0,98.0,17.0,31.0
Reims,d97af612,Keito Nakamura,JPN,24.0,"FW,MF",32,2649.0,11.0,2.0,9.1,2.9,0.0,0.0,5.0,0.0,90.0,82.0,84.0,32.0,16.8,1.0,0.11,575.0,775.0,8999.0,310.0,372.0,192.0,256.0,44.0,78.0,3.4,82.0,1919.0,26.0,32.0,24.0,10.0,743.0,29.0,6.0,3.0,10.0,56.0,3.0,27.0,10.0,4.0,1.0,2.0,0.0,68.0,51.0,1.0,7.0,9.0,0.0,0.0,7.0,4.0,0.0,1.0,2.0,0.0,0.0,24.0,16.0,7.0,10.0,7.0,11.0,31.0,21.0,1.0,13.0,19.0,0.0,1110.0,28.0,179.0,391.0,554.0,129.0,78.0,30.0,45.0,675.0,4372.0,2356.0,45.0,33.0,67.0,43.0,776.0,197.0,0.0,29.0,8.0,10.0,0.0,0.0,0.0,116.0,7.0,14.0
Auxerre,56ae428b,Jubal,BRA,30.0,DF,30,2640.0,6.0,0.0,5.2,0.9,3.0,4.0,7.0,0.0,1.0,33.0,26.0,7.0,17.6,2.0,0.08,918.0,1057.0,18586.0,270.0,290.0,541.0,573.0,102.0,176.0,0.8,33.0,5601.0,6.0,34.0,7.0,0.0,980.0,75.0,56.0,0.0,10.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,39.0,46.0,13.0,1.0,28.0,40.0,61.0,36.0,25.0,201.0,1.0,1458.0,274.0,866.0,550.0,52.0,38.0,4.0,3.0,1.0,698.0,2904.0,973.0,3.0,0.0,7.0,2.0,797.0,3.0,0.0,27.0,21.0,1.0,1.0,2.0,1.0,90.0,72.0,32.0
Strasbourg,0512a60a,Ismaël Doukouré,FRA,21.0,"DF,MF",31,2639.0,1.0,1.0,0.6,1.1,0.0,0.0,7.0,0.0,20.0,116.0,3.0,1.0,13.4,0.0,0.19,1494.0,1685.0,25372.0,638.0,680.0,755.0,821.0,79.0,133.0,0.5,116.0,7657.0,11.0,101.0,1.0,0.0,1561.0,117.0,46.0,2.0,2.0,1.0,7.0,13.0,15.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,22.0,19.0,18.0,3.0,17.0,25.0,31.0,14.0,25.0,102.0,3.0,1944.0,202.0,847.0,1022.0,84.0,7.0,17.0,13.0,4.0,1149.0,4814.0,2653.0,5.0,0.0,21.0,18.0,1385.0,9.0,0.0,30.0,17.0,0.0,0.0,0.0,1.0,103.0,26.0,16.0
Saint,00638016,Léo Pétrot,FRA,27.0,DF,31,2634.0,0.0,3.0,0.6,1.6,0.0,0.0,4.0,0.0,28.0,93.0,7.0,3.0,12.1,0.0,0.1,1114.0,1385.0,17729.0,579.0,644.0,453.0,538.0,59.0,134.0,1.5,93.0,6679.0,16.0,73.0,17.0,7.0,1163.0,220.0,18.0,1.0,2.0,51.0,2.0,28.0,196.0,6.0,5.0,0.0,0.0,40.0,36.0,2.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,62.0,39.0,38.0,19.0,5.0,34.0,51.0,50.0,27.0,42.0,103.0,1.0,1708.0,172.0,661.0,670.0,383.0,25.0,14.0,7.0,7.0,766.0,2815.0,1321.0,15.0,4.0,24.0,17.0,974.0,100.0,0.0,22.0,22.0,1.0,0.0,3.0,0.0,115.0,40.0,37.0
Nantes,e0f3a1f6,Jean-Charles Castelletto,CMR,29.0,"DF,MF",30,2620.0,0.0,0.0,1.8,0.1,0.0,0.0,5.0,1.0,21.0,87.0,17.0,5.0,13.3,0.0,0.13,1233.0,1391.0,21696.0,488.0,520.0,640.0,691.0,83.0,140.0,0.4,87.0,7885.0,2.0,80.0,5.0,1.0,1331.0,58.0,28.0,0.0,4.0,9.0,2.0,8.0,21.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,34.0,17.0,17.0,15.0,2.0,17.0,27.0,27.0,18.0,25.0,151.0,0.0,1682.0,183.0,763.0,824.0,99.0,21.0,3.0,3.0,0.0,948.0,3993.0,2020.0,14.0,2.0,16.0,4.0,1116.0,19.0,0.0,34.0,15.0,0.0,0.0,3.0,1.0,91.0,51.0,27.0
Lens,c76b7567,Adrien Thomasson,FRA,30.0,MF,33,2615.0,3.0,7.0,5.9,6.0,0.0,0.0,7.0,0.0,30.0,149.0,41.0,11.0,14.3,0.0,0.15,1318.0,1612.0,20594.0,696.0,790.0,472.0,561.0,97.0,142.0,5.2,149.0,5103.0,56.0,99.0,29.0,7.0,1539.0,68.0,36.0,4.0,9.0,58.0,5.0,33.0,8.0,24.0,8.0,13.0,0.0,109.0,85.0,9.0,0.0,8.0,3.0,4.0,11.0,8.0,0.0,0.0,3.0,0.0,0.0,90.0,47.0,42.0,25.0,23.0,52.0,95.0,48.0,3.0,19.0,28.0,2.0,1995.0,52.0,333.0,1028.0,650.0,112.0,60.0,26.0,32.0,1056.0,4501.0,2078.0,34.0,9.0,67.0,41.0,1361.0,138.0,0.0,51.0,48.0,7.0,0.0,1.0,0.0,206.0,17.0,45.0
Marseille,f36d5624,Luis Henrique,BRA,22.0,"DF,FW",33,2613.0,7.0,7.0,4.2,4.2,0.0,0.0,0.0,0.0,84.0,143.0,30.0,14.0,14.6,0.0,0.14,1156.0,1427.0,17828.0,640.0,728.0,420.0,505.0,70.0,123.0,5.0,143.0,5190.0,53.0,95.0,47.0,20.0,1350.0,75.0,5.0,2.0,6.0,97.0,2.0,31.0,62.0,8.0,1.0,5.0,0.0,105.0,87.0,6.0,7.0,4.0,0.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,7.0,6.0,3.0,9.0,10.0,15.0,2.0,10.0,30.0,0.0,1643.0,32.0,245.0,657.0,761.0,79.0,91.0,51.0,38.0,1015.0,5423.0,2928.0,55.0,29.0,30.0,19.0,1282.0,280.0,0.0,8.0,8.0,9.0,0.0,0.0,0.0,116.0,0.0,5.0
Nantes,5f3eaaf5,Moses Simon,NGA,29.0,"FW,MF",32,2609.0,8.0,10.0,5.8,6.7,4.0,4.0,2.0,0.0,147.0,59.0,40.0,13.0,19.6,2.0,0.07,505.0,815.0,8898.0,233.0,295.0,204.0,306.0,56.0,141.0,5.7,59.0,2519.0,56.0,27.0,41.0,24.0,692.0,123.0,27.0,5.0,1.0,222.0,0.0,48.0,23.0,67.0,35.0,24.0,0.0,108.0,55.0,20.0,20.0,6.0,6.0,1.0,15.0,9.0,1.0,2.0,2.0,1.0,0.0,20.0,14.0,4.0,7.0,9.0,7.0,22.0,11.0,0.0,12.0,13.0,0.0,1131.0,10.0,111.0,379.0,669.0,129.0,147.0,65.0,77.0,731.0,6203.0,3281.0,81.0,60.0,67.0,55.0,778.0,222.0,0.0,11.0,51.0,9.0,1.0,0.0,0.0,118.0,10.0,38.0
