equipe,player_id,player_name,player_country_code,age,positions,matches_played,min,gls_per90,ast_per90,xg_per90,xag_per90,pk_made_per90,pk_att_per90,yellow_cards_per90,red_cards_per90,carries_prog_per90,passes_prog_per90,sh_per90,sot_per90,avg_sh_dist,fk_sh_per90,npxg_per_sh,pass_cmp_per90,pass_att_per90,pass_ttl_dist_per90,pass_cmp_s_per90,pass_att_s_per90,pass_cmp_m_per90,pass_att_m_per90,pass_cmp_l_per90,pass_att_l_per90,xa_per90,pass_prog_per90,pass_prog_ttl_dist_per90,key_passes_per90,pass_fthird_per90,pass_opp_box_per90,cross_opp_box_per90,pass_live_per90,pass_dead_per90,pass_fk_per90,through_balls_per90,switches_per90,crosses_per90,pass_offside_per90,pass_blocked_per90,throw_ins_per90,ck_per90,ck_in_swinger_per90,ck_out_swinger_per90,ck_straight_per90,ttl_sca_per90,pass_live_sca_per90,pass_dead_sca_per90,take_on_sca_per90,sh_sca_per90,fld_sca_per90,def_sca_per90,gca_per90,pass_live_gca_per90,pass_dead_gca_per90,take_on_gca_per90,sh_gca_per90,fld_gca_per90,def_gca_per90,tkl_per90,tkl_won_per90,tkl_def_third_per90,tkl_mid_third_per90,tkl_att_third_per90,tkl_drb_per90,tkl_drb_att_per90,blocks_per90,sh_blocked_per90,int_per90,clearances_per90,def_error_per90,touches_per90,touch_def_box_per90,touch_def_third_per90,touch_mid_third_per90,touch_fthird_per90,touch_opp_box_per90,take_on_att_per90,take_on_suc_per90,take_on_tkld_per90,carries_per90,ttl_carries_dist_per90,ttl_carries_prog_dist_per90,carries_fthird_per90,carries_opp_box_per90,carries_miscontrolled_per90,carries_dispossessed_per90,pass_recvd_per90,pass_prog_rcvd_per90,second_yellow_cards_per90,fls_com_per90,fls_drawn_per90,offside_per90,pk_won_per90,pk_conceded_per90,og_per90,ball_recov_per90,air_dual_won_per90,air_dual_lost_per90
Angers,c3e4ecbb,Jordan Lefort,FRA,30.0,DF,34,3060.0,0.0,0.029411764705882353,0.01764705882352941,0.03235294117647059,0.0,0.0,0.08823529411764705,0.0,0.1764705882352941,2.6176470588235294,0.2647058823529412,0.029411764705882353,12.9,0.029411764705882353,0.06,42.529411764705884,51.44117647058823,820.3823529411765,15.352941176470589,16.58823529411765,22.61764705882353,24.382352941176467,4.352941176470589,9.029411764705882,0.03529411764705882,2.6176470588235294,380.1764705882353,0.29411764705882354,2.6176470588235294,0.32352941176470584,0.11764705882352941,48.5,2.6470588235294117,2.3529411764705883,0.14705882352941177,0.2647058823529412,0.3529411764705882,0.29411764705882354,0.6176470588235294,0.14705882352941177,0.0,0.0,0.0,0.0,0.7647058823529411,0.6764705882352942,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,1.5294117647058822,0.8823529411764706,1.2352941176470589,0.2647058823529412,0.029411764705882353,0.8823529411764706,1.2941176470588234,1.647058823529412,1.0882352941176472,0.9411764705882353,6.0588235294117645,0.08823529411764705,63.05882352941176,9.852941176470589,38.35294117647059,22.5,2.5588235294117645,0.5588235294117647,0.5,0.23529411764705882,0.2058823529411765,35.1764705882353,190.08823529411765,123.26470588235294,0.1764705882352941,0.0,0.47058823529411764,0.058823529411764705,41.76470588235294,0.38235294117647056,0.0,0.411764705882353,0.4411764705882353,0.029411764705882353,0.0,0.029411764705882353,0.0,3.2352941176470584,1.1764705882352942,0.823529411764706
Strasbourg,dd745366,Andrey Santos,BRA,20.0,MF,32,2855.0,0.3152364273204904,0.09457092819614712,0.1607705779334501,0.1040280210157618,0.0,0.0,0.2521891418563923,0.0,0.9141856392294221,4.697022767075306,1.4500875656742556,0.5043782837127846,16.2,0.0,0.11,44.1646234676007,50.05954465849388,725.2959719789842,20.774080560420316,22.8861646234676,20.395796847635726,22.318739054290717,2.4273204903677756,3.026269702276708,0.06304728546409807,4.697022767075306,247.7443082311734,0.851138353765324,4.444833625218915,0.47285464098073554,0.0,47.884413309982484,1.9544658493870402,1.9229422066549913,0.2521891418563923,0.03152364273204904,0.0,0.22066549912434325,0.7250437828371278,0.03152364273204904,0.0,0.0,0.0,0.0,1.765323992994746,1.4816112084063047,0.0,0.03152364273204904,0.03152364273204904,0.06304728546409807,0.1576182136602452,0.18914185639229425,0.12609457092819615,0.0,0.0,0.0,0.03152364273204904,0.03152364273204904,3.467600700525394,2.332749562171629,1.4816112084063047,1.6077057793345009,0.3782837127845885,1.6077057793345009,2.7425569176882663,1.4500875656742556,0.4413309982486865,1.0087565674255692,2.1120840630472855,0.03152364273204904,62.51138353765324,3.404553415061296,19.98598949211909,36.535901926444836,6.714535901926445,1.1348511383537652,1.1663747810858145,0.5674255691768826,0.4413309982486865,31.996497373029772,129.78283712784588,75.12084063047286,0.4413309982486865,0.09457092819614712,1.3870402802101578,0.34676007005253945,40.224168126094575,0.8196147110332749,0.0,0.9141856392294221,1.9859894921190895,0.0,0.03152364273204904,0.03152364273204904,0.0,5.926444833625219,1.1663747810858145,0.756567425569177
Reims,6b5edd5d,Valentin Atangana Edoa,FRA,18.0,MF,34,2854.0,0.03153468815697267,0.0,0.07883672039243167,0.034688156972669935,0.0,0.0,0.2207428170988087,0.0,1.2929222144358794,2.9327259985984586,1.040644709180098,0.18920812894183603,18.4,0.0,0.08,28.633496846531184,33.30063069376314,430.41695865452,15.420462508759636,16.77645409950946,11.793973370707779,13.149964961457602,0.7252978276103714,1.5451997196916607,0.022074281709880864,2.9327259985984586,116.9936930623686,0.37841625788367206,2.081289418360196,0.25227750525578135,0.03153468815697267,32.70147161878066,0.40995094604064475,0.34688156972669937,0.06306937631394534,0.0,0.5360896986685354,0.18920812894183603,0.4414856341976174,0.03153468815697267,0.0,0.0,0.0,0.0,1.5451997196916607,1.040644709180098,0.0,0.09460406447091801,0.15767344078486334,0.12613875262789068,0.12613875262789068,0.03153468815697267,0.03153468815697267,0.0,0.0,0.0,0.0,0.0,2.175893482831114,1.5767344078486334,1.0091100210231254,0.94604064470918,0.2207428170988087,0.8829712683952348,1.1983181499649616,0.9775753328661528,0.47302032235459,1.1667834618079886,2.018220042046251,0.0,45.18920812894184,3.6264891380518574,14.41135248773651,23.966362999299232,7.379117028731605,1.7028731604765242,1.5136650315346882,0.4414856341976174,0.9145059565522075,23.177995795374912,150.13665031534688,69.75473020322355,1.1037140854940435,0.25227750525578135,1.7974772249474422,0.7252978276103714,28.034337771548703,1.1983181499649616,0.0,1.7974772249474422,1.5767344078486334,0.25227750525578135,0.0,0.0,0.0,3.6895585143658023,1.4821303433777155,1.0721793973370708
Angers,7978cbf0,Himad Abdelli,ALG,24.0,"MF,FW",32,2842.0,0.1900070372976777,0.03166783954961295,0.2026741731175229,0.10133708655876145,0.09500351864883885,0.1266713581984518,0.1266713581984518,0.0,3.3884588318085855,6.555242786769881,1.1083743842364533,0.2533427163969036,22.6,0.0,0.09,43.47994370161858,52.94862772695285,685.4820548909219,22.484166080225194,25.55594651653765,16.815622800844476,19.380717804363126,2.596762843068262,4.781843771991555,0.11717100633356792,6.555242786769881,190.9887403237157,1.235045742434905,5.415200562983814,1.203377902885292,0.09500351864883885,49.24349049964814,3.3884588318085855,1.298381421534131,0.7283603096410978,0.41168191414496835,1.3933849401829697,0.3166783954961295,0.9817030260380015,0.47501759324419424,0.3166783954961295,0.15833919774806474,0.0633356790992259,0.0,2.9767769176636176,2.533427163969036,0.0633356790992259,0.15833919774806474,0.03166783954961295,0.09500351864883885,0.09500351864883885,0.15833919774806474,0.09500351864883885,0.0,0.0633356790992259,0.0,0.0,0.0,1.5200562983814216,1.0133708655876144,0.41168191414496835,0.633356790992259,0.47501759324419424,0.47501759324419424,1.5200562983814216,0.7600281491907108,0.03166783954961295,0.8233638282899367,0.8866995073891626,0.0633356790992259,63.11400422237861,1.203377902885292,9.278676988036594,36.38634764250528,18.90570021111893,1.5517241379310345,3.831808585503167,1.805066854327938,1.9317382125263898,37.463054187192114,240.51724137931035,138.9584799437016,2.8501055594651654,0.5383532723434201,1.7417311752287123,1.6150598170302606,45.79169598874033,3.5151301900070373,0.0,1.5200562983814216,1.0133708655876144,0.09500351864883885,0.0,0.0,0.0,6.111893033075299,0.41168191414496835,0.633356790992259
Marseille,58eee997,Mason Greenwood,ENG,22.0,"FW,MF",34,2804.0,0.6740370898716119,0.16048502139800286,0.5231811697574893,0.18295292439372324,0.22467902995720399,0.2888730385164051,0.09629101283880172,0.0,4.044222539229672,5.0392296718972895,3.5627674750356633,1.4443651925820256,19.8,0.09629101283880172,0.08,34.95363766048502,44.58273894436519,581.8544935805992,17.813837375178316,20.734664764621968,12.678316690442225,15.24607703281027,3.33808844507846,5.970042796005706,0.2503566333808845,5.0392296718972895,136.41226818830242,1.5085592011412268,2.5035663338088447,2.24679029957204,0.44935805991440797,42.14336661911555,2.2788873038516404,0.4172610556348075,0.4172610556348075,0.8024251069900143,3.5306704707560623,0.16048502139800286,0.834522111269615,0.25677603423680456,1.3801711840228246,0.9308131241084165,0.12838801711840228,0.0,3.94793152639087,2.5035663338088447,0.4172610556348075,0.38516405135520687,0.38516405135520687,0.22467902995720399,0.03209700427960057,0.6098430813124108,0.4814550641940086,0.0,0.03209700427960057,0.06419400855920114,0.03209700427960057,0.0,1.12339514978602,0.5777460770328102,0.3209700427960057,0.44935805991440797,0.35306704707560627,0.5135520684736091,1.2517831669044224,0.22467902995720399,0.0,0.38516405135520687,0.16048502139800286,0.06419400855920114,56.041369472182595,0.12838801711840228,3.434379457917261,23.302425106990015,29.818116975748932,4.846647646219687,4.140513552068474,1.7332382310984307,2.118402282453638,38.965763195435095,225.962910128388,115.83808844507847,2.2788873038516404,2.1504992867332384,2.022111269614836,1.412268188302425,46.57275320970043,9.468616262482168,0.0,0.7703281027104137,1.1875891583452212,0.06419400855920114,0.06419400855920114,0.0,0.0,2.82453637660485,0.25677603423680456,0.22467902995720399
Saint,88b4d2e3,Zuriko Davitashvili,GEO,23.0,"FW,MF",33,2778.0,0.2915766738660907,0.25917926565874727,0.26241900647948163,0.15226781857451405,0.06479481641468682,0.06479481641468682,0.09719222462203024,0.0,3.077753779697624,2.365010799136069,2.203023758099352,0.7775377969762419,19.4,0.16198704103671707,0.1,23.876889848812098,30.38876889848812,344.67602591792655,13.801295896328293,15.712742980561554,7.7105831533477325,9.622030237580994,1.1663066954643628,2.688984881209503,0.17818574514038876,2.365010799136069,80.8963282937365,1.6198704103671706,1.2311015118790496,0.7451403887688984,0.12958963282937364,25.88552915766739,4.341252699784017,1.2958963282937366,0.19438444924406048,0.03239740820734341,2.7537796976241897,0.16198704103671707,0.712742980561555,0.5183585313174945,2.203023758099352,0.4211663066954644,1.101511879049676,0.0,3.7257019438444927,1.7818574514038878,0.7451403887688984,0.5183585313174945,0.4211663066954644,0.25917926565874727,0.0,0.48596112311015116,0.25917926565874727,0.03239740820734341,0.12958963282937364,0.0,0.06479481641468682,0.0,0.712742980561555,0.4535637149028077,0.2915766738660907,0.22678185745140386,0.19438444924406048,0.48596112311015116,1.5874730021598271,0.6479481641468683,0.0,0.4535637149028077,0.4535637149028077,0.0,42.05183585313175,0.550755939524838,4.470842332613391,15.485961123110151,23.002159827213823,3.9848812095032393,3.9848812095032393,1.4902807775377969,2.300215982721382,24.75161987041037,177.11663066954642,77.36501079913606,1.814254859611231,1.5226781857451404,2.397408207343412,1.8466522678185744,29.319654427645787,7.257019438444924,0.0,0.6479481641468683,1.2958963282937366,0.16198704103671707,0.06479481641468682,0.0,0.0,3.7904967602591793,0.4535637149028077,1.5226781857451404
Le Havre,ac89503b,Gautier Lloris,FRA,29.0,DF,31,2768.0,0.06502890173410404,0.03251445086705202,0.03901734104046243,0.02926300578034682,0.0,0.0,0.16257225433526012,0.0,0.42268786127167635,3.2189306358381504,0.3576589595375722,0.06502890173410404,12.8,0.0,0.11,42.82153179190751,49.12933526011561,838.1900289017342,12.973265895953757,14.176300578034681,25.55635838150289,26.889450867052023,3.836705202312139,6.730491329479769,0.01625722543352601,3.2189306358381504,303.8475433526011,0.16257225433526012,2.8612716763005777,0.16257225433526012,0.03251445086705202,47.601156069364166,1.365606936416185,1.1054913294797688,0.0,0.1950867052023121,0.09754335260115606,0.16257225433526012,0.32514450867052025,0.13005780346820808,0.0,0.0,0.0,0.0,0.6828034682080925,0.5527456647398844,0.0,0.0,0.13005780346820808,0.0,0.0,0.09754335260115606,0.06502890173410404,0.0,0.0,0.03251445086705202,0.0,0.0,2.2109826589595376,1.398121387283237,1.6907514450867054,0.5202312138728323,0.0,1.2355491329479769,1.7232658959537572,1.0729768786127167,0.6828034682080925,1.1054913294797688,6.2427745664739875,0.0,61.28973988439306,8.681358381502891,33.09971098265896,26.596820809248555,1.8858381502890174,0.6828034682080925,0.22760115606936415,0.13005780346820808,0.09754335260115606,33.42485549132948,146.34754335260115,77.02673410404624,0.32514450867052025,0.0,0.42268786127167635,0.09754335260115606,40.31791907514451,0.22760115606936415,0.0,1.0079479768786126,0.22760115606936415,0.06502890173410404,0.0,0.06502890173410404,0.0,3.2514450867052025,2.0809248554913293,1.1054913294797688
Nantes,0e46fa2f,Matthis Abline,FRA,21.0,FW,34,2768.0,0.29263005780346824,0.06502890173410404,0.2763728323699422,0.12355491329479769,0.03251445086705202,0.03251445086705202,0.09754335260115606,0.0,2.4385838150289016,1.5606936416184969,2.373554913294798,0.8453757225433527,15.0,0.0,0.11,11.41257225433526,17.492774566473987,167.28684971098266,6.015173410404624,8.323699421965317,3.869219653179191,5.202312138728324,0.6502890173410405,1.2355491329479769,0.11054913294797689,1.5606936416184969,31.734104046242773,0.8778901734104047,0.7478323699421965,0.4877167630057803,0.13005780346820808,16.582369942196532,0.8453757225433527,0.03251445086705202,0.09754335260115606,0.13005780346820808,0.9754335260115606,0.06502890173410404,0.8778901734104047,0.03251445086705202,0.0,0.0,0.0,0.0,1.9833815028901733,1.398121387283237,0.0,0.26011560693641617,0.1950867052023121,0.09754335260115606,0.03251445086705202,0.29263005780346824,0.1950867052023121,0.0,0.06502890173410404,0.03251445086705202,0.0,0.0,0.3576589595375722,0.16257225433526012,0.06502890173410404,0.13005780346820808,0.16257225433526012,0.09754335260115606,0.29263005780346824,0.4877167630057803,0.03251445086705202,0.13005780346820808,1.170520231213873,0.03251445086705202,28.547687861271672,1.1054913294797688,2.4385838150289016,12.420520231213873,14.241329479768785,4.617052023121388,2.796242774566474,1.1380057803468209,1.5606936416184969,19.085982658959537,119.32803468208094,56.672687861271676,1.365606936416185,1.365606936416185,2.991329479768786,2.1134393063583814,22.402456647398843,5.494942196531792,0.0,1.1054913294797688,1.7232658959537572,0.16257225433526012,0.0,0.0,0.0,2.6986994219653178,2.0809248554913293,2.4710982658959537
Lille,1bfb6fef,Bafodé Diakité,FRA,23.0,DF,31,2766.0,0.1301518438177874,0.03253796095444685,0.07483731019522777,0.006507592190889371,0.0,0.0,0.2603036876355748,0.03253796095444685,0.4880694143167028,2.928416485900217,0.5206073752711496,0.227765726681128,8.3,0.0,0.15,67.87418655097613,72.85249457700651,1253.8503253796096,22.971800433839476,24.273318872017356,39.566160520607376,40.835140997830806,4.7180043383947945,6.377440347071583,0.026030368763557483,2.928416485900217,404.21908893709326,0.09761388286334056,4.587852494577006,0.0,0.0,70.11930585683297,2.6681127982646418,2.049891540130152,0.0650759219088937,0.16268980477223427,0.1301518438177874,0.0650759219088937,0.6182212581344902,0.19522776572668113,0.0,0.0,0.0,0.0,0.6182212581344902,0.5531453362255965,0.0,0.0,0.03253796095444685,0.03253796095444685,0.0,0.09761388286334056,0.0650759219088937,0.0,0.0,0.0,0.03253796095444685,0.0,1.0086767895878526,0.5856832971800434,0.5531453362255965,0.3579175704989154,0.09761388286334056,0.5856832971800434,0.8459869848156182,0.9761388286334056,0.5531453362255965,0.8785249457700651,3.2212581344902387,0.16268980477223427,80.53145336225596,6.4750542299349245,31.65943600867679,46.073752711496745,2.9934924078091107,0.6832971800433839,0.2928416485900217,0.2928416485900217,0.0,52.255965292841644,243.6767895878525,146.941431670282,0.4880694143167028,0.0,0.4229934924078091,0.19522776572668113,61.52928416485901,0.09761388286334056,0.03253796095444685,1.4316702819956617,0.5531453362255965,0.03253796095444685,0.0,0.03253796095444685,0.0,4.522776572668112,1.9848156182212582,0.7483731019522777
Rennes,5d0e0a1f,Adrien Truffert,FRA,22.0,"DF,MF",33,2752.0,0.06540697674418605,0.06540697674418605,0.07848837209302326,0.10465116279069767,0.0,0.0,0.09811046511627906,0.0,2.2565406976744184,3.4011627906976742,0.7521802325581395,0.3270348837209302,19.7,0.0,0.1,41.30450581395349,52.35828488372093,644.8800872093022,21.87863372093023,24.298691860465116,16.024709302325583,20.276162790697676,2.2892441860465116,4.709302325581396,0.1308139534883721,3.4011627906976742,199.9491279069767,1.275436046511628,1.8313953488372094,1.275436046511628,0.6540697674418604,42.906976744186046,9.255087209302326,0.8829941860465116,0.032703488372093026,0.09811046511627906,4.742005813953488,0.19622093023255813,1.275436046511628,7.129360465116279,1.242732558139535,0.3597383720930233,0.6213662790697675,0.0,2.48546511627907,1.7332848837209303,0.39244186046511625,0.06540697674418605,0.1635174418604651,0.09811046511627906,0.032703488372093026,0.2616279069767442,0.19622093023255813,0.0,0.032703488372093026,0.032703488372093026,0.0,0.0,1.9949127906976745,1.177325581395349,0.8829941860465116,0.6867732558139534,0.4251453488372093,1.0465116279069768,1.569767441860465,1.4389534883720931,0.19622093023255813,0.8829941860465116,1.8313953488372094,0.032703488372093026,62.3328488372093,2.3219476744186047,14.880087209302324,25.86845930232558,22.042151162790695,1.8640988372093021,1.4389534883720931,0.5232558139534884,0.7194767441860466,31.755087209302324,167.63808139534882,85.19258720930233,1.4716569767441863,0.4905523255813954,1.177325581395349,0.8175872093023256,38.786337209302324,7.946947674418605,0.0,0.8175872093023256,1.1119186046511627,0.1308139534883721,0.0,0.0,0.0,4.5457848837209305,0.8829941860465116,0.8829941860465116
