cluster,per90_gls,per90_ast,per90_xg,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,carries,age,cluster_size
0,0.2486,0.1702,0.3094,42.702,27.26,43.63265306122449,372.42,27.66,50
1,0.04835616438356165,0.04657534246575342,0.06082191780821918,50.92638888888889,53.06849315068493,51.330555555555556,529.7123287671233,20.356164383561644,73
2,0.08275862068965517,0.07224137931034483,0.09862068965517241,49.463793103448275,58.51724137931034,51.22586206896552,640.5344827586207,31.551724137931036,58
3,0.04871794871794872,0.05243589743589743,0.05653846153846154,51.184000000000005,56.80769230769231,55.25,695.9102564102565,25.935897435897434,78
4,0.2902439024390244,0.16073170731707317,0.2967073170731707,39.01951219512195,31.24390243902439,35.55487804878049,482.4024390243902,22.0,82
