cluster,per90_gls,per90_ast,per90_xg,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,carries,age,cluster_size
0,0.037209302325581395,0.02767441860465116,0.04302325581395349,63.18292682926829,51.13953488372093,59.437209302325584,569.9302325581396,25.046511627906977,43
1,0.21451612903225808,0.15000000000000002,0.22870967741935483,41.28709677419355,27.741935483870968,29.816129032258065,395.64516129032256,23.70967741935484,31
2,0.11666666666666668,0.165,0.10833333333333334,57.1,71.83333333333333,48.35833333333333,1185.0833333333333,24.75,12
3,0.07764705882352942,0.05382352941176471,0.0888235294117647,41.7030303030303,60.705882352941174,44.81515151515152,419.1470588235294,23.323529411764707,34
4,0.020740740740740744,0.035925925925925924,0.035555555555555556,43.53333333333334,53.55555555555556,50.044444444444444,440.74074074074076,26.185185185185187,27
5,0.31434782608695655,0.27652173913043476,0.32304347826086954,43.76521739130435,34.0,35.586363636363636,670.7826086956521,23.782608695652176,23
6,0.3679591836734694,0.10999999999999999,0.44306122448979596,35.72244897959184,16.612244897959183,42.73673469387755,260.3061224489796,25.244897959183675,49
7,0.0696969696969697,0.07818181818181819,0.08060606060606061,48.67575757575757,56.484848484848484,48.85757575757576,573.1818181818181,25.545454545454547,33
8,0.0,0.004166666666666667,0.0,77.77777777777777,1.3333333333333333,88.62727272727273,502.5,27.916666666666668,24
9,0.026363636363636363,0.01575757575757576,0.03787878787878788,54.534375,54.03030303030303,63.43030303030302,941.2121212121212,25.818181818181817,33
10,0.19125,0.19666666666666666,0.18000000000000002,45.17916666666667,42.416666666666664,36.275,587.4583333333334,25.541666666666668,24
11,0.0778125,0.099375,0.08687500000000001,44.0375,60.375,52.696875,589.9375,25.78125,32
