player_name,equipe,positions,cluster,UMAP_1,UMAP_2,UMAP_3
Evann Guessand,Nice,"FW,MF",0,20.282295,6.010812,0.9448691
Jonathan David,Lille,FW,3,20.622025,8.345456,0.86077714
Facundo Medina,Lens,DF,2,15.301927,7.2776275,4.3487973
Sergio Akieme,Reims,DF,7,18.358292,8.965826,3.4067032
Dilane Bakwa,Strasbourg,"MF,DF",0,18.187275,5.849275,1.2592982
Mark McKenzie,Toulouse,DF,5,14.862516,9.554653,4.7712593
Ludovic Ajorque,Brest,FW,3,21.935062,7.9629936,2.2085507
Clément Akpa,Auxerre,DF,5,15.675986,9.876862,4.8722854
Adrien Rabiot,Marseille,MF,4,18.260235,6.255766,3.2608085
Loïc Nego,Le Havre,"DF,FW",7,17.928293,8.87703,3.4280639
Michael Amir Murillo,Marseille,DF,2,15.664992,7.417244,3.6596863
Hicham Boudaoui,Nice,MF,1,18.394588,6.8431463,4.2524014
Brendan Chardonnet,Brest,DF,5,15.030173,10.345138,4.736109
Maghnes Akliouche,Monaco,"FW,MF",0,18.781218,5.0651536,1.6607056
Vincent Sierro,Toulouse,MF,1,16.78274,7.066535,3.9136534
Thilo Kehrer,Monaco,DF,2,13.908068,7.680566,4.79898
Clinton Mata,Lyon,DF,2,15.088755,7.9376383,4.188333
Mamadou Sarr,Strasbourg,DF,2,13.548964,8.876067,4.636064
Téji Savanier,Montpellier,MF,9,17.046396,6.4080024,2.3008354
Lorenz Assignon,Rennes,"DF,MF",4,18.290318,7.1654453,2.7872756
Habib Diarra,Strasbourg,"MF,FW",4,18.86331,7.1355658,3.1694303
Pedro Chirivella,Nantes,MF,1,15.875295,6.977223,4.4205947
Elisha Owusu,Auxerre,MF,6,18.57804,7.817335,5.1591396
Yann Gboho,Toulouse,"MF,FW",0,19.939493,5.4942675,1.6084191
Corentin Tolisso,Lyon,MF,1,16.745035,5.8447485,3.95016
Abdoulaye Touré,Le Havre,MF,1,17.495876,7.2898355,4.148256
Hugo Magnetti,Brest,MF,6,18.057983,8.146288,5.0423064
Etienne Youte Kinkoue,Le Havre,DF,5,14.061938,10.113335,4.617373
Douglas,Nantes,MF,6,17.463867,7.5759015,4.851023
Mickael Nade,Saint,DF,5,14.270305,9.532266,4.0387144
Jonathan Clauss,Nice,"DF,MF",9,17.247469,6.787453,1.6877618
Lassine Sinayoko,Auxerre,"FW,MF",0,20.535873,6.9296107,0.71187997
Ludovic Blas,Rennes,"MF,FW",0,18.650856,6.2767053,1.0084783
Emanuel Emegha,Strasbourg,FW,3,21.510653,8.364654,1.3721006
Gideon Mensah,Auxerre,DF,8,17.173414,8.402836,2.7343442
Leonardo Balerdi,Marseille,DF,2,13.501454,7.677216,4.1908503
Takumi Minamino,Monaco,"MF,FW",0,19.79552,6.7845044,2.1054602
Andy Diouf,Lens,MF,4,19.060566,6.13864,3.07274
Moïse Bombito,Nice,DF,2,14.285218,8.865493,3.9771616
Cédric Kipré,Reims,DF,5,14.503405,9.357073,4.5087514
Bradley Barcola,Paris S,FW,0,18.896208,4.7521114,1.716109
Kelvin Amian,Nantes,DF,7,18.213816,9.6506405,3.5105894
Gabriel Suazo,Toulouse,DF,8,17.157461,7.328945,2.519151
Denis Zakaria,Monaco,MF,1,17.230398,7.0819016,4.553999
Modibo Sagnan,Montpellier,DF,5,15.578582,9.752955,5.0869884
Willian Pacho,Paris S,DF,2,13.634163,7.6008873,4.1944532
Dennis Appiah,Saint,DF,7,17.119415,8.964142,2.9893641
Ki-Jana Hoever,Auxerre,DF,8,17.893759,8.615133,2.5831769
