player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Diego Moreira,Strasbourg,"DF,MF",1,0.11998486338636748,-0.4569222592779484,-0.5700056226632373,0.8039291830235329
Evann Guessand,Nice,"FW,MF",7,1.2255325091191156,-1.168322517093211,-0.9639328022387579,1.1145053437774846
Jonathan David,Lille,FW,7,2.2022565890572876,-1.595189578908225,-0.6879606202251615,1.1046947391793849
Guillaume Restes,Toulouse,GK,5,-1.9755846190577786,-0.23933950700909032,1.5390932934323205,-2.1965925041375196
Facundo Medina,Lens,DF,2,-0.9165683957905749,0.9906429878920509,-0.5533168898319326,-0.40779257804242797
Sergio Akieme,Reims,DF,3,-0.4700325418716921,-0.5167727950195772,0.22733096275259834,-0.08322957487422103
Dilane Bakwa,Strasbourg,"MF,DF",4,0.4463290642823714,-0.8711066768630984,-1.705827793618821,0.8607830183650917
Mark McKenzie,Toulouse,DF,0,-0.8824728589737934,1.0359631598497623,1.095043453834362,-0.9030749897241782
Ludovic Ajorque,Brest,FW,7,1.873181510841809,-1.7116039294934897,0.34244210181030477,0.6277669986836343
Clément Akpa,Auxerre,DF,0,-0.4857383986275176,0.6259008595500746,1.1225819284342082,-0.6244288201878788
Adrien Rabiot,Marseille,MF,1,0.06834744857710015,0.7544844243878579,-0.9586277432291991,0.5700771975079428
Loïc Nego,Le Havre,"DF,FW",3,-0.8220221235515556,-0.34467373012819513,0.34665702976660595,0.023546075052878875
Michael Amir Murillo,Marseille,DF,2,-0.7847423784053589,1.0136230707807068,-0.20898770039921877,0.006297373197857289
Hicham Boudaoui,Nice,MF,1,0.5033941266424354,0.13743527887364762,0.214874738967906,0.4100624183565919
Brendan Chardonnet,Brest,DF,0,-0.7249364904322063,1.0166641199597015,1.3720299107950455,-0.997139629828829
Maghnes Akliouche,Monaco,"FW,MF",4,0.591419221695094,-0.30380117758808095,-1.3514447399367948,1.4410838385161833
Vincent Sierro,Toulouse,MF,1,0.375356051708557,0.41663493200694357,-0.6956787736414429,-0.04981067444047909
Thilo Kehrer,Monaco,DF,2,-1.0421994080046943,2.009928900836066,0.482724627652603,-0.656784113659226
Clinton Mata,Lyon,DF,2,-0.864808131342254,1.2259871161193663,0.056650638045447975,-0.35071397075256466
Mamadou Sarr,Strasbourg,DF,0,-1.0847873457410238,1.4704236770571828,0.4880356809072142,-1.043526852828063
Téji Savanier,Montpellier,MF,4,-0.015169499429718365,-0.1929917717037156,-1.8375214791302492,-0.12072777778163375
Lorenz Assignon,Rennes,"DF,MF",3,-0.0935098203222231,-0.33884597866920296,-0.48032380549321424,0.7389352694395063
Habib Diarra,Strasbourg,"MF,FW",1,0.6735519565847483,-0.528603864823595,-0.4798921589941629,0.236279326809013
Pedro Chirivella,Nantes,MF,2,-0.20543057236157497,0.8173420119814583,-0.3959638433899527,-0.42552133859641794
Elisha Owusu,Auxerre,MF,6,0.3230456419085578,-0.005189378974683413,1.1369031231211886,-0.1619664700942714
Yann Gboho,Toulouse,"MF,FW",4,0.8291428443709358,-1.0074086196852738,-0.8866767203582878,1.1750158806621915
Corentin Tolisso,Lyon,MF,1,-0.0004035725419911526,0.8380338168507071,-0.8943296977699894,0.5480481022250393
Abdoulaye Touré,Le Havre,MF,1,1.0340195118010038,0.01733365322804784,0.11523314833075632,-0.5485955741221719
Hugo Magnetti,Brest,MF,6,0.1359840156402206,0.11003061503189975,0.6688413723831365,-0.27323672360716755
Etienne Youte Kinkoue,Le Havre,DF,0,-0.5470663283752819,1.0082641072917138,0.9175852591576175,-1.4827789814074643
Douglas,Nantes,MF,6,0.4415208323817247,0.46231871123877455,0.5540579268356642,-0.14605516913895206
Mickael Nade,Saint,DF,0,-0.9949283228367117,1.3642486648711496,1.7369473785282183,-1.1036839926221138
Jonathan Clauss,Nice,"DF,MF",4,-0.5042858369369666,-0.18460179410880775,-1.863716938561963,0.3243306458693806
Lassine Sinayoko,Auxerre,"FW,MF",7,1.130458788725317,-1.6052385322761276,-0.8214934740002764,1.0968007077570223
Ludovic Blas,Rennes,"MF,FW",4,0.5091901156578246,-1.15810643755495,-1.908809240307496,0.6088112050190078
Emanuel Emegha,Strasbourg,FW,7,2.1942973412381463,-1.265362470954586,0.1602082403733384,1.243567538358148
Gideon Mensah,Auxerre,DF,3,-0.8886135964389675,-0.0314651908806718,0.09724828689013196,0.16253343844037457
Leonardo Balerdi,Marseille,DF,2,-1.1416331684550947,1.9570498335273496,-0.6029860197967317,-0.5390484656426993
Takumi Minamino,Monaco,"MF,FW",7,1.0719265180762951,-0.7247439636710762,-0.16842758343974906,1.128222795567348
Andy Diouf,Lens,MF,1,0.5365814455450745,-0.18521135445911463,-0.389419162332505,0.887939318715391
Moïse Bombito,Nice,DF,0,-0.7338607698802047,1.5109520078335104,0.37295140336997595,-1.076520002088797
Cédric Kipré,Reims,DF,0,-0.6072929207271862,1.058395862326915,0.6065648358622373,-1.1531239450241408
Bradley Barcola,Paris S,FW,4,0.8234428021683629,-0.5608285008763558,-1.7630532993242947,1.5617216132650347
Kelvin Amian,Nantes,DF,6,-0.5113221094206334,-0.6375330356414133,0.6118366496324853,-0.10291229382362281
Gabriel Suazo,Toulouse,DF,3,-0.637740356982956,-0.06940747394573507,-1.0455322471433774,0.362976509049207
Denis Zakaria,Monaco,MF,1,0.9311421330142524,0.8173014027604901,0.5085419323761389,-0.13751655594479623
Modibo Sagnan,Montpellier,DF,0,-0.5481492307815542,0.7715136620472659,1.4480682785283259,-0.9432492865378881
Willian Pacho,Paris S,DF,2,-1.302993925092396,1.832574365008436,-0.0998972662695181,-0.49401693993291573
Dennis Appiah,Saint,DF,3,-1.0729732520172834,-0.26319132825548186,0.4615803390034577,-0.11321256789763963
Ki-Jana Hoever,Auxerre,DF,3,-0.8916508906314119,-0.28975852773441985,0.04280441419167824,0.41350350980907125
