player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Denis Zakaria,MF,Monaco,3,17.230398,7.0819016,4.553999,27.0
Modibo Sagnan,DF,Montpellier,3,15.578582,9.752955,5.0869884,25.0
Willian Pacho,DF,Paris S,1,13.634163,7.6008873,4.1944532,22.0
Dennis Appiah,DF,Saint,2,17.119415,8.964142,2.9893641,32.0
Ki-Jana Hoever,DF,Auxerre,4,17.893759,8.615133,2.5831769,22.0
Jonathan Gradit,DF,Lens,2,15.024969,8.577314,4.609295,31.0
Sebastian Nanasi,"MF,FW",Strasbourg,4,18.666517,6.453071,1.655602,22.0
Djibril Sidibé,DF,Toulouse,2,16.587967,8.102441,3.343903,32.0
Yassine Kechta,"MF,FW",Le Havre,4,18.871918,7.0783944,4.5724654,22.0
Wilfried Singo,DF,Monaco,3,14.614619,7.895951,4.618209,23.0
Hamed Junior Traorè,MF,Auxerre,4,19.80998,6.1744304,1.2825819,24.0
Azor Matusiwa,MF,Rennes,3,17.177547,7.2392964,5.064293,26.0
Achraf Hakimi,DF,Paris S,3,15.555981,5.459718,3.7748172,25.0
Vanderson,DF,Monaco,1,16.794807,8.628313,2.4003365,23.0
Lamine Camara,MF,Monaco,1,17.064095,6.7248178,2.7605257,20.0
Alexandre Lacazette,FW,Lyon,2,20.95029,8.727857,0.98445386,33.0
Nicolas Cozza,"DF,MF",Nantes,3,18.068132,9.396439,3.8306823,25.0
Warren Zaïre-Emery,"MF,DF",Paris S,1,15.751369,6.078579,4.0736656,18.0
Johann Lepenant,MF,Nantes,1,18.749743,7.439369,4.5016065,21.0
Carlens Arcus,DF,Angers,3,17.760813,9.374354,3.1678936,28.0
Vitinha,MF,Paris S,3,15.217386,5.8243136,3.9122396,24.0
Rayan Cherki,"FW,MF",Lyon,4,17.67677,5.2672505,1.4236436,20.0
Geoffrey Kondogbia,"DF,MF",Marseille,2,14.172995,7.243433,4.2425194,31.0
Nicolas Pallois,DF,Nantes,2,15.162004,10.444083,4.68139,36.0
Dylan Batubinsika,DF,Saint,3,13.910296,9.8100195,4.480025,28.0
Lucas Beraldo,DF,Paris S,1,13.8116865,7.0958323,4.1272697,20.0
Nemanja Matić,MF,Lyon,2,15.696305,6.7827697,4.245254,35.0
Josué Casimir,"FW,MF",Le Havre,4,20.249601,6.458421,0.7872156,22.0
Ainsley Maitland-Niles,DF,Lyon,3,16.882175,8.30225,2.663677,26.0
Aurélio Buta,DF,Reims,3,17.837902,9.496556,3.5756583,27.0
Dante,DF,Nice,2,14.504513,8.08791,4.559295,40.0
Jean-Eudes Aholou,MF,Angers,2,18.658764,7.653199,5.0887856,30.0
Sinaly Diomande,DF,Auxerre,3,14.830921,10.456993,4.3282266,23.0
Melvin Bard,"DF,MF",Nice,4,17.525915,8.618038,2.2957637,23.0
Youssouf Ndayishimiye,DF,Nice,3,14.456092,8.611873,4.2612443,25.0
Caio Henrique Oliveira Silva,DF,Monaco,0,16.911789,6.895596,1.988223,27.0
Thomas Meunier,DF,Lille,2,16.15582,7.7986574,2.874422,32.0
Fabián Ruiz Peña,MF,Paris S,3,16.00217,5.7239256,3.6735132,28.0
Issa Soumaré,"FW,MF",Le Havre,4,20.641216,6.968641,1.8232484,23.0
