player_name,equipe,positions,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,cluster
Jordan Lefort,Angers,DF,6.85991908300626,-3.198215067951662,0.5547448282200574,-3.35288080243501,1.180054769802476,0.0310278765399272,0.3079736315412778,-0.6066729738355546,1.0007395232258225,0.8827770104434407,-1.3992575395590787,-0.7515332097702129,-0.2406851921891408,0.853905749087448,-2.029047567725857,-0.651935378403826,0.1745884252141343,0.9631972057234572,-0.2411076014863293,-2.09372150084553,-0.2794534017872526,-1.0309699115527673,-0.712246323737921,0.2635250190505686,-0.5760230642760839,0.0847084223049917,0.7826207948698464,0.6110432231270025,-0.0573731464511478,-0.1655049340784868,-0.3237318507817844,-1.0927190547344885,0.6804178404107717,0.1384019471685094,0
Andrey Santos,Strasbourg,MF,3.316086479940661,0.4727569954660038,0.3496664181978082,3.559234101918105,-2.3113417351516428,-1.6522134873967649,4.988439942113965,1.3271919525426117,-0.7636666541772313,-0.1197026152210641,0.2728251687455056,0.4052015973598411,0.1042632066605032,0.55646381269113,-0.3496304383842661,-0.3970927586606884,-0.2419037401054348,0.2927840053930692,1.4228338588708929,-0.856511240112962,0.2983825296476051,-0.0587307944430365,0.3050377488064406,0.8178326387569606,-0.6381584345406952,-0.6618665338188328,0.8337922445554138,-0.881450768118734,-0.1014927572165317,0.6047098508157445,-0.6678818670527253,0.5607345825797283,0.5936807860280278,-1.2258423292139282,0
Valentin Atangana Edoa,Reims,MF,1.007722326269946,-4.314138054509007,-1.064200344405198,2.219494480039307,0.7275253856265185,-0.4872683641360338,0.5419057071547725,-0.9959075220628958,0.1825921086893122,-0.4436317717255493,-0.3039730913566634,1.135122506853962,-0.5754836390541626,-1.4219210508731404,-1.4270379183235322,-0.4017834224006693,-0.6344586022025805,1.3464309215034664,0.4919919772474996,-0.9882791267921888,0.412672352137936,-1.7190020252628515,0.2848352966395765,0.0689154671875506,-0.6969594194590505,-0.8178970712102748,-0.350997575728782,-1.275704227342889,-0.3602519338170956,0.4246648032994963,0.6285550488327734,-0.0746960490924942,-0.0879066721128437,-0.1577569490364035,0
Himad Abdelli,Angers,"MF,FW",-0.855649133186819,3.4255374099146816,-1.295902045069301,0.2651737062196753,2.959670997751528,-3.9891041568311674,-1.017812987817014,3.453335078275793,0.3856410940407833,1.2712180591954865,-0.2080292661061452,-0.140029364714967,0.3268919037353429,-0.6884601476992025,0.3657827716340736,0.3192182375001711,0.0377900237436323,-0.5082659370254505,-2.053205560252794,-2.1958195421731856,1.5943546454496584,-1.998038437157734,0.9134249109377032,-0.0511320228234619,0.0761748065221846,-0.8904880003461128,1.187912928184742,0.442392782802658,-0.884196021942323,0.0197652884982552,-0.374570835145366,0.4525111960496173,0.8381230186603132,0.1742320266184802,0
Mason Greenwood,Marseille,"FW,MF",-8.379489976517794,6.229065412872181,3.3175027044958783,-2.018065967912783,0.3662859942729164,-1.2507192518593668,2.8214428951632406,2.3381296332999915,-0.6369560813005763,3.890487406139862,-3.931703643722473,-0.9367430678730052,2.669008695469295,-2.4012618373744874,-0.0689367107634621,-0.3792968475222445,0.3717072069989681,0.519789599235914,-0.8898226184539519,-0.210957926542437,0.4152824746240925,0.1135347130565426,0.1943844931002112,-0.7169122761889377,0.5957523902915346,0.1278386704740525,-0.594622833552155,-1.489564642599437,0.4435375374543824,-1.4165292697781282,-0.2166646567592239,0.6230147412705732,-0.690641470618282,0.0157127640055128,0
Zuriko Davitashvili,Saint,"FW,MF",-8.2344109090776,0.6421835048988223,-1.406419356967873,-3.271444540645943,1.5819417043102422,-1.7781450275551371,2.005324518744074,-1.297860921826602,1.6112825288098849,1.9431196551638688,0.0950640020710687,0.3507855010531385,-0.6723863022490458,-1.1017989388682528,0.5516565317354486,-1.1435683506674326,2.186749769505249,1.383465534486784,0.5093795636520184,0.1982803579143335,-0.1464109092435715,-0.3839376442415019,0.0056432505932968,-1.308052373914997,-0.4725611538064668,-1.4981974048771678,0.2442084388163193,0.1368331356899895,-0.5891928861297131,-0.7526883939374912,-0.0623119727991256,-0.6765394850406492,0.2056403641781869,0.134149115174931,0
Gautier Lloris,Le Havre,DF,6.386533486671992,-4.171088777405032,0.93242764362803,-1.6709145898925657,-0.214414491872616,-0.030445220327298,1.504167595354471,0.4413525450764389,0.0829570812309409,0.0683672248298762,-0.4011288075479817,-1.3229655586457834,-0.3778991999799199,0.9908263087484694,-0.3982924524665662,-1.424832310268445,0.8545479649912495,0.7246703918232972,0.9345245851083992,-1.412785678192824,-0.1335415271614938,-0.6861476677660789,0.0455747385963708,-0.4402747043345428,-1.01952495754754,-0.1535850441040676,0.6156095314191431,-1.1074277171264717,0.3624762004321763,0.2249559389086724,0.1194532608034718,-0.0215253321359999,-0.4576834451579056,0.2953284797310484,0
Matthis Abline,Nantes,FW,-8.045036013586467,-5.0125703504006,1.3015617277408609,-0.8686003751517429,2.433052370838233,0.2144672336091974,0.3940623056334123,0.3075602530685213,-0.6939444047066752,-0.5585732608319108,-1.2337559149322963,2.303426695807326,0.6697284481174545,0.5050056213490481,-1.539980339980622,-1.5013129219144707,-0.3717292905923976,0.3776993368057116,-1.0961770608427148,0.6061687494051093,0.9068243242659207,-0.0345732422450541,0.5468444836679974,-0.7679464049563622,-0.0338439132527485,-0.4453346762403151,-0.2178792025293889,-0.55708415980836,-0.0352945064007109,-0.0633898076472124,-0.9154129795215096,0.1195912557260964,0.3293679652069314,-0.312690531448362,0
Bafodé Diakité,Lille,DF,8.016958912990185,0.2710453598344923,6.349332776667218,-2.191912361077992,1.2837224015568376,0.3452347767301738,2.122451827091276,-0.4918100752261437,-1.5704300871015893,-0.0839017907116962,0.0854073581718243,1.627652021163984,1.2695515374313768,0.7065475868458142,1.6566161938837718,-0.1285301487534432,0.2148177965316305,-0.8919709515645031,0.9791343786101496,1.3556432553736957,1.6304934501744774,-0.7873398453302758,1.158554123356368,-0.4647959003984712,-1.188930088911175,-0.7418605784630258,0.3886904253819141,1.0609158313260325,0.0079030623724027,0.2843910194652548,-0.025260400461545,0.3360070042657966,0.8468450244595603,-0.4463195483072082,0
Adrien Truffert,Rennes,"DF,MF",0.104585089747766,1.6090223900490366,-2.929667208389452,-1.2064796907483255,-0.0032383824953218,2.837924837349257,-0.4466534588883261,1.8815730751595168,0.8049520753404311,-0.1632296194867135,-0.0680804125791015,-0.8360909978380461,-2.103951843838423,-0.4483212054368189,1.090269652819846,0.3398953691752745,-0.7791504052442668,-1.0950864722693363,-0.5064231052530084,-0.858710430125337,-0.6535675550848422,-0.4884096644271337,0.7241332606588785,0.2296570578810339,-1.3226940018038589,0.3491109082482537,-0.9164459824919128,-0.2976892398853931,-0.5226851359090132,0.7102659225995193,0.2720886081141634,-0.0173742960303312,1.0134845434315265,0.4604349888260154,0
