player_name,equipe,positions,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,cluster
Gautier Larsonneur,Saint,GK,-5.38763168481689,-9.283859460340713,-4.949939454955629,5.489898269633946,-1.102417119042405,-0.3714200953651553,0.6713180262553201,-1.1667007124659683,-1.844762706724544,0.9640379166322468,-0.4671109904546801,-1.2668077058728044,0.2800424879524956,0.8145142956208768,-1.5795339745080808,1.510816700195596,0.8010780276303221,0.570840442457066,-0.3460003893260572,1.1820130367487554,-0.0744606511386789,0.0124930055729898,-0.3445335109210182,0.4026677008393558,0.0831633539432991,-0.119155016132278,-0.778929858923634,-0.2236761150852987,-0.6375424468385473,0.6382906138309142,-1.3753622801986038,-0.5913512281131605,-0.1659410189380964,0
Jordan Lefort,Angers,DF,-6.8827015141545616,-1.5741103709777005,-0.5819863672405866,1.0674466662090178,0.3566355000601401,-1.427456346112662,-0.2854823592323303,0.1997684747149312,0.3876125359072587,1.213900505343965,0.7155452537622041,0.951094327816658,-0.8046208047465954,-0.5599341528648865,-0.0128867138892411,-1.4844160545259288,1.7529931468125473,0.105112194105701,-0.5188273162054671,0.4410080871061131,2.036792255106783,-1.1546412591541038,-1.3285754853720615,-0.130533595749297,-0.2551916112222578,-0.0591699735038478,-0.4217823536345836,-0.5860930045131572,-0.6824002596398353,-0.0975353488729336,0.2797124218506485,-0.6491740881060607,-0.1690602138409715,0
Gerónimo Rulli,Marseille,GK,-5.662742806899012,-7.182226442046608,-6.650366026806496,1.853593102101136,-1.8834939562582815,1.7618754758894268,0.8415102443665364,-1.1254400755788194,-0.4523418992302495,0.0224602979680595,0.0519475729121378,-1.0763737539361913,-0.550074376130047,0.6731123084506376,-0.2994525984824889,0.9306060302581312,0.1957570558206621,-0.6205179924871048,0.4896143517976748,-0.0135736401245973,1.171779916908561,0.3386871240946485,-0.1142887915248541,0.2785688694333647,-0.4186945797333322,-0.0489106833021875,1.1746904869664383,0.3883271880430797,0.9867801870887084,-0.1449696300867234,0.4708320646655285,-0.2004154600225845,-0.4640624452722205,0
Lucas Chevalier,Lille,GK,-5.243687507757223,-7.779117738501951,-6.244455160442102,2.448666411464069,-2.490762790669001,1.7005643655094054,0.834725494690011,-0.7269961280052364,-0.525119495081977,-0.4797203910025371,0.4026280396045661,-0.7882817590648515,-0.8440268627823414,0.893921488025765,-0.2812405258397954,-0.7661645697252221,0.1636752458929973,-0.454784802177502,-0.3399036562468437,-0.025660579925203,0.1738748861799755,0.038921864540165,-0.8297088865665098,0.30128634825089,0.3232267583861661,-1.074252134024202,-0.1310464227846938,-0.0434146083631845,1.1987031527930476,-0.1001036940266876,0.3838068699551747,-0.1252012875527046,0.2074431654611073,0
Marcin Bułka,Nice,GK,-4.779784139563319,-8.079085253031012,-6.785807938663309,2.3316669636413008,-2.2695305563545487,2.6815211456864847,0.3668801785932468,-1.0917774985777795,-1.5859660840112324,0.2912213863902807,0.027298314503258,-3.322860116992175,-0.7824006274058068,2.029451226185172,-0.2225210246064477,-0.8900536997818415,1.950006729927661,0.5578856244964706,-0.6799087161877276,0.3936004205114715,0.0082440885019912,0.4164850568409933,0.1694270524475962,1.0138701078281256,-0.0137287215737503,-0.4840090273053049,1.2420402785940576,0.5486859583149795,-0.3840002484740843,-0.4916850143085037,-0.3051339726767046,0.1575626588449671,-0.8540461462895865,0
Yehvann Diouf,Reims,GK,-6.13572519232688,-8.522317544596712,-6.577861195740663,4.985597219592163,-1.816763256045297,0.3030419975239843,1.1569518081003505,-0.8465982453852,-0.6687201828252708,-1.0356504997631395,1.1647555112200734,1.4976174555515165,0.6069392291322504,0.0570234942658841,-2.891052819288427,0.9564881764663116,-0.6783924313291836,-0.480030313529803,0.1730065677460707,-0.9657313961758506,-0.9790867841125852,0.7393772124179527,-0.3396495308519248,1.3233137803031527,-0.18196816142053,0.5391284449719318,-1.4209883763452218,0.0030728110371,-0.0778127381516659,-0.1643210988808306,-1.3933427571154438,0.3349555424433571,1.9315327046517703,0
Lucas Perri,Lyon,GK,-4.728458399520161,-8.343636997656313,-6.855581676119591,2.389043846338927,-2.395145100844098,2.449717880436165,0.7360820526672617,-0.8099372522576317,-0.1313866952639741,-0.7436127959885644,0.777574916197049,-0.968918353044362,1.6122430425926926,0.0056918985393024,0.6221367772262926,-0.7923764286093782,1.2358018770166197,0.7153351609592261,0.7515989938888915,1.0986770976882538,-0.1327462071514786,0.464656622621421,-0.0221110538993256,0.91106012158894,-0.5147168413265605,0.6072478633402195,-0.1400482165613824,0.4896171995818227,-0.5888529094636643,-0.5326908293116746,-0.8737308343932997,0.1257887410835582,-0.4305250737284856,0
Yahia Fofana,Angers,GK,-5.339067922509032,-9.155829809332056,-6.379347213625241,4.528071681628483,-2.384352820677419,0.8668376478210009,1.3682612859705992,-1.2136201812878855,0.9917995037666468,-1.3083868577314908,1.850979369199065,1.9551960511055229,3.5299900255580505,-1.3240911150902126,0.3947859251296616,0.062375524941899,0.947719437904894,1.062686426924518,1.8279471255063016,0.8328244261123781,-1.1725752887428762,0.9700437346655008,0.0427457989790954,0.1627205175474494,0.1597745331093597,0.4797839983599285,-1.159400796578048,-0.5467014616555617,-0.3939768480584271,-0.0537851853912514,-1.7509121863490409,0.0683417908507653,0.3558476951276617,0
Marco Bizot,Brest,GK,-6.133077981922889,-8.754008233841814,-6.305471510385203,4.826893555620455,-1.3020001480435184,0.9100346589483952,0.3072909904425616,-1.1913950018898694,-1.5303844414073977,-0.0270058566089586,0.4909148357637806,-0.9143267968845268,-0.0345116105728472,1.0963881124000925,-2.090944274818164,1.631524671969153,0.7578779297209383,-0.5830168146053923,-0.908603549515374,0.8866682001707319,0.8167102927541426,-0.4929029000270581,0.2106625382262918,-0.3708094716322541,0.2394090113355942,-0.2548752444251898,-0.786259405034325,-0.5648586305604484,0.2258653134904726,0.1589989706751803,0.3017739065381107,0.2158476430043434,-0.0837367962015435,0
Donovan Léon,Auxerre,GK,-5.89744179924076,-8.379518921787545,-7.475650715811658,5.7580211030644906,-1.280945490509549,0.9491918628805884,1.0831307094355802,-1.6158412196597771,0.3771908166973619,-0.8525172716543687,1.3940172157442683,1.4597806449723885,2.465309084511408,-0.8453387372642017,-1.9462866845653883,1.9590659254577056,0.7202751053015373,-0.203973875702808,-0.299755107440471,0.6579123741676725,-0.5441873230551092,0.6968582439229813,0.4029805368093423,0.8498077314917455,-0.7448798790684191,1.0345769272432082,-1.4367453990014862,-1.0795431450971689,-0.4234258492506086,-0.0073062332491913,-1.1122811108360475,-0.2739648381451016,-0.8965538716388242,0
