cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age,cluster_size
0,0.032902434947344975,0.1243741804881416,0.08354614486969175,1.0,0.8762986720684223,1.0,0.9033330773366101,0.5135888120240879,100
1,0.0,0.0,0.0,0.87313271980957,0.8070664632672286,0.8333606624579813,0.6561891316433124,0.0,81
2,0.85991680109591,1.0,0.42718710516774194,0.16029619027768321,0.0,0.3608674264163315,0.0,0.6600964053735495,41
3,1.0,0.9593798164293439,1.0,0.0,0.11583464626003455,0.0,0.287190777291384,0.1112427213457423,75
4,0.04175805528399276,0.19576948895920163,0.2965011784711086,0.8044078532137532,1.0,0.8941468468401319,1.0,1.0,44
