cluster,per90_gls,per90_ast,carries_prog,pct_take_on_suc,tkl_plus_int,pct_air_dual_won,ball_recov,age,cluster_size
0,0.7534814499840545,1.0,1.0,0.16133815841025215,0.22711891032144474,0.0,0.28752775338086645,0.19881950916433716,51
1,0.24842020717432645,0.4459857687055272,0.4120745022479127,0.5120914798634484,0.9261155001669078,0.4131994941700039,1.0,0.8838148493320905,36
2,0.02364611718828999,0.0,0.13703651487381927,0.6789228675786007,0.6730670589225085,1.0,0.6483443903343791,0.6332825676812224,41
3,1.0,0.4418110160760919,0.2930635838150289,0.0,0.0,0.3653422798899815,0.0,0.626359117738428,48
4,0.3928989050706921,0.6611083159634875,0.846242774566474,0.32169473103285556,0.5412458518513671,0.4284570114413387,0.60803225120151,0.0,17
5,0.026363346444137365,0.011320347876087107,0.0,1.0,0.7380791862756008,0.9055039169283629,0.3904348347889652,0.7176141658900281,34
6,0.06245212921092587,0.12228187251546699,0.11290944123314067,0.32918201110453543,0.7295923171076171,0.5118066888741657,0.45090206093637425,0.004301383611728424,39
7,0.0,0.08057212678789619,0.3184971098265895,0.21148750268566918,0.5890796509991556,0.5986457172420279,0.2502141169924337,0.6244175209692456,34
8,0.1481368990670575,0.34817727853018593,0.6398018166804295,0.3039768367420017,1.0,0.6339991822689702,0.6940687060319817,0.9932099587271999,21
9,0.35845646858722235,0.831732911665349,0.7175722543352602,0.36790088089952,0.5428952932012907,0.23961051226804952,0.6036724473708616,1.0,20
