dataset,n_components,explained_variance_cum,trustworthiness_k,continuity_k,mrre_k,out_file,distance_corr
joueurs_ligue1_2024_2025_clean_custom,33,0.9009999177075925,0.9977907571482784,0.9984501211092971,0.0651614383090832,./reduced_data_pca/joueurs_ligue1_2024_2025_clean_custom_pca_33d.csv,0.9974592281668364
joueurs_ligue1_2024_2025_clean_custom_no_GK,34,0.9024339584079583,0.9979116123998014,0.9984222026904954,0.06351621889964626,./reduced_data_pca/joueurs_ligue1_2024_2025_clean_custom_no_GK_pca_34d.csv,0.9978516888062817
joueurs_ligue1_2024_2025_clean_per90,29,0.9002092865625066,0.9978832375682769,0.9980590346444005,0.06781023301815547,./reduced_data_pca/joueurs_ligue1_2024_2025_clean_per90_pca_29d.csv,0.9972536620749821
joueurs_ligue1_2024_2025_clean_raw,23,0.904023534487252,0.9976562389160815,0.9981292267877634,0.06700334865954401,./reduced_data_pca/joueurs_ligue1_2024_2025_clean_raw_pca_23d.csv,0.998275163301814
