pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,player_name,equipe,positions
6.85991908300626,-3.198215067951662,0.5547448282200574,-3.35288080243501,1.1800547698024761,0.03102787653992726,0.3079736315412778,-0.6066729738355546,1.0007395232258223,0.8827770104434407,-1.3992575395590787,-0.7515332097702129,-0.2406851921891408,0.853905749087448,-2.029047567725857,-0.651935378403826,0.17458842521413434,0.9631972057234571,-0.2411076014863293,-2.09372150084553,-0.2794534017872526,-1.0309699115527673,-0.712246323737921,0.26352501905056863,-0.5760230642760839,0.08470842230499177,0.7826207948698464,0.6110432231270025,-0.05737314645114784,-0.1655049340784868,-0.3237318507817844,-1.0927190547344883,0.6804178404107717,0.13840194716850945,Jordan Lefort,Angers,DF
3.316086479940661,0.47275699546600386,0.34966641819780825,3.559234101918105,-2.3113417351516428,-1.6522134873967649,4.988439942113965,1.3271919525426117,-0.7636666541772313,-0.11970261522106417,0.27282516874550566,0.4052015973598411,0.10426320666050327,0.55646381269113,-0.34963043838426616,-0.39709275866068844,-0.24190374010543483,0.29278400539306926,1.4228338588708929,-0.856511240112962,0.2983825296476051,-0.058730794443036555,0.3050377488064406,0.8178326387569606,-0.6381584345406952,-0.6618665338188328,0.8337922445554138,-0.881450768118734,-0.10149275721653171,0.6047098508157445,-0.6678818670527253,0.5607345825797283,0.5936807860280278,-1.2258423292139282,Andrey Santos,Strasbourg,MF
1.007722326269946,-4.314138054509007,-1.064200344405198,2.219494480039307,0.7275253856265185,-0.4872683641360338,0.5419057071547725,-0.9959075220628958,0.18259210868931222,-0.4436317717255493,-0.3039730913566634,1.1351225068539619,-0.5754836390541626,-1.4219210508731404,-1.4270379183235322,-0.4017834224006693,-0.6344586022025805,1.3464309215034664,0.4919919772474996,-0.9882791267921887,0.41267235213793607,-1.7190020252628517,0.2848352966395765,0.0689154671875506,-0.6969594194590505,-0.8178970712102748,-0.350997575728782,-1.2757042273428887,-0.3602519338170956,0.4246648032994963,0.6285550488327734,-0.07469604909249425,-0.08790667211284378,-0.1577569490364035,Valentin Atangana Edoa,Reims,MF
-0.855649133186819,3.4255374099146816,-1.295902045069301,0.2651737062196753,2.9596709977515276,-3.9891041568311665,-1.0178129878170141,3.453335078275793,0.3856410940407833,1.2712180591954865,-0.20802926610614528,-0.14002936471496705,0.32689190373534294,-0.6884601476992025,0.36578277163407363,0.31921823750017114,0.03779002374363233,-0.5082659370254505,-2.053205560252794,-2.1958195421731856,1.5943546454496584,-1.998038437157734,0.9134249109377032,-0.051132022823461944,0.07617480652218464,-0.8904880003461128,1.187912928184742,0.44239278280265804,-0.884196021942323,0.019765288498255276,-0.37457083514536604,0.45251119604961737,0.8381230186603132,0.17423202661848022,Himad Abdelli,Angers,"MF,FW"
-8.379489976517794,6.229065412872181,3.3175027044958783,-2.018065967912783,0.3662859942729164,-1.2507192518593668,2.8214428951632406,2.3381296332999915,-0.6369560813005763,3.890487406139862,-3.931703643722473,-0.9367430678730052,2.669008695469295,-2.4012618373744874,-0.06893671076346218,-0.3792968475222445,0.3717072069989681,0.519789599235914,-0.8898226184539519,-0.21095792654243709,0.41528247462409257,0.11353471305654264,0.19438449310021128,-0.7169122761889377,0.5957523902915346,0.1278386704740525,-0.594622833552155,-1.4895646425994373,0.44353753745438246,-1.4165292697781282,-0.2166646567592239,0.6230147412705732,-0.690641470618282,0.01571276400551289,Mason Greenwood,Marseille,"FW,MF"
-8.2344109090776,0.6421835048988223,-1.406419356967873,-3.271444540645943,1.5819417043102422,-1.7781450275551371,2.005324518744074,-1.297860921826602,1.6112825288098849,1.9431196551638688,0.09506400207106874,0.35078550105313855,-0.6723863022490458,-1.1017989388682528,0.5516565317354486,-1.1435683506674326,2.186749769505249,1.3834655344867839,0.5093795636520184,0.19828035791433357,-0.14641090924357153,-0.38393764424150195,0.005643250593296864,-1.308052373914997,-0.4725611538064668,-1.4981974048771678,0.24420843881631935,0.1368331356899895,-0.5891928861297131,-0.7526883939374912,-0.06231197279912566,-0.6765394850406492,0.2056403641781869,0.13414911517493103,Zuriko Davitashvili,Saint,"FW,MF"
6.386533486671992,-4.171088777405032,0.9324276436280299,-1.6709145898925657,-0.21441449187261608,-0.03044522032729805,1.504167595354471,0.44135254507643895,0.08295708123094095,0.06836722482987621,-0.4011288075479817,-1.3229655586457834,-0.37789919997991994,0.9908263087484694,-0.3982924524665662,-1.424832310268445,0.8545479649912495,0.7246703918232972,0.9345245851083993,-1.412785678192824,-0.13354152716149387,-0.6861476677660789,0.045574738596370824,-0.4402747043345428,-1.01952495754754,-0.15358504410406762,0.6156095314191431,-1.1074277171264715,0.3624762004321763,0.2249559389086724,0.11945326080347181,-0.021525332135999956,-0.4576834451579056,0.2953284797310484,Gautier Lloris,Le Havre,DF
-8.045036013586467,-5.0125703504006,1.3015617277408609,-0.8686003751517429,2.4330523708382334,0.21446723360919745,0.3940623056334123,0.30756025306852136,-0.6939444047066752,-0.5585732608319108,-1.2337559149322965,2.303426695807326,0.6697284481174545,0.5050056213490481,-1.539980339980622,-1.5013129219144707,-0.3717292905923976,0.3776993368057116,-1.0961770608427148,0.6061687494051093,0.9068243242659209,-0.03457324224505411,0.5468444836679974,-0.7679464049563622,-0.03384391325274856,-0.4453346762403151,-0.2178792025293889,-0.55708415980836,-0.035294506400710954,-0.0633898076472124,-0.9154129795215096,0.11959125572609645,0.32936796520693146,-0.31269053144836206,Matthis Abline,Nantes,FW
8.016958912990185,0.27104535983449235,6.349332776667218,-2.1919123610779914,1.2837224015568376,0.34523477673017383,2.122451827091276,-0.4918100752261437,-1.5704300871015893,-0.08390179071169626,0.08540735817182436,1.627652021163984,1.2695515374313768,0.7065475868458142,1.6566161938837718,-0.12853014875344326,0.21481779653163058,-0.8919709515645031,0.9791343786101495,1.3556432553736957,1.6304934501744774,-0.7873398453302758,1.158554123356368,-0.46479590039847124,-1.1889300889111747,-0.7418605784630258,0.3886904253819141,1.0609158313260325,0.007903062372402701,0.2843910194652548,-0.02526040046154503,0.33600700426579666,0.8468450244595603,-0.4463195483072082,Bafodé Diakité,Lille,DF
0.10458508974776605,1.6090223900490366,-2.929667208389452,-1.2064796907483257,-0.0032383824953218575,2.837924837349257,-0.4466534588883261,1.8815730751595168,0.8049520753404311,-0.16322961948671355,-0.06808041257910154,-0.8360909978380461,-2.103951843838423,-0.4483212054368189,1.090269652819846,0.3398953691752745,-0.7791504052442668,-1.0950864722693363,-0.5064231052530084,-0.858710430125337,-0.6535675550848422,-0.48840966442713374,0.7241332606588785,0.22965705788103394,-1.3226940018038587,0.3491109082482537,-0.9164459824919129,-0.29768923988539314,-0.5226851359090132,0.7102659225995193,0.27208860811416347,-0.01737429603033121,1.0134845434315265,0.4604349888260154,Adrien Truffert,Rennes,"DF,MF"
