team_name,team_id
Angers,69236f98
Auxerre,5ae09109
Brest,fb08dbb3
Le Havre,5c2737db
Lens,fd4e0f7d
Lille,cb188c0c
Lyon,d53c0b06
Marseille,5725cc7b
Monaco,fd6114db
Montpellier,281b0e73
Nantes,d7a486cd
Nice,132ebc33
Paris S,e2d8892c
Reims,7fdd64e0
Rennes,b3072e00
Saint,d298ef2c
Strasbourg,c0d3eab4
Toulouse,3f8c4b5f
