player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,cluster
Gautier Larsonneur,Saint,GK,27.0,b49729cb,FRA,12.521714,-0.20695247,-3.4172683,1
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,-10.154138,3.8549864,13.258299,0
Gerónimo Rulli,Marseille,GK,32.0,625c144a,ARG,13.164499,-0.33693346,-3.5733008,1
Lucas Chevalier,Lille,GK,22.0,b3d76d84,FRA,12.745781,-0.2915195,-3.7517214,1
Marcin Bułka,Nice,GK,24.0,db87a2c4,POL,12.5701065,-0.50688493,-3.5363476,1
Yehvann Diouf,Reims,GK,24.0,eedea60b,SEN,12.612447,0.27560407,-3.1323125,1
Lucas Perri,Lyon,GK,26.0,5dbd461a,BRA,12.665403,-0.5572013,-3.4238484,1
Yahia Fofana,Angers,GK,23.0,9d420dad,CIV,12.914591,-0.034656554,-3.0255287,1
Marco Bizot,Brest,GK,33.0,3d214e5f,NED,12.684555,-0.42190412,-3.1438007,1
Donovan Léon,Auxerre,GK,31.0,51c83a90,GUF,12.408519,0.39372036,-3.005229,1
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,-12.4363785,5.8076086,11.517038,0
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,-12.738587,6.5019693,12.473247,0
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,-12.528573,6.376143,10.419864,0
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,-13.269456,7.385381,8.071679,0
Đorđe Petrović,Strasbourg,GK,24.0,0cf321c8,SRB,12.917268,0.37375206,-3.5769289,1
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,-13.115903,8.411143,9.219849,0
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,-9.923623,4.1586094,13.33514,0
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,-15.037451,8.005634,9.24128,0
