player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Gideon Mensah,Auxerre,DF,0.502501,-0.15509757,0.6796233,1.7935574,0
Leonardo Balerdi,Marseille,DF,4.6302204,-1.903658,-0.66976905,1.5346276,0
Takumi Minamino,Monaco,"MF,FW",-3.0882375,0.3789176,-0.27012676,-0.65433836,1
Andy Diouf,Lens,MF,-1.3497784,-0.8882956,-0.9966239,-0.59291136,1
Moïse Bombito,Nice,DF,4.9405437,0.1002274,1.1760179,1.0565006,0
Cédric Kipré,Reims,DF,4.4285774,0.6685438,0.75493073,0.5486733,0
Bradley Barcola,Paris S,FW,-3.3287973,-2.5416412,-1.1473091,-0.7323977,1
Kelvin Amian,Nantes,DF,0.29596522,1.3397874,1.0054969,1.0883542,0
Gabriel Suazo,Toulouse,DF,-0.31944293,-1.0832077,1.176076,1.249192,0
Denis Zakaria,Monaco,MF,1.3279413,0.12672487,0.6233261,-1.5139812,1
Modibo Sagnan,Montpellier,DF,3.59902,1.6548504,0.8686176,1.2691929,0
Willian Pacho,Paris S,DF,4.6770587,-0.9856239,-0.41647393,1.827829,0
Dennis Appiah,Saint,DF,0.77254814,0.25405243,0.7387089,2.0760837,0
Ki-Jana Hoever,Auxerre,DF,-0.14871186,0.19234206,0.5820092,1.8003129,0
Jonathan Gradit,Lens,DF,3.6486151,0.13168141,0.17473716,0.7187123,0
Sebastian Nanasi,Strasbourg,"MF,FW",-3.259492,-1.1206872,0.85326445,0.73117566,0
Djibril Sidibé,Toulouse,DF,1.2327464,-0.2686224,0.88146174,1.1353203,0
Yassine Kechta,Le Havre,"MF,FW",-0.49206498,1.2763692,0.41915897,-1.1657691,1
Wilfried Singo,Monaco,DF,4.07865,-0.41793475,-0.42800426,0.8257909,0
Hamed Junior Traorè,Auxerre,MF,-3.4808447,-0.59796107,0.11235019,-1.1853045,1
Azor Matusiwa,Rennes,MF,1.1628157,0.35517296,0.052827846,-1.4472953,1
Achraf Hakimi,Paris S,DF,1.40613,-3.0633826,-0.86406213,0.5772478,1
Vanderson,Monaco,DF,0.15661073,-0.6417644,0.15747702,2.607336,0
Lamine Camara,Monaco,MF,-0.025077386,-1.656799,2.0086455,-0.49996534,0
Alexandre Lacazette,Lyon,FW,-5.629457,1.3613816,-1.2118417,-0.05982277,1
Nicolas Cozza,Nantes,"DF,MF",0.281194,1.6314896,0.8785151,0.8400499,0
Warren Zaïre-Emery,Paris S,"MF,DF",1.820024,-1.8143859,-1.2064636,0.44192126,1
Johann Lepenant,Nantes,MF,-0.15411924,1.5066452,-0.47875223,-0.8680028,1
Carlens Arcus,Angers,DF,0.41723487,0.77121043,0.8040456,1.5632787,0
Vitinha,Paris S,MF,2.675315,-3.0830057,-0.9601407,0.48885292,1
Rayan Cherki,Lyon,"FW,MF",-2.337539,-3.6373484,-0.05522465,0.12129801,1
Geoffrey Kondogbia,Marseille,"DF,MF",3.866864,-1.3823596,-0.7039735,1.433358,0
Nicolas Pallois,Nantes,DF,3.9902809,2.0437872,1.9402912,1.5135386,0
Dylan Batubinsika,Saint,DF,5.269435,1.1018199,1.0129738,0.58210725,0
Lucas Beraldo,Paris S,DF,4.631015,-1.8074088,-0.63048595,1.3679005,0
Nemanja Matić,Lyon,MF,2.3652308,-1.1701186,-0.3619023,-0.105558716,1
Josué Casimir,Le Havre,"FW,MF",-4.610354,-0.3226463,-0.1737235,-1.484395,1
Ainsley Maitland-Niles,Lyon,DF,0.3220633,-0.770301,0.36602795,2.5228035,0
Aurélio Buta,Reims,DF,0.26055208,1.1911604,0.7966455,1.3064193,0
Dante,Nice,DF,3.9502084,-0.5497334,0.16857123,0.55727845,0
Jean-Eudes Aholou,Angers,MF,0.3403722,1.6142308,0.19811353,-1.1024452,1
Sinaly Diomande,Auxerre,DF,4.589321,1.4717492,1.6019635,1.2161866,0
Melvin Bard,Nice,"DF,MF",-0.1923533,-0.20519619,0.22580023,2.4479418,0
