player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER,7.265156,-15.441732,20.302853,2.21042,-28.546637,0
Clinton Mata,Lyon,DF,31.0,55abe554,ANG,7.1845174,-15.957042,19.566406,2.946488,-28.60386,0
Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA,7.260581,-15.169816,19.46482,2.298215,-28.446407,0
Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA,7.4960337,-17.628065,20.812548,4.1745305,-30.673807,1
Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG,7.740319,-17.789183,19.603798,4.2224264,-30.227499,-1
Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN,8.997885,-18.502153,20.535192,3.9050696,-30.793427,1
Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP,7.709654,-16.200111,20.322838,3.6127758,-29.249577,0
Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA,8.65695,-17.04778,19.345984,2.6770086,-29.762112,0
Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA,8.833625,-19.011078,20.334,4.396976,-30.371138,1
Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA,7.32329,-17.650898,20.766642,3.6222532,-29.406319,0
Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI,8.734869,-16.682571,20.222143,3.1722994,-30.160501,0
Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA,8.81461,-16.503439,19.602222,3.314367,-29.73336,0
Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA,8.076778,-14.564722,18.59821,2.4722168,-28.776453,0
Douglas,Nantes,MF,27.0,301c287b,BRA,8.366154,-16.351854,19.899828,2.8416731,-29.772438,0
Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA,8.277324,-15.155203,18.905748,1.5542798,-29.157331,0
Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA,7.217496,-17.576086,20.25954,3.8215752,-30.81608,1
Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI,8.673131,-19.592958,20.480396,3.8480701,-30.917656,1
Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA,7.8812165,-18.705967,20.532885,3.9349248,-30.845064,1
Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED,9.635654,-19.547354,20.402407,2.8978236,-30.863457,1
Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA,7.3897486,-16.836632,19.524399,3.4094815,-30.313416,-1
Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG,7.224053,-15.622001,20.195753,2.802543,-28.569054,0
Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN,8.941605,-19.403051,20.298697,3.8464935,-30.217592,1
Andy Diouf,Lens,MF,21.0,9b5237b1,FRA,8.200595,-18.76361,20.018171,4.565272,-30.132534,1
Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN,7.1287203,-14.921613,19.36016,2.2900531,-28.460772,0
Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV,7.8778086,-14.606124,19.356382,2.664389,-28.670118,0
Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA,8.047092,-19.442871,20.491882,4.0195355,-30.58648,1
Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA,8.5816,-16.309233,19.027323,3.4248445,-30.6271,-1
Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI,7.1583815,-17.80745,20.19203,4.0340433,-30.444183,1
Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI,7.9717855,-17.370838,20.333773,3.356113,-29.128412,0
Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI,8.535869,-15.573197,19.216185,2.0217724,-29.423796,0
Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU,6.786225,-15.282892,20.020552,2.3219447,-28.390234,0
Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA,7.551687,-16.758165,18.859444,3.261926,-30.50279,-1
Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED,7.455088,-17.331648,19.29967,3.9479165,-30.730885,-1
Jonathan Gradit,Lens,DF,31.0,06c48679,FRA,7.71568,-15.542131,19.715557,2.6922207,-29.10331,0
Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE,7.963148,-18.463362,21.044558,4.0912256,-30.771156,1
Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA,7.3980317,-16.753975,19.857182,3.2258563,-29.959145,0
Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR,8.923486,-17.70265,19.903631,3.0965998,-30.4465,-1
