player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,26.47476,36.032944,18.825506,0
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,26.997084,35.51854,21.511608,1
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,26.383383,36.51733,21.620106,1
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,28.023428,35.335,22.47759,-1
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,29.157242,34.831852,23.868542,2
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,29.07603,36.110096,24.064857,2
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,25.824543,35.94686,19.197058,0
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,28.406425,36.080368,25.46509,2
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,27.070871,34.316944,18.763372,3
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,28.557251,36.534126,22.077923,2
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,27.237152,34.694824,19.105986,3
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,27.550165,35.12114,19.859768,1
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,27.59628,34.094925,19.140406,3
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,27.625399,36.011726,21.78309,2
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,27.621675,34.904465,21.058752,3
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,29.601328,36.023838,23.090788,2
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,29.120144,36.11678,23.039396,2
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,28.838951,36.117165,22.56815,2
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,28.958271,36.085182,21.198284,2
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,27.635826,37.072483,20.528214,4
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,28.081758,34.082527,20.308737,3
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,27.278332,35.91247,23.059801,2
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,28.306513,35.65342,24.52945,2
Jubal,Auxerre,DF,30.0,56ae428b,BRA,25.690042,36.358345,18.694107,0
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,26.12167,34.913647,18.788198,3
Léo Pétrot,Saint,DF,27.0,00638016,FRA,26.871155,37.352562,20.313168,4
