pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,player_name,equipe,positions
6.370049735863718,-2.6014075688098983,-2.287104275272623,2.1864576863732315,1.1398222057269456,-0.5773833766972306,2.884367817505961,0.7978212246619973,-0.8052844235736124,-0.44355193282979427,-0.8851333026756952,1.0679274712666451,1.5944757845978412,0.12952010933283425,0.22623783395194136,1.000432665308781,0.1089088786728999,-0.31300559762639596,-0.8325751401314587,0.9425758536988087,0.4338235766702547,-0.7810187224650261,-0.5476996696834415,0.7071846856410275,-0.0515804922132166,0.683024831931539,0.6694524412680489,-1.013207775648268,-0.4369568989184255,Jordan Lefort,Angers,DF
3.1348409757131708,0.1408239823488154,2.3537868928463523,-2.769400818446041,-2.696405802976082,-0.4797998159849994,1.4712027740717633,2.1181513827385765,-1.8140705212616417,-0.12547398415998895,0.4098539919914227,0.8686779208798933,-0.5118670979894496,-0.9051614201538667,0.49882634584606705,0.7776296092144795,0.249971142189203,-0.9353610732854405,-0.7667746825730434,-0.5684885825043471,-0.0722488142425265,-0.8738431169230613,0.7716499331115293,-0.26890700319553085,-0.9164670039769115,0.32099168046754467,-0.3908004878557043,-1.1318453175700756,-0.6253969511419781,Andrey Santos,Strasbourg,MF
0.35107444225569046,-3.859039598445839,1.827366453468013,-1.4276077066636295,-0.23095059547780017,-1.0431359673890634,1.5713174397721663,-0.4974107484943441,-1.0333059258466966,-0.4217913237288996,0.8794091420582562,1.3984515765432242,-0.9248111371619888,-0.9181005718317372,0.8023412265553509,-0.304057956906961,0.9429501390781122,-0.2835917498374863,-0.6257560740859197,0.24715387788901627,-0.32756526328632973,-0.8655106192592418,-0.3675140964250757,1.260642173014956,-1.443433420141721,-0.17837970291225713,-0.5487301141313035,-0.5397082057634015,0.5090083212750535,Valentin Atangana Edoa,Reims,MF
-1.1501021124821593,4.262523275646095,-0.8375803723443787,-2.634171975833248,-0.4603169327511672,-0.6064854809113542,3.1058219329287997,-2.0296954224000388,1.7771807868867564,0.4740262916362181,-0.4332009600491248,1.6980157385867427,-1.132507309570996,0.16088447068996772,1.395363847879141,1.2556393883727215,0.8359471495243532,1.2531861176247394,-0.3686735812960902,0.7376037236006978,0.20035197546370873,-0.9275839544127736,-0.6116155310876152,-0.9132494317575897,0.10653386143396952,1.3586158644631465,0.6261168206051485,0.19593616326345645,1.1100623319677965,Himad Abdelli,Angers,"MF,FW"
-8.02101527120587,5.210619600503086,-4.063084962008869,-0.3719189435190164,-1.2376512028919555,0.35213414945244054,4.08374346592485,1.9315498569231981,4.234142096812072,-0.5111882418891435,-2.786403737596337,0.5250695775760976,-2.1656182535736135,0.6397454288043749,0.28866874303042284,0.2033705567752147,-0.18675824522567105,-0.15269745637535723,0.6194243195242791,-0.7848653054432422,0.12217345046679082,0.2864302548425159,0.1373424336291462,0.5254543615503309,-0.16033407853850493,-0.16839193239953978,-0.8625460646197205,0.724760213316648,0.04967042094524066,Mason Greenwood,Marseille,"FW,MF"
-7.916044388097815,1.260554666087086,-1.239967268037901,2.0028706768981164,0.6087104825680216,-2.0223813609430423,2.2667189947104798,1.2051885601380246,0.13582809650619615,-0.4690239526445279,1.0518283869318317,-0.08776346097434608,-1.1120363762433718,0.8384957311266819,0.8360525775657728,-0.9854528987117548,-0.42599983090277765,-0.9247552184738581,-0.2888641905705329,0.6182496805447073,-0.7030980997353384,-1.1925338133146575,-1.598716273808076,0.13169037753900242,0.039611769581086594,0.5747873982129277,0.590177469544503,0.10838020667367097,-0.38794650621219506,Zuriko Davitashvili,Saint,"FW,MF"
5.890563805455027,-3.7206610944455165,-1.2480119722111416,0.9248855419741222,0.12464332838269185,0.18428526982462298,1.4319397495312214,1.113073492221871,-1.184489630368602,-1.350087033199981,-0.47898148938971175,1.247446493644712,0.8305224657815207,0.4390356841059627,-0.024225964979005844,0.40454252596143736,-0.26479254957006926,-1.5848213699765918,0.018315098933666212,0.6501341797166063,0.04727668408687609,-0.4484996800235268,-0.3706291989702839,0.003208759818827209,-0.645924992602514,0.6036477873503033,-1.370336517848229,0.14850961982581484,-0.07070032978488965,Gautier Lloris,Le Havre,DF
-7.105821145764765,-4.775392684585075,-1.6230433053152653,-0.3483907588102358,1.4429589363955726,-0.5668707238810995,1.9105560060899025,-1.375795291420034,-0.18668809560625046,-0.8603806625733799,0.7501240253953523,1.588359891498954,-0.032608558041201816,-0.3298361308857957,0.3607396808686443,-0.2966985374023998,0.6257903755818567,1.1023215929413646,0.33127921355179857,-0.22794224722944964,-1.2215203388113873,-0.1612682835953387,-0.22183311259718833,0.3012768505602588,-0.08394033899111296,0.44048539617034804,0.09519111420887554,0.4347357724100341,-0.050652141250101666,Matthis Abline,Nantes,FW
7.427146384652706,-0.6626733201444241,-5.214081482825825,-0.5676340515235961,0.8635697329098102,-0.7214074450971323,0.059308383654998235,1.2230228102650318,0.11810306235540993,-0.4841181142501722,1.9502712162215308,1.5026181664805138,-0.9276570758500452,-0.09042480037272611,0.8852080127275209,-0.2552347582739469,1.5967339711795236,-0.16985403353610293,-0.07971926693593843,-1.0032280892272258,-0.06804183453475536,0.4084271591053272,-0.14763408687440868,-0.3715225230613767,0.7173282306930144,-0.12085942232114295,0.5204958115950902,-0.8535271581380919,0.1342519961296648,Bafodé Diakité,Lille,DF
-0.18762176825621363,2.0828517703800866,1.652197648126544,2.0285565633691394,1.7761663506099132,2.5648472825010282,1.1909210862166488,0.3636370799036903,-0.37575007184039955,-0.9473604980215831,1.122187621703401,0.5937098546136722,-0.4767130011363643,-0.47180083399190054,0.10153505253427564,-0.31906744899416184,0.1801834432484899,0.3302066994483838,-0.2554293488652272,-0.26706047052675375,-0.6261008454553142,0.37799151949200294,-0.05508329585786426,1.2499318431031183,-0.4943712022508532,-0.23516480130984638,0.1370902832801623,-1.5741607896727712,-0.32116908901488267,Adrien Truffert,Rennes,"DF,MF"
