trustworthiness,continuity,distance_corr,mrre,n_neighbors,min_dist,n_components,runtime_s,composite_score
0.9276848502045353,0.9886103426260907,0.5606706815261084,0.6749154034395856,5,0.0,2,0.26056671142578125,0.7372720802990425
0.931278995530964,0.9889338157054692,0.5488598526764127,0.7069280175940814,5,0.0,3,0.2640872001647949,0.7604670607072052
0.9238306022557992,0.9887455959896905,0.5166402822725815,0.6622445882839216,5,0.1,2,0.2620720863342285,0.7103989560927431
0.9309857889385449,0.9889404364994916,0.5620981372349352,0.6332720483242916,5,0.1,3,0.26705002784729004,0.8139225142084068
0.9265413444941004,0.988823153862524,0.5347548513710176,0.6249076632215381,5,0.3,2,0.2560994625091553,0.7662758869859045
0.9349213780709844,0.9891551393913599,0.5806087168851835,0.5770999318760054,5,0.3,3,0.2597019672393799,0.9018185525344915
0.9260239767326381,0.9886585798396822,0.554860681454653,0.6100443145526601,5,0.5,2,0.26340556144714355,0.7699270283234119
0.9368659998581258,0.9892043224326689,0.5696345148797765,0.572847035352365,5,0.5,3,0.26500797271728516,0.9089227178763766
0.9276262088860514,0.9893386299685513,0.4592236744026477,0.7044030837028114,10,0.0,2,0.3834400177001953,0.7234129572642312
0.9300938734009601,0.9894426710174742,0.47767103267860045,0.6709561817276372,10,0.0,3,0.40050458908081055,0.7793671496959088
0.9294336856541581,0.989277151166915,0.4769615280280276,0.6675823443300597,10,0.1,2,0.38210558891296387,0.7591110315909995
0.9310709134331181,0.9894946915419356,0.5070651540014776,0.6285612877934554,10,0.1,3,0.39734458923339844,0.8374166100632603
0.9276498545789884,0.9892166181929961,0.5292046006730299,0.6114708308997195,10,0.3,2,0.3851432800292969,0.8195273975808028
0.934688704452484,0.9897595233028303,0.5478320294940712,0.5816620967328351,10,0.3,3,0.3919868469238281,0.9420088716502915
0.9221668913007496,0.9889971861625405,0.5378112333774708,0.5981286194670989,10,0.5,2,0.383223295211792,0.7874148624873982
0.9324783050767302,0.9898162729658793,0.5701497358785881,0.5555292319376383,10,0.5,3,0.38953709602355957,0.9729524981002257
0.9234276796481521,0.9891333853538578,0.45566057903784585,0.7109524941361202,15,0.0,2,0.4905242919921875,0.676622636121075
0.9243649949161761,0.989326334208224,0.45640306608558817,0.701487550664103,15,0.0,3,0.49031758308410645,0.708712416056936
0.9237889858362299,0.9890161027168901,0.4850915495470476,0.6614192838679809,15,0.1,2,0.48028039932250977,0.7169603854386246
0.9252673145586532,0.9894133503582323,0.5020582297918004,0.6384831336865191,15,0.1,3,0.49294519424438477,0.7955102695491691
0.9196689602988816,0.989100281383746,0.524356577760034,0.6209329938410522,15,0.3,2,0.4899718761444092,0.7654570082819194
0.9300938734009601,0.9895136080962853,0.5568323961771842,0.5722335337234079,15,0.3,3,0.49736952781677246,0.9083251138209701
0.9154505686789152,0.9889130074956847,0.5342586074347158,0.6097578341422041,15,0.5,2,0.48195433616638184,0.741754287905644
0.9347917996736894,0.9896715613251046,0.5717376168887832,0.5528217160083548,15,0.5,3,0.5376644134521484,0.968163484824955
0.8997195620817668,0.9883786148353078,0.2647499644304856,0.9774856829522767,30,0.0,2,0.800159215927124,0.18872600733441974
0.9029580761864227,0.9886727672554444,0.27334202975966077,0.9373415907561466,30,0.0,3,0.8575766086578369,0.2657735441693485
0.9060386370622591,0.9885952093826109,0.28185762954866095,0.9016139718435692,30,0.1,2,0.8124380111694336,0.2966570762376502
0.9050114681610745,0.9888042373081743,0.3438939125235082,0.8258913560617448,30,0.1,3,0.8318791389465332,0.41043163695810225
0.8987340096001514,0.9885819677945662,0.4219912925471776,0.7268287839413614,30,0.3,2,0.8008472919464111,0.4803468119645031
0.9126859142607174,0.9889489489489489,0.4513780641000167,0.6739363780213149,30,0.3,3,0.8171157836914062,0.6316975410307997
0.8950632522286066,0.9884779267456433,0.48861514660757593,0.6490788809736661,30,0.5,2,0.8020949363708496,0.5524780977851907
0.9127483388900712,0.9889555697429713,0.513125199573919,0.5976166387950417,30,0.5,3,0.8235759735107422,0.7265076727881613
0.8729999290629211,0.9876995105341562,0.30130461427039407,0.9445638814403183,50,0.0,2,1.232774257659912,0.05409734066173616
0.8740677685559575,0.9882537655766003,0.27395288578111937,0.9551614501244338,50,0.0,3,1.2718799114227295,0.09433571198168117
0.8761731810550708,0.9876493816651297,0.36132400856140207,0.847835104902408,50,0.1,2,1.2477037906646729,0.16518458568873226
0.8788593317727176,0.9882849778912771,0.3209065172887865,0.8712484016170393,50,0.1,3,1.2866909503936768,0.20325620094912691
0.8787259700645528,0.9878669220401504,0.4273957115606262,0.7550197016695246,50,0.3,2,1.2356536388397217,0.30721132999069944
0.8896852758270081,0.9885053557494502,0.4017497483351298,0.752798612901196,50,0.3,3,1.2650625705718994,0.4047776385742272
0.8771426544654891,0.9877080229836135,0.4792966749812332,0.6985902819073437,50,0.5,2,1.2322070598602295,0.35698022071982016
0.8913054787070536,0.9883010569624743,0.4655736309798106,0.6769987697477367,50,0.5,3,1.2523488998413086,0.48268891809302583
