isomap_1,isomap_2,isomap_3,isomap_4,isomap_5,isomap_6,player_name,equipe,positions
15.486886092587364,-3.689983241028077,-2.92717382041895,-3.8228673137417717,2.303519623143383,-0.9854675391258023,Jordan Lefort,Angers,DF
1.7318841511725818,-2.4448719458662644,0.9728298992472958,6.471020079016397,5.396846809376974,0.21044932159734908,Andrey Santos,Strasbourg,MF
-0.4764101168878435,-6.106350961069791,2.0576868918949183,1.6425397228625431,2.2003150309723827,1.7540043338017537,Valentin Atangana Edoa,Reims,MF
-3.0137628980709072,6.220422747577482,-3.8402169294030193,3.895666184346626,2.086258691180572,1.4183355746709256,Himad Abdelli,Angers,"MF,FW"
-15.712707458375265,7.948107203966223,-7.176897527876379,-2.385503938789439,2.5180900023260127,-2.6113487059596228,Mason Greenwood,Marseille,"FW,MF"
-16.764699961809267,4.849113361318683,0.4403897958152367,-3.820557953936188,0.15782404729185037,0.02365867943671973,Zuriko Davitashvili,Saint,"FW,MF"
13.458516082966476,-4.549795366355259,-0.18611741049286942,-4.337190372931163,0.9243795635719692,0.4666869973196282,Gautier Lloris,Le Havre,DF
-17.635652535646265,-4.679968823017394,-4.781295824233373,-0.5952712107201215,-1.3114772492099525,-0.15009725634941667,Matthis Abline,Nantes,FW
16.30602898392241,-0.9821501630931561,-6.983839347973076,-1.0167497536192007,-0.3901915144300808,0.7195358959581509,Bafodé Diakité,Lille,DF
-0.8125345355936308,4.701397197226384,3.92436693644649,-3.6985990838841687,-3.107614183774379,-3.478056915329136,Adrien Truffert,Rennes,"DF,MF"
13.91718340965984,0.860125435021388,-3.7730238021485416,-1.9261811953752461,-2.544075995930407,0.8763983582694556,Moussa Niakhate,Lyon,DF
11.511770381406063,3.5304697951692328,0.7241586390972627,-0.5055020602814275,-2.4965923239190677,0.7809389175151875,Guela Doué,Strasbourg,DF
18.642166914405003,3.3644345065675605,-6.377417825768999,0.03522870970980606,-3.489975592727923,0.28255676745808966,Alexsandro Ribeiro,Lille,DF
1.542981660777076,-0.14761269224153217,5.136966990643266,2.999022917548418,7.595141573124551,-3.4415900840387588,Cristian Cásseres Jr.,Toulouse,MF
7.1378154154499445,0.39131040367445713,-2.1986233089686302,7.461178426333881,1.0292689322279915,-0.2853179868647896,Benjamin André,Lille,MF
-11.199052443324481,12.645948250291513,5.606934539460284,-4.973721318145723,4.694683151285196,-2.2335294728538724,Gaëtan Perrin,Auxerre,"MF,FW"
-6.829590247377485,11.588315919326877,4.237849619597535,-7.603796742554353,-1.0183130439495711,-1.8104474227401899,Junya Ito,Reims,"FW,MF"
-3.488974423790723,7.178581998326657,4.0629865442450965,-0.8078375279131659,1.850583417017367,-0.3203486535216573,Aron Dønnum,Toulouse,"DF,MF"
6.759053537454165,7.224333153214573,3.2362251261407535,-2.770735902578848,-1.0468471832186108,-7.30029185167832,Kenny Lala,Brest,DF
5.751424971018897,4.241128102887803,3.3298271840733684,-3.4161040669467844,-3.367014642352177,-4.727449812876615,Florent Hanin,Angers,DF
13.048743804595814,10.394713960648039,-8.42556686093455,9.007545465748086,-1.5550144825444023,-2.2533814186499983,Pierre Højbjerg,Marseille,MF
-3.8156845869848413,-1.2311653757857814,-0.41504769364574423,0.7736817412914295,2.0375697178773797,-0.06314983113913074,Mahdi Camara,Brest,"MF,FW"
-12.231281093272031,-3.0816970299208295,-2.715237432268696,-1.0748347118673056,-0.6396651518890157,0.38363039618473277,Keito Nakamura,Reims,"FW,MF"
14.4385387473075,-12.018713857060458,-3.5511862558997813,-7.31933207075862,1.1108126400421674,-7.281618528722194,Jubal,Auxerre,DF
10.559212140834898,-3.8654166643853602,-5.59715581781508,-1.680209150771874,0.5152036236524549,-1.101952207135918,Ismaël Doukouré,Strasbourg,"DF,MF"
6.673484796516122,-3.3584490453208264,4.3439957038239285,-3.001875405400104,-2.1294849609797235,-1.314804552258064,Léo Pétrot,Saint,DF
10.68263834115442,-6.458173028384536,-2.651376218777163,-5.624480777239611,0.5595476094656194,0.36798035737924045,Jean-Charles Castelletto,Nantes,"DF,MF"
-0.2414179934955719,4.3561861258408445,1.7469034005243544,7.037172836542291,3.7263510432187013,-2.9728449150725407,Adrien Thomasson,Lens,MF
-7.044827031484828,4.553501205915968,-2.0288039940702993,-4.886833723639901,-5.744317368507336,-0.03343466928496353,Luis Henrique,Marseille,"DF,FW"
-16.870336169733363,9.431703903775006,0.705428397637386,-4.672546788130108,-1.7722218789587187,1.8937908568451007,Moses Simon,Nantes,"FW,MF"
15.341006307674872,-4.319680958239628,-2.405598047386487,-4.654315141693531,2.530186563424497,-0.09221995578497563,Charlie Cresswell,Toulouse,DF
-16.406101601530203,-7.5381784165487495,-6.540335308784348,-4.889059317705486,-0.6669891101916644,-6.6438589390641924,Arnaud Kalimuendo,Rennes,"FW,MF"
7.1330972435942375,-1.2748310976680315,-1.2428907694215872,2.6683832854440346,4.3869549959786625,-3.063969963712447,Pierre Ekwah Elimby,Saint,MF
-6.095962380954491,6.354952919316529,1.7081827803467193,-0.28973097510841045,-3.579108666648301,3.3882304413710354,Diego Moreira,Strasbourg,"DF,MF"
-17.88046152295362,-1.5360279443664406,-4.194386126949526,-0.654155697703671,0.23411775816443453,5.770700010230822,Evann Guessand,Nice,"FW,MF"
-12.904205439057773,-6.016822734415498,-6.93156187163083,-3.635452102942829,-2.5145457503251616,-7.574534662793757,Jonathan David,Lille,FW
10.078606307549654,3.64899643116306,-5.976750979379882,1.7284187926972712,-2.5268390151232736,-0.34610399565835626,Facundo Medina,Lens,DF
