tsne_1,tsne_2,tsne_3,player_name,equipe,positions
-32.39342,47.03581,9.78372,Hamed Junior Traorè,Auxerre,MF
36.799503,9.147904,3.050436,Azor Matusiwa,Rennes,MF
16.527603,-38.550385,54.163017,Achraf Hakimi,Paris S,DF
-36.356533,-35.83771,-0.58572847,Vanderson,Monaco,DF
-15.401301,-11.158711,26.061552,Lamine Camara,Monaco,MF
-35.40095,100.83654,-14.319077,Alexandre Lacazette,Lyon,FW
-3.9902308,-18.561552,-20.226395,Nicolas Cozza,Nantes,"DF,MF"
25.5548,-34.053516,36.49562,Warren Zaïre-Emery,Paris S,"MF,DF"
17.23041,21.418356,-16.028954,Johann Lepenant,Nantes,MF
-18.717463,-25.354074,-9.845029,Carlens Arcus,Angers,DF
28.185436,-28.584778,52.29781,Vitinha,Paris S,MF
-65.542076,37.987404,38.591164,Rayan Cherki,Lyon,"FW,MF"
37.526295,-51.99613,34.55982,Geoffrey Kondogbia,Marseille,"DF,MF"
54.720924,-37.377823,-16.580492,Nicolas Pallois,Nantes,DF
64.94058,-55.068684,6.959797,Dylan Batubinsika,Saint,DF
50.1448,-54.787407,38.308517,Lucas Beraldo,Paris S,DF
17.297586,-31.75477,27.016537,Nemanja Matić,Lyon,MF
-30.11717,57.408054,-4.3846965,Josué Casimir,Le Havre,"FW,MF"
-31.355326,-41.72369,4.7327404,Ainsley Maitland-Niles,Lyon,DF
-16.002983,-20.92773,-16.792994,Aurélio Buta,Reims,DF
30.411455,-53.948357,19.026855,Dante,Nice,DF
19.700424,7.2195153,-19.469652,Jean-Eudes Aholou,Angers,MF
58.507004,-39.32631,-3.4562893,Sinaly Diomande,Auxerre,DF
-37.437485,-29.478199,-3.933299,Melvin Bard,Nice,"DF,MF"
29.748583,-62.299717,9.947868,Youssouf Ndayishimiye,Nice,DF
-27.501646,-19.421844,18.100342,Caio Henrique Oliveira Silva,Monaco,DF
-8.219916,-42.70608,12.816889,Thomas Meunier,Lille,DF
14.514555,-31.026777,46.459732,Fabián Ruiz Peña,Paris S,MF
-18.256273,55.248222,-19.917162,Issa Soumaré,Le Havre,"FW,MF"
-10.80503,-53.800533,16.839537,Nicolás Tagliafico,Lyon,DF
-25.952715,75.904755,-21.381695,Zakaria Aboukhlal,Toulouse,"MF,FW"
-25.090837,-23.842428,-13.618011,Enzo Tchato,Montpellier,DF
-46.18529,41.850582,-1.5639209,Farid El Melali,Angers,FW
29.22926,-10.694885,-13.534711,Joris Chotard,Montpellier,MF
-22.692682,75.39667,-12.349027,Lucas Stassin,Saint,FW
8.840252,-32.49898,50.12612,João Neves,Paris S,"MF,DF"
-30.58771,72.40364,-10.403226,Breel Embolo,Monaco,"FW,MF"
-38.774414,90.66203,-12.029811,Gaëtan Laborde,Nice,FW
-40.12965,-19.067991,-6.777305,Deiver Machado,Lens,"DF,MF"
63.93785,-56.527344,-9.179133,Becir Omeragic,Montpellier,DF
-10.741785,16.611973,-2.6730087,Florian Sotoca,Lens,"FW,MF"
23.969038,1.0675682,-7.43176,Haris Belkebla,Angers,MF
-31.288692,-10.463871,-5.7748113,Gabriel Gudmundsson,Lille,DF
-5.6372676,33.247734,-4.0623026,Félix Lemaréchal,Strasbourg,"MF,FW"
23.888552,-6.676006,-23.324478,Pablo Rosario,Nice,"MF,DF"
6.237343,-32.099735,24.843079,Jordan Ferri,Montpellier,MF
26.074802,-1.5179206,20.11716,Benjamin Bouchouari,Saint,MF
-45.903053,1.93679,12.516161,Hákon Arnar Haraldsson,Lille,"MF,FW"
-19.713072,55.377304,-4.5478024,Jim Allevinah,Angers,FW
-53.567398,41.1999,30.199606,Eliesse Ben Seghir,Monaco,"MF,FW"
27.320683,-43.35076,14.733586,Aïssa Mandi,Lille,DF
-65.07428,48.306652,35.66627,Ousmane Dembélé,Paris S,FW
-53.26705,57.24061,46.17592,Désiré Doué,Paris S,"FW,MF"
59.01328,-52.658943,39.690266,Marquinhos,Paris S,DF
47.945957,-50.777542,-13.929746,Abdoulaye Niakhate Ndiaye,Brest,DF
41.8734,-81.56751,28.3353,Joseph Okumu,Reims,DF
7.9698253,68.910995,-14.064821,Marshall Munetsi,Reims,MF
16.96428,18.813198,-27.650013,Rabby Nzingoula,Montpellier,MF
19.148296,-50.497974,13.576481,Hans Hateboer,Rennes,DF
-27.436447,-14.1863985,-21.088524,Massadio Haïdara,Brest,DF
18.563564,-40.024258,46.09286,Nuno Mendes,Paris S,DF
-20.448868,69.63082,-22.075895,Joshua King,Toulouse,"FW,MF"
-62.011784,31.169138,38.19992,Lee Kang-in,Paris S,"FW,MF"
61.150078,-63.783207,-15.38963,Gabriel Osho,Auxerre,DF
-4.975242,77.7006,-19.29731,Esteban Lepaul,Angers,FW
-9.740883,69.63605,-17.039982,Oumar Diakité,Reims,FW
-43.612408,50.860065,16.574194,Mohamed Ali Cho,Nice,"FW,MF"
-30.296204,-9.431829,9.596233,Quentin Merlin,Marseille,DF
-48.41887,55.861275,20.392597,Malick Fofana,Lyon,FW
-2.9604316,-14.230884,24.455275,Neil El Aynaoui,Lens,MF
45.413586,-67.947495,-10.968911,Duje Ćaleta-Car,Lyon,DF
-36.10301,25.405079,13.87015,Mathias Pereira Lage,Brest,"FW,MF"
32.40392,-43.43954,36.590412,Valentin Rongier,Marseille,"MF,DF"
12.460678,-20.01914,21.657248,Jordan Veretout,Lyon,MF
26.992079,-17.884876,25.78929,Pierre Lees-Melou,Brest,MF
22.838484,17.41808,-16.221952,Yassin Belkhdim,Angers,MF
-7.212884,72.79092,-27.055262,Frank Magri,Toulouse,"FW,MF"
38.890034,-54.484333,-11.765459,Nathan Zeze,Nantes,DF
65.8079,-63.078476,-22.294138,Abdoulaye Bamba,Angers,DF
31.46478,-48.26798,-18.6008,Christian Mawissa,Monaco,DF
-8.746317,62.803814,5.7897997,Tanguy Coulibaly,Montpellier,"FW,MF"
-6.718457,92.69231,-14.897119,M'Bala Nzola,Lens,FW
10.232673,7.173774,18.382801,Kévin Danois,Auxerre,MF
62.468895,-40.8353,6.1768284,Christopher Wooh,Rennes,DF
2.3784893,73.34412,-21.871143,André Ayew,Le Havre,FW
-44.698505,88.96667,-4.067934,Georges Mikautadze,Lyon,FW
51.49931,-70.70865,36.98909,Derek Cornelius,Marseille,DF
-44.055687,-5.068413,22.330515,Anass Zaroury,Lens,"FW,MF"
-20.769373,3.7038145,35.478886,Ali Abdi,Nice,"DF,MF"
-21.991453,-29.756435,20.48671,Przemysław Frankowski,Lens,DF
45.65626,-79.35144,18.886316,Malang Sarr,Lens,DF
62.960743,-27.617434,-0.28901178,Julien Le Cardinal,Brest,DF
68.05322,-68.59291,-12.860754,Emmanuel Biumla,Angers,DF
39.16212,27.27902,9.5577965,Kamory Doumbia,Brest,"MF,FW"
-41.785694,-1.7217195,32.262306,Sorba Thomas,Nantes,"FW,MF"
-48.47015,-11.042203,5.2701554,Lilian Raolisoa,Angers,"DF,FW"
40.99021,13.410862,-5.9429355,Amadou Koné,Reims,MF
-46.832783,53.429752,32.399094,Osame Sahraoui,Lille,"FW,MF"
23.706373,-27.078745,30.345747,André Gomes,Lille,MF
34.344604,-82.14687,31.575941,Emmanuel Agbadou,Reims,DF
-55.44128,1.226742,32.99913,Romain Del Castillo,Brest,FW
-17.151392,72.34678,-30.5709,Mostafa Mohamed,Nantes,FW
11.586865,-29.705778,35.508358,Florian Tardieu,Saint,MF
35.90731,-55.329823,-0.22511382,Arouna Sangante,Le Havre,DF
-14.080873,61.187813,-23.104403,Abdallah Sima,Brest,"FW,MF"
24.233088,-21.079315,10.291159,Tanner Tessmann,Lyon,MF
38.58205,-74.90236,21.005943,Lilian Brassier,Rennes,DF
-3.320315,-35.37165,-22.105309,Falaye Sacko,Montpellier,DF
-49.364243,94.57386,-15.801509,Mika Biereth,Monaco,FW
38.330147,-60.06998,-7.1415124,Leo Skiri Østigård,Rennes,DF
31.668686,-4.681082,7.594143,Ngal'Ayel Mukau,Lille,MF
-23.657238,63.35603,-1.5623885,Shavy Babicka,Toulouse,"MF,FW"
7.3428664,-1.8416544,23.585672,Jordan James,Rennes,MF
-35.87343,-18.59199,23.530125,Christopher Operi,Le Havre,"DF,FW"
-30.163902,35.838943,-5.644741,Arnaud Nordin,Montpellier,FW
-13.31627,-26.30289,-49.019176,Nhoa Sangui,Reims,"DF,MF"
-19.940016,-51.89989,-16.834362,Valentín Barco,Strasbourg,"MF,DF"
-3.6893277,-11.291137,-9.256,Issiaga Sylla,Montpellier,DF
6.1492996,19.259394,18.207146,Aleksandr Golovin,Monaco,"MF,FW"
22.959906,26.579126,-11.284464,Ayyoub Bouaddi,Lille,MF
-25.248657,61.722176,-25.952553,Mama Samba Baldé,Brest,FW
-38.782032,4.946685,16.190165,Mitchel Bakker,Lille,"FW,DF"
13.825602,24.127783,5.2347713,Tanguy Ndombele,Nice,MF
31.0095,-31.912512,-17.779463,Mory Gbane,Reims,"DF,MF"
-21.491035,-40.412285,16.870663,Ruben Aguilar,Lens,"DF,MF"
27.232933,-15.608381,16.938059,Djaoui Cissé,Rennes,MF
-28.496721,18.535612,15.749384,Wahbi Khazri,Montpellier,"FW,MF"
-29.707237,57.12687,15.377129,Musa Al-Taamari,Montpellier,"FW,MF"
-11.566659,-19.979612,-33.61857,Timothee Pembele,Le Havre,DF
27.77131,-37.228096,-15.492598,Jaydee Canvot,Toulouse,"DF,MF"
32.46869,-23.93332,-17.051325,Edimilson Fernandes,Brest,"MF,DF"
-44.182972,42.969616,20.586052,Badredine Bouanani,Nice,"MF,FW"
-22.472446,-39.94915,5.2057433,Abner,Lyon,DF
39.285828,-73.856606,7.111432,Kevin Danso,Lens,DF
-24.30324,84.34648,-25.046635,Akor Adams,Montpellier,FW
-43.27162,94.518974,-20.41532,Gonçalo Ramos,Paris S,FW
-40.24355,49.831955,-2.6369684,Matias Fernandez-Pardo,Lille,"FW,MF"
-44.902206,33.193493,27.945139,Sofiane Diop,Nice,"MF,FW"
-18.801767,43.318398,-10.690327,Irvin Cardona,Saint,FW
6.9956136,7.2950635,-19.189121,Rassoul Ndiaye,Le Havre,MF
-38.23808,56.97575,25.303404,Jeremie Boga,Nice,"MF,FW"
-16.474146,33.48882,7.5977783,Ernest Nuamah,Lyon,"FW,MF"
-61.82775,12.596077,13.24512,Amine Gouiri,Marseille,"FW,MF"
32.928043,-6.503614,-36.42148,Han-Noah Massengo,Auxerre,MF
-56.763817,30.596851,31.363226,Angelo Fulgini,Lens,"MF,FW"
15.673931,10.165556,12.741279,Louis Mouton,Saint,MF
-20.268879,78.62828,-4.5399833,Neal Maupay,Marseille,FW
0.037031367,30.505068,-6.8538303,Aimen Moueffek,Saint,MF
