isomap_1,isomap_2,isomap_3,isomap_4,isomap_5,isomap_6,isomap_7,player_name,equipe,positions
-14.93325909497528,-4.580006560276106,1.4600089502471598,5.641093896438842,-1.1556838962975644,1.5029913059278,0.7309085347460972,Jordan Lefort,Angers,DF
-4.7288298798993855,-1.26927394403063,0.1618665244449998,-4.060760938480405,5.991786345905082,2.9020682406224596,-1.6965842500362105,Andrey Santos,Strasbourg,MF
-0.10316683663661609,-7.535313837867262,0.19399410751350396,-1.8842612370101832,0.3521967551088235,-0.7702268073719877,-0.3251738794477626,Valentin Atangana Edoa,Reims,MF
1.4932055425146036,6.623596907962271,-0.6505879257508325,-0.6224940560869596,0.29302146817728125,-1.790625718969246,8.269108400903441,Himad Abdelli,Angers,"MF,FW"
14.927570664449508,7.383609095261344,6.424727216136912,5.303783359571512,-2.7712377504480714,-3.1823245868374572,0.701595233926703,Mason Greenwood,Marseille,"FW,MF"
15.642957737497222,1.9131894627065358,-2.6069651932726896,6.374054302773787,2.4529934676805656,-1.6332089738193944,-3.828518270879382,Zuriko Davitashvili,Saint,"FW,MF"
-11.94290532284195,-6.776843726381454,0.2429011665063993,2.2897902820622247,4.55059627994124,-4.229657637341644,-2.91515382874466,Gautier Lloris,Le Havre,DF
18.45359087780304,-6.541680452189918,1.6456476824145618,0.42760435597889374,-0.7976623578111062,-0.9512923139011762,-1.135355600264404,Matthis Abline,Nantes,FW
-16.25080598472752,-0.9437251909829611,8.812612401438765,1.4276161736692201,-4.734654673329718,0.48624553769419065,-3.4209033281651386,Bafodé Diakité,Lille,DF
0.5124650787853923,5.920378622253743,-6.653267491810386,1.8407413733652205,-4.716933712105943,1.6035798690914622,2.072964351122171,Adrien Truffert,Rennes,"DF,MF"
-14.738871487677374,-1.818170538768961,5.099096723348705,1.040593317203793,-3.6112421217769577,-0.48357151980324287,2.6489550991466384,Moussa Niakhate,Lyon,DF
-10.790535315281852,2.374268429543421,-0.7232149718099947,-1.4611637320923336,-2.5274497472765876,-2.34764240307004,-2.250753219439087,Guela Doué,Strasbourg,DF
-17.188929758764626,2.568534240572333,7.653446903519128,0.9604985513071915,-5.67017432178626,0.5000452743954794,-1.480548360646287,Alexsandro Ribeiro,Lille,DF
-2.201283574784401,1.816977231964036,-6.979551711549704,-3.9698178049453143,6.6549829750238745,5.906147017244159,-2.223961053987385,Cristian Cásseres Jr.,Toulouse,MF
-7.861349234011765,3.2860790505408843,2.5163338881622206,-6.253082195809994,5.425690972268743,2.7292615753008347,-1.374791821428825,Benjamin André,Lille,MF
13.97373290155269,13.884317795099713,-7.253562202694949,5.779474707327357,1.5232185838744474,5.590879508587608,-3.608728985652527,Gaëtan Perrin,Auxerre,"MF,FW"
10.761788785417199,10.119089844271567,-8.922691789130102,5.210146113352673,0.17253058116757852,-0.6056708408335171,-1.4511452760169403,Junya Ito,Reims,"FW,MF"
2.763754507592555,7.156615636992932,-7.210584101946922,2.4940011676928537,-0.6736891181383895,1.529894435247182,0.3885991606233136,Aron Dønnum,Toulouse,"DF,MF"
-8.073800904179157,7.345334356722346,-4.765371769682532,1.3092878164034087,-2.1747097611631965,6.226098726392894,-0.018252294101489867,Kenny Lala,Brest,DF
-6.315783381498512,3.0335096654368527,-7.199211527042528,0.4634958631252402,-5.027182664008809,2.127209931358392,0.7069341109700819,Florent Hanin,Angers,DF
-15.853945238604759,13.895065966281267,7.62051807140925,-6.686157862450229,1.2924538150972897,0.022604472754124846,4.9031396009253045,Pierre Højbjerg,Marseille,MF
3.678219524841336,-1.2198372719515913,0.00948730653850951,-2.6084398165862117,2.838734378464363,-1.6149300982247214,-0.05464287845133241,Mahdi Camara,Brest,"MF,FW"
14.3988592771087,-2.230507438666467,1.122581122520465,0.4324789446255374,0.5060126510479811,-3.167831394052444,-2.6058972820798902,Keito Nakamura,Reims,"FW,MF"
-14.94504278552351,-8.525045104815295,-1.1648644397359733,6.398045210248615,-0.2868608874054945,-0.5468824742788786,-1.644034910988087,Jubal,Auxerre,DF
-10.414655505260827,-5.235825998405169,7.454430017979794,0.8257628185163972,0.038465108117237454,-0.2566202514923257,-4.141263793326965,Ismaël Doukouré,Strasbourg,"DF,MF"
-7.37497565500322,-3.9183410975223247,-6.976543855463361,0.8424394710383026,-3.4927843149167823,-2.394515055647194,-0.6470112326403229,Léo Pétrot,Saint,DF
-14.69584404004469,-6.289784225620965,2.5709484418938895,4.134139058789397,-0.6873298847134419,0.42034225443345047,-0.6871730175373674,Jean-Charles Castelletto,Nantes,"DF,MF"
0.9785451602777109,5.734729629299961,-0.15611263330497513,-6.18305546787945,5.988526564007937,-0.5613424705583336,-1.4412582204792725,Adrien Thomasson,Lens,MF
7.302987394834829,5.715352291824685,-0.13598916662651223,4.43487210077015,-6.262365773313791,-3.2104908572724917,1.3343394352652496,Luis Henrique,Marseille,"DF,FW"
18.55698668941747,6.73628166052915,-4.264565199248162,5.046941002051257,-3.449776812400351,0.8262228090597523,-2.3354258336543965,Moses Simon,Nantes,"FW,MF"
-13.982439468574034,-6.520348846391078,3.400577043687356,4.890059418015394,2.4011222752691133,1.4227629729264104,-1.608200181837191,Charlie Cresswell,Toulouse,DF
15.71569118351815,-5.26220293867077,5.037792535594456,1.9476689416884976,-4.463862851052684,1.8224201704615153,2.6826850059737017,Arnaud Kalimuendo,Rennes,"FW,MF"
-7.762000829348119,-1.7628666572299778,-1.2402700826200947,0.07677072470150711,4.142256451621372,1.022958282714092,1.8610998140863244,Pierre Ekwah Elimby,Saint,MF
