pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,player_name,equipe,positions
-5.38763168481689,-9.283859460340711,-4.949939454955629,5.4898982696339464,-1.102417119042405,-0.3714200953651553,0.6713180262553201,-1.1667007124659683,-1.8447627067245442,0.9640379166322467,-0.4671109904546801,-1.2668077058728044,0.2800424879524956,0.8145142956208768,-1.5795339745080808,1.510816700195596,0.8010780276303221,0.570840442457066,-0.34600038932605726,1.1820130367487554,-0.07446065113867895,0.01249300557298987,-0.3445335109210182,0.4026677008393558,0.08316335394329916,-0.119155016132278,-0.778929858923634,-0.22367611508529878,-0.6375424468385473,0.6382906138309142,-1.3753622801986038,-0.5913512281131605,-0.16594101893809649,Gautier Larsonneur,Saint,GK
-6.8827015141545616,-1.5741103709777005,-0.5819863672405866,1.0674466662090178,0.3566355000601401,-1.4274563461126621,-0.2854823592323303,0.19976847471493125,0.38761253590725875,1.2139005053439653,0.7155452537622041,0.9510943278166579,-0.8046208047465954,-0.5599341528648865,-0.012886713889241114,-1.4844160545259288,1.7529931468125473,0.10511219410570105,-0.5188273162054671,0.4410080871061131,2.036792255106783,-1.1546412591541038,-1.3285754853720615,-0.13053359574929704,-0.25519161122225786,-0.059169973503847804,-0.4217823536345836,-0.5860930045131572,-0.6824002596398353,-0.09753534887293364,0.2797124218506485,-0.6491740881060607,-0.16906021384097153,Jordan Lefort,Angers,DF
-5.662742806899012,-7.182226442046608,-6.650366026806496,1.853593102101136,-1.8834939562582818,1.7618754758894268,0.8415102443665364,-1.1254400755788194,-0.4523418992302495,0.02246029796805954,0.051947572912137856,-1.0763737539361913,-0.550074376130047,0.6731123084506376,-0.2994525984824889,0.9306060302581313,0.1957570558206621,-0.6205179924871048,0.4896143517976748,-0.01357364012459731,1.171779916908561,0.3386871240946485,-0.11428879152485415,0.27856886943336473,-0.4186945797333322,-0.04891068330218759,1.1746904869664385,0.38832718804307975,0.9867801870887084,-0.14496963008672345,0.4708320646655285,-0.2004154600225845,-0.4640624452722205,Gerónimo Rulli,Marseille,GK
-5.2436875077572225,-7.779117738501951,-6.244455160442102,2.448666411464069,-2.4907627906690015,1.7005643655094054,0.834725494690011,-0.7269961280052364,-0.525119495081977,-0.4797203910025371,0.40262803960456617,-0.7882817590648515,-0.8440268627823414,0.893921488025765,-0.2812405258397954,-0.7661645697252221,0.16367524589299737,-0.45478480217750206,-0.3399036562468437,-0.025660579925203014,0.17387488617997554,0.03892186454016502,-0.8297088865665098,0.30128634825089,0.32322675838616616,-1.074252134024202,-0.13104642278469386,-0.04341460836318454,1.1987031527930476,-0.10010369402668765,0.38380686995517477,-0.1252012875527046,0.2074431654611073,Lucas Chevalier,Lille,GK
-4.779784139563319,-8.079085253031012,-6.785807938663309,2.3316669636413008,-2.2695305563545487,2.6815211456864847,0.36688017859324684,-1.0917774985777795,-1.5859660840112324,0.2912213863902807,0.02729831450325803,-3.322860116992175,-0.7824006274058068,2.029451226185172,-0.22252102460644776,-0.8900536997818415,1.950006729927661,0.5578856244964706,-0.6799087161877276,0.39360042051147154,0.008244088501991284,0.41648505684099335,0.16942705244759623,1.0138701078281256,-0.01372872157375032,-0.4840090273053049,1.2420402785940576,0.5486859583149795,-0.38400024847408437,-0.49168501430850375,-0.3051339726767046,0.15756265884496712,-0.8540461462895865,Marcin Bułka,Nice,GK
-6.13572519232688,-8.522317544596712,-6.577861195740663,4.985597219592163,-1.816763256045297,0.30304199752398436,1.1569518081003505,-0.8465982453852,-0.6687201828252708,-1.0356504997631397,1.1647555112200734,1.4976174555515165,0.6069392291322504,0.05702349426588415,-2.891052819288427,0.9564881764663117,-0.6783924313291836,-0.480030313529803,0.1730065677460707,-0.9657313961758506,-0.9790867841125853,0.7393772124179527,-0.33964953085192484,1.3233137803031527,-0.18196816142053002,0.5391284449719318,-1.4209883763452218,0.003072811037100043,-0.07781273815166596,-0.16432109888083068,-1.3933427571154438,0.3349555424433571,1.9315327046517705,Yehvann Diouf,Reims,GK
-4.728458399520161,-8.343636997656313,-6.8555816761195905,2.389043846338927,-2.395145100844098,2.4497178804361646,0.7360820526672617,-0.8099372522576317,-0.1313866952639741,-0.7436127959885644,0.777574916197049,-0.968918353044362,1.6122430425926926,0.0056918985393024125,0.6221367772262926,-0.7923764286093782,1.2358018770166197,0.7153351609592261,0.7515989938888915,1.0986770976882538,-0.1327462071514786,0.464656622621421,-0.02211105389932567,0.91106012158894,-0.5147168413265605,0.6072478633402195,-0.14004821656138242,0.48961719958182276,-0.5888529094636643,-0.5326908293116746,-0.8737308343932997,0.1257887410835582,-0.43052507372848564,Lucas Perri,Lyon,GK
-5.339067922509032,-9.155829809332056,-6.379347213625241,4.528071681628483,-2.384352820677419,0.8668376478210009,1.3682612859705992,-1.2136201812878857,0.9917995037666468,-1.3083868577314908,1.850979369199065,1.9551960511055229,3.5299900255580505,-1.3240911150902126,0.3947859251296616,0.062375524941899005,0.9477194379048941,1.062686426924518,1.8279471255063018,0.8328244261123781,-1.1725752887428762,0.9700437346655009,0.042745798979095445,0.16272051754744948,0.15977453310935974,0.4797839983599285,-1.159400796578048,-0.5467014616555617,-0.3939768480584271,-0.053785185391251426,-1.7509121863490407,0.06834179085076537,0.3558476951276617,Yahia Fofana,Angers,GK
-6.133077981922889,-8.754008233841814,-6.305471510385203,4.826893555620455,-1.3020001480435184,0.9100346589483953,0.30729099044256164,-1.1913950018898694,-1.5303844414073977,-0.02700585660895866,0.49091483576378064,-0.9143267968845267,-0.03451161057284725,1.0963881124000925,-2.090944274818164,1.631524671969153,0.7578779297209383,-0.5830168146053923,-0.9086035495153741,0.8866682001707319,0.8167102927541426,-0.4929029000270581,0.21066253822629188,-0.37080947163225414,0.23940901133559428,-0.2548752444251898,-0.786259405034325,-0.5648586305604484,0.22586531349047267,0.15899897067518035,0.30177390653811076,0.21584764300434345,-0.08373679620154359,Marco Bizot,Brest,GK
-5.89744179924076,-8.379518921787545,-7.475650715811658,5.7580211030644906,-1.280945490509549,0.9491918628805883,1.0831307094355802,-1.6158412196597773,0.3771908166973619,-0.8525172716543687,1.3940172157442685,1.4597806449723885,2.465309084511408,-0.8453387372642017,-1.9462866845653883,1.9590659254577056,0.7202751053015373,-0.20397387570280803,-0.29975510744047107,0.6579123741676725,-0.5441873230551092,0.6968582439229813,0.4029805368093423,0.8498077314917455,-0.7448798790684191,1.0345769272432082,-1.4367453990014862,-1.0795431450971689,-0.42342584925060867,-0.0073062332491913694,-1.1122811108360475,-0.2739648381451016,-0.8965538716388242,Donovan Léon,Auxerre,GK
