,PC1,PC2,PC3,player_name,equipe,positions
0,6.370049735863718,-2.6014075688098983,-2.287104275272623,Jordan Lefort,Angers,DF
1,3.1348409757131708,0.1408239823488154,2.3537868928463523,Andrey Santos,Strasbourg,MF
2,0.35107444225569046,-3.859039598445839,1.827366453468013,Valentin Atangana Edoa,Reims,MF
3,-1.1501021124821593,4.262523275646095,-0.8375803723443787,Himad Abdelli,Angers,"MF,FW"
4,-8.02101527120587,5.210619600503086,-4.063084962008869,Mason Greenwood,Marseille,"FW,MF"
5,-7.916044388097815,1.260554666087086,-1.239967268037901,Zuriko Davitashvili,Saint,"FW,MF"
6,5.890563805455027,-3.7206610944455165,-1.2480119722111416,Gautier Lloris,Le Havre,DF
7,-7.105821145764765,-4.775392684585075,-1.6230433053152653,Matthis Abline,Nantes,FW
8,7.427146384652706,-0.6626733201444241,-5.214081482825825,Bafodé Diakité,Lille,DF
9,-0.18762176825621363,2.0828517703800866,1.652197648126544,Adrien Truffert,Rennes,"DF,MF"
10,6.796751458655593,-1.3425011551195531,-3.2836429150817072,Moussa Niakhate,Lyon,DF
11,5.840146762891686,1.2860989114186796,-0.022810284962600413,Guela Doué,Strasbourg,DF
12,8.99901179083762,2.0157881940389495,-5.966620155847854,Alexsandro Ribeiro,Lille,DF
13,2.272223371306983,1.7515931645323444,4.344932422454812,Cristian Cásseres Jr.,Toulouse,MF
14,4.651653658217388,2.4701086910733263,1.8828428224121248,Benjamin André,Lille,MF
15,-6.524300157606404,5.820128939126821,0.6385749622725018,Gaëtan Perrin,Auxerre,"MF,FW"
16,-5.434654773337516,5.380454395858553,0.9642480044073376,Junya Ito,Reims,"FW,MF"
17,-1.9486543931178146,3.5011014754173186,2.1971870461505136,Aron Dønnum,Toulouse,"DF,MF"
18,3.3673971825613633,3.799825445263083,0.413972541207643,Kenny Lala,Brest,DF
19,3.2733385624077505,1.6070737475797925,2.2085520798931197,Florent Hanin,Angers,DF
20,6.802823351180058,9.029626862676487,-3.5371429840385322,Pierre Højbjerg,Marseille,MF
21,-1.6232529807274605,-0.6463164681751716,1.6254828611196832,Mahdi Camara,Brest,"MF,FW"
22,-5.548367824450823,-2.0219373738982807,-1.1856420988063823,Keito Nakamura,Reims,"FW,MF"
23,4.2373436626424095,-6.288126163735213,-0.7745693060260571,Jubal,Auxerre,DF
24,5.022617945886736,-2.1171694690401055,-2.589953969465443,Ismaël Doukouré,Strasbourg,"DF,MF"
25,3.410391885553282,-2.3248785419136007,1.32081983138704,Léo Pétrot,Saint,DF
26,4.497428421784293,-4.348271639631021,-2.618775303486248,Jean-Charles Castelletto,Nantes,"DF,MF"
27,-0.5711114913892158,3.8576632142838303,2.389257533356191,Adrien Thomasson,Lens,MF
28,-3.485159876931433,3.0396357138212395,-3.0170972773277143,Luis Henrique,Marseille,"DF,FW"
29,-9.563563494852989,3.2399665543503984,-0.5443320106987503,Moses Simon,Nantes,"FW,MF"
30,5.2656124231949155,-4.131380563452677,-3.0034766692663704,Charlie Cresswell,Toulouse,DF
31,-6.804766503772173,-4.830245331208134,-2.8211990469950066,Arnaud Kalimuendo,Rennes,"FW,MF"
32,4.533682824613819,-0.02592938705367663,0.11905287570459332,Pierre Ekwah Elimby,Saint,MF
33,-2.7305060022172687,2.67767168715176,0.7324294815899589,Diego Moreira,Strasbourg,"DF,MF"
34,-8.518214400755525,-1.2908581761597075,0.19943189472138478,Evann Guessand,Nice,"FW,MF"
35,-7.217234826901515,-3.914234406131867,-2.8923569175571906,Jonathan David,Lille,FW
36,5.2410100223908564,2.853318222773527,-1.9275462222218989,Facundo Medina,Lens,DF
37,0.6628993123852631,-1.7359830741600961,0.37516847338202525,Sergio Akieme,Reims,DF
38,-6.30284481547301,5.259584027053186,-0.8330679485481327,Dilane Bakwa,Strasbourg,"MF,DF"
39,5.235058214055262,-3.845191774668824,-0.9442687536149152,Mark McKenzie,Toulouse,DF
40,-4.926812659006608,-6.6386036844954415,-1.6432281869676917,Ludovic Ajorque,Brest,FW
41,4.7932268909118285,-2.309385667607196,0.4076384621751564,Clément Akpa,Auxerre,DF
42,-1.5852763170922486,2.3027864243953986,-1.7594839253418437,Adrien Rabiot,Marseille,MF
43,1.9436916849562693,-0.5696264114425682,2.2634162008232948,Loïc Nego,Le Havre,"DF,FW"
44,4.182407027996117,2.337285848050653,-1.1042073676472959,Michael Amir Murillo,Marseille,DF
45,-0.14264630555643232,0.653576298977527,2.52324108089929,Hicham Boudaoui,Nice,MF
46,5.645451688136863,-4.379015644886207,-1.2413390995329188,Brendan Chardonnet,Brest,DF
47,-6.874930751787737,6.569509376610595,-0.8012601092619528,Maghnes Akliouche,Monaco,"FW,MF"
48,1.3600802164441037,1.2141079302718885,-0.5877699734667324,Vincent Sierro,Toulouse,MF
49,7.438814616510725,-0.4578027506732033,-4.40831378871139,Thilo Kehrer,Monaco,DF
50,5.567512875538698,0.3493852758637922,-1.2334770852810932,Clinton Mata,Lyon,DF
51,6.872174631925285,-2.46731723822773,-3.809010453312168,Mamadou Sarr,Strasbourg,DF
52,-1.4881749654365248,9.659965890696036,-0.9153946878054525,Téji Savanier,Montpellier,MF
53,-1.4499791931104848,2.2396955597560217,1.005033525055381,Lorenz Assignon,Rennes,"DF,MF"
54,-2.4528409206410924,-0.7938921696700342,-1.271699066647334,Habib Diarra,Strasbourg,"MF,FW"
55,4.772403264737116,1.6341724593180698,-1.4655724262761711,Pedro Chirivella,Nantes,MF
56,1.9345960641794597,-3.8442721903275823,3.639498639123226,Elisha Owusu,Auxerre,MF
