method,tag,eps,min_samples,silhouette,calinski_harabasz,davies_bouldin,n_clusters,n_noise
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.2440088463894558,5,0.8317802256343797,1105.2665779840077,0.1566712555948118,2,1
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.25271790974089015,5,0.8317802256343797,1105.2665779840077,0.1566712555948118,2,1
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.2614269730923245,5,0.8317802256343797,1105.2665779840077,0.1566712555948118,2,1
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.27013603644375883,5,0.8317802256343797,1105.2665779840077,0.1566712555948118,2,1
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.2788450997951932,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.2875541631466275,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.29626322649806186,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3049722898494962,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3136813532009305,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3223904165523649,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3310994799037992,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3398085432552335,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.34851760660666786,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.3572266699581022,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.36593573330953655,5,0.8317514043079076,1105.4730280667234,0.1567079071328204,2,0
umap,joueurs_ligue1_2024_2025_clean_custom_GK_umap3d_best_embedding,0.2440088463894558,7,0.8317802256343797,1105.2665779840077,0.1566712555948118,2,1
