UMAP_1,UMAP_2,UMAP_3,player_name,equipe,positions,age,player_id,player_country_code
26.47476,36.032944,18.825506,Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA
26.997084,35.51854,21.511608,Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA
26.383383,36.51733,21.620106,Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA
28.023428,35.335,22.47759,Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG
29.157242,34.831852,23.868542,Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG
29.07603,36.110096,24.064857,Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO
25.824543,35.94686,19.197058,Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA
28.406425,36.080368,25.46509,Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA
27.070871,34.316944,18.763372,Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA
28.557251,36.534126,22.077923,Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA
27.237152,34.694824,19.105986,Moussa Niakhate,Lyon,DF,28.0,00242715,SEN
27.550165,35.12114,19.859768,Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV
27.59628,34.094925,19.140406,Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA
27.625399,36.011726,21.78309,Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN
27.621675,34.904465,21.058752,Benjamin André,Lille,MF,33.0,ef9c1c95,FRA
29.601328,36.023838,23.090788,Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA
29.120144,36.11678,23.039396,Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN
28.838951,36.117165,22.56815,Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR
28.958271,36.085182,21.198284,Kenny Lala,Brest,DF,32.0,770d7eb8,MAD
27.635826,37.072483,20.528214,Florent Hanin,Angers,DF,34.0,6bfb4303,ALG
28.081758,34.082527,20.308737,Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN
27.278332,35.91247,23.059801,Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA
28.306513,35.65342,24.52945,Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN
25.690042,36.358345,18.694107,Jubal,Auxerre,DF,30.0,56ae428b,BRA
26.12167,34.913647,18.788198,Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA
26.871155,37.352562,20.313168,Léo Pétrot,Saint,DF,27.0,00638016,FRA
26.340229,35.968384,18.28758,Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR
28.088387,35.01401,21.82906,Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA
28.881721,35.145668,23.004715,Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA
29.47664,35.913315,24.046797,Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA
25.670206,35.24183,18.991108,Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG
27.840712,35.506577,25.343843,Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA
26.597467,35.66902,20.725044,Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA
28.563066,36.012806,23.08642,Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL
28.922335,35.277203,24.55641,Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV
28.080187,35.270058,25.10225,Jonathan David,Lille,FW,24.0,ce50fd99,CAN
27.905972,34.668785,19.859882,Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG
27.274467,37.42026,21.536814,Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP
29.235756,35.567383,23.314924,Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA
