UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
14.016132,7.468531,6.559666,4.784187,6.3958187,Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA
16.74228,10.618821,5.9113226,6.6791577,6.576415,Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA
16.205252,9.771609,5.5392513,6.8690534,6.1004825,Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG
15.215327,10.695981,5.3259377,6.034588,6.7117157,Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN
14.96223,8.829354,5.366325,5.5274725,6.4471703,Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP
14.1022835,9.908816,4.460818,6.2262783,6.6379437,Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA
16.32486,12.157562,5.511205,6.283627,7.107517,Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA
15.802437,9.381791,4.9254403,6.081646,6.095815,Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA
15.179172,10.205388,5.240883,6.116451,6.9476547,Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI
14.419114,9.501548,4.909189,5.823788,6.5318766,Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA
13.338851,7.620385,6.5292788,4.396616,6.934456,Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA
14.898029,9.440013,4.820432,6.243963,6.1766005,Douglas,Nantes,MF,27.0,301c287b,BRA
13.338873,7.507778,6.348541,4.3253527,6.3260717,Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA
16.420647,10.561086,6.047942,6.914623,6.968143,Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA
16.336456,12.691451,6.062211,6.2963824,7.4374785,Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI
16.46457,11.497608,5.936964,6.730478,6.8812385,Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA
15.171118,13.69912,6.7433066,5.2873755,8.077801,Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED
15.968,9.259855,6.102668,6.7987137,5.7031054,Gideon Mensah,Auxerre,DF,26.0,9bdd8118,GHA
14.641961,7.717167,5.9899297,5.0365505,6.2190375,Leonardo Balerdi,Marseille,DF,25.0,7c3ed041,ARG
15.919093,12.243091,5.9832053,5.6546907,7.2905626,Takumi Minamino,Monaco,"MF,FW",29.0,f833a830,JPN
15.656718,11.337689,5.3413877,5.9667964,7.025591,Andy Diouf,Lens,MF,21.0,9b5237b1,FRA
13.73443,7.358246,6.324442,4.4790554,6.6539245,Moïse Bombito,Nice,DF,24.0,c2f23fc8,CAN
13.707902,7.7423787,6.690109,4.565398,6.8115125,Cédric Kipré,Reims,DF,27.0,9f30e7ed,CIV
16.35939,11.988386,5.6156516,5.9859333,7.0011306,Bradley Barcola,Paris S,FW,21.0,a0d55a09,FRA
15.372062,9.013672,6.571728,6.8657765,6.0844626,Kelvin Amian,Nantes,DF,26.0,bcc81786,FRA
16.101288,9.586325,6.08809,6.8105764,6.1726832,Gabriel Suazo,Toulouse,DF,26.0,39b326ed,CHI
14.640484,9.6197605,4.803158,5.685651,6.7047935,Denis Zakaria,Monaco,MF,27.0,384d58d9,SUI
13.017406,8.565743,6.0647535,4.401874,6.7606044,Modibo Sagnan,Montpellier,DF,25.0,76d679c7,MLI
14.172684,7.964449,6.5637407,4.96568,6.2210474,Willian Pacho,Paris S,DF,22.0,ecbe2839,ECU
15.971293,8.778877,6.2429085,6.7324834,5.9125943,Dennis Appiah,Saint,DF,32.0,feb5d3ab,FRA
15.93638,9.246319,6.6852846,6.9152956,6.21085,Ki-Jana Hoever,Auxerre,DF,22.0,9a71e978,NED
13.951417,8.3283,6.2231627,4.9535284,6.4178753,Jonathan Gradit,Lens,DF,31.0,06c48679,FRA
16.29834,10.996916,6.098057,6.648308,7.3395557,Sebastian Nanasi,Strasbourg,"MF,FW",22.0,ce747d2a,SWE
15.723051,9.004612,6.0381846,6.6321664,6.3574467,Djibril Sidibé,Toulouse,DF,32.0,4c5b714f,FRA
14.764628,10.119731,4.6653547,6.7330513,6.330133,Yassine Kechta,Le Havre,"MF,FW",22.0,abefc3af,MAR
14.26208,8.184189,6.102064,5.218783,6.266574,Wilfried Singo,Monaco,DF,23.0,8b609c34,CIV
15.997493,12.618849,5.9873767,5.955472,7.1614156,Hamed Junior Traorè,Auxerre,MF,24.0,570bb4b9,CIV
15.00646,9.435158,4.6263585,6.155757,6.593498,Azor Matusiwa,Rennes,MF,26.0,a17a94d6,NED
16.173716,9.575065,5.444098,5.9050274,6.2165647,Achraf Hakimi,Paris S,DF,25.0,e42d61c7,MAR
15.996094,9.396201,5.9645863,7.0623736,6.21724,Vanderson,Monaco,DF,23.0,ee45fd85,BRA
