UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
18.230528,17.904066,13.032065,6.1345863,3.0346317,Gautier Larsonneur,Saint,GK,27.0,b49729cb,FRA
19.708603,5.3792243,2.4820557,8.255547,-6.7666035,Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA
18.401705,18.081146,12.831601,6.4731507,2.642416,Gerónimo Rulli,Marseille,GK,32.0,625c144a,ARG
18.356749,18.130836,12.751644,6.524862,2.956067,Lucas Chevalier,Lille,GK,22.0,b3d76d84,FRA
18.441767,18.232098,12.808414,6.282565,2.8688688,Marcin Bułka,Nice,GK,24.0,db87a2c4,POL
17.984776,17.966742,12.972726,6.1726074,3.0761175,Yehvann Diouf,Reims,GK,24.0,eedea60b,SEN
18.589603,17.985615,12.97994,6.5661736,2.8621643,Lucas Perri,Lyon,GK,26.0,5dbd461a,BRA
18.191639,17.86514,13.065419,6.3083363,2.9357147,Yahia Fofana,Angers,GK,23.0,9d420dad,CIV
18.445608,17.853537,12.821682,6.335489,2.6872902,Marco Bizot,Brest,GK,33.0,3d214e5f,NED
18.030882,17.81928,12.997649,6.1057396,3.0363865,Donovan Léon,Auxerre,GK,31.0,51c83a90,GUF
21.260998,3.787614,2.0832064,7.606113,-9.087298,Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA
21.784771,3.6327682,1.935885,7.3082204,-8.555549,Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA
21.249752,3.9782655,2.5940948,6.861227,-9.798386,Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG
21.701345,3.4543395,2.5543675,6.134566,-11.958063,Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG
18.059628,17.964874,12.9824705,6.4708652,2.7383204,Đorđe Petrović,Strasbourg,GK,24.0,0cf321c8,SRB
22.248146,3.0498009,2.4638689,5.970081,-11.371934,Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO
19.906963,5.545356,2.2602203,7.9839497,-6.76046,Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA
23.47985,3.417735,2.4229174,6.3352222,-11.906852,Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA
19.057112,5.64578,2.86743,8.088256,-8.1318445,Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA
20.798004,3.5401595,2.227769,6.0792527,-10.031812,Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA
19.508709,5.2616935,2.5968294,8.118003,-8.1309805,Moussa Niakhate,Lyon,DF,28.0,00242715,SEN
19.721746,4.6707015,2.3354962,7.424644,-8.758383,Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV
19.180973,5.270009,2.8143322,7.98524,-8.591944,Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA
18.129251,18.116468,12.865231,6.175248,2.7837818,Benjamin Lecomte,Montpellier,GK,33.0,2fa2a875,FRA
20.936857,3.4186099,2.0600042,7.292512,-9.406279,Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN
20.34122,4.1674376,1.8260435,7.830868,-9.013894,Benjamin André,Lille,MF,33.0,ef9c1c95,FRA
21.22748,3.0377042,2.5633311,6.0944486,-11.339501,Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA
21.062359,3.2813103,2.6053495,5.9639525,-10.950235,Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN
20.940157,3.321215,2.5232666,6.1527376,-10.305273,Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR
20.234396,3.4589682,2.357349,6.479021,-9.374434,Kenny Lala,Brest,DF,32.0,770d7eb8,MAD
20.477709,3.6067362,1.9680048,6.0877295,-8.618089,Florent Hanin,Angers,DF,34.0,6bfb4303,ALG
19.695322,4.7831197,2.889866,7.849101,-9.600472,Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN
21.888512,3.7054186,1.9836395,7.2809772,-9.669732,Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA
22.923943,3.571591,2.5184653,6.399421,-11.669349,Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN
19.745573,5.4819183,2.0910757,8.160812,-6.2602415,Jubal,Auxerre,DF,30.0,56ae428b,BRA
19.525583,5.942771,2.5057049,8.023603,-7.24962,Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA
20.840717,3.9886417,1.9523582,6.067015,-7.8038096,Léo Pétrot,Saint,DF,27.0,00638016,FRA
19.740631,5.3262696,2.5706677,8.381669,-6.435871,Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR
20.740097,3.89947,2.1240613,7.533034,-10.003623,Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA
21.465132,3.8692887,2.602944,6.3712497,-11.033005,Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA
21.827389,3.391808,2.5226004,5.783916,-11.50254,Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA
19.437267,5.464362,1.9944003,7.971891,-7.1129594,Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG
23.259287,3.4933589,2.3215387,6.655156,-12.161176,Arnaud Kalimuendo,Rennes,"FW,MF",22.0,bf4c41f9,FRA
20.950394,4.242099,2.408528,7.763833,-8.624695,Pierre Ekwah Elimby,Saint,MF,22.0,830371be,FRA
21.511436,3.7840595,2.354826,6.2386837,-10.492775,Diego Moreira,Strasbourg,"DF,MF",19.0,12de1b0d,BEL
22.455816,3.430158,2.729998,6.151113,-11.864301,Evann Guessand,Nice,"FW,MF",23.0,b73f17f8,CIV
23.337067,3.6603575,2.2625012,6.820052,-12.232581,Jonathan David,Lille,FW,24.0,ce50fd99,CAN
18.401266,18.192816,12.5685425,6.561717,2.8960521,Guillaume Restes,Toulouse,GK,19.0,6b91b999,FRA
19.758322,4.5782413,2.653342,7.6487913,-8.600154,Facundo Medina,Lens,DF,25.0,6f5ec8bb,ARG
21.28768,3.8932397,1.9692363,6.0823445,-8.363123,Sergio Akieme,Reims,DF,26.0,06efa9dc,ESP
21.36373,3.3789153,2.57903,5.956753,-11.335859,Dilane Bakwa,Strasbourg,"MF,DF",21.0,2b5a35e5,FRA
19.943169,5.592757,2.210226,8.150279,-7.0869775,Mark McKenzie,Toulouse,DF,25.0,a5f5d094,USA
23.819218,2.976739,2.383452,6.6424804,-11.994396,Ludovic Ajorque,Brest,FW,30.0,462475ed,FRA
20.019196,4.983302,1.9780333,8.017279,-7.0224257,Clément Akpa,Auxerre,DF,22.0,0abb5072,CIV
20.535234,4.3524785,2.4716868,7.2113867,-10.187776,Adrien Rabiot,Marseille,MF,29.0,8794e251,FRA
20.896427,3.6588626,1.9073983,5.954406,-8.241225,Loïc Nego,Le Havre,"DF,FW",33.0,c3b6fa1e,HUN
19.81006,4.591119,2.3887072,7.406493,-9.295608,Michael Amir Murillo,Marseille,DF,28.0,349cae8f,PAN
21.38461,3.9199903,1.943519,7.478575,-9.54605,Hicham Boudaoui,Nice,MF,24.0,f9d5908e,ALG
19.516329,5.282093,2.0001392,8.086798,-6.57728,Brendan Chardonnet,Brest,DF,29.0,16aa7d4c,FRA
21.552485,3.906757,2.6977923,6.2114015,-11.633149,Maghnes Akliouche,Monaco,"FW,MF",22.0,b625b241,FRA
20.925406,3.3995318,2.6007187,6.899724,-9.880794,Vincent Sierro,Toulouse,MF,28.0,92ffb8f9,SUI
19.222393,5.7632794,2.5233235,7.947392,-8.180698,Thilo Kehrer,Monaco,DF,27.0,51dbeea9,GER
19.54351,4.9416804,2.3551075,7.6473365,-8.543207,Clinton Mata,Lyon,DF,31.0,55abe554,ANG
19.385103,5.520497,2.8391683,8.288598,-7.681706,Mamadou Sarr,Strasbourg,DF,18.0,61f80c89,FRA
20.88943,3.028782,2.6731968,6.361133,-10.551772,Téji Savanier,Montpellier,MF,32.0,6bde367b,FRA
20.777409,4.0123296,2.187299,6.22283,-9.851679,Lorenz Assignon,Rennes,"DF,MF",24.0,b026bbf6,TOG
21.847496,3.7627215,2.5159981,6.8334613,-10.026607,Habib Diarra,Strasbourg,"MF,FW",20.0,6d0fe035,SEN
20.343252,4.435182,2.4599862,7.85538,-8.767237,Pedro Chirivella,Nantes,MF,27.0,68a26d51,ESP
21.738247,3.766057,1.7879102,7.576286,-8.454428,Elisha Owusu,Auxerre,MF,26.0,e2781082,GHA
22.322397,3.714638,2.5121508,5.8943434,-11.599391,Yann Gboho,Toulouse,"MF,FW",23.0,6be41a31,FRA
20.311062,4.365326,2.3801281,7.6094894,-9.983212,Corentin Tolisso,Lyon,MF,29.0,652d4c37,FRA
21.661493,3.6901493,2.4046686,7.2717066,-9.122002,Abdoulaye Touré,Le Havre,MF,30.0,ef7cd87a,GUI
21.370396,3.9497433,1.9981358,7.465938,-8.431606,Hugo Magnetti,Brest,MF,26.0,d4d35152,FRA
19.73898,5.143366,2.7103364,8.305491,-6.4868507,Etienne Youte Kinkoue,Le Havre,DF,22.0,12a4e38c,FRA
21.25363,3.8419573,2.0858924,7.8270793,-8.729917,Douglas,Nantes,MF,27.0,301c287b,BRA
19.756392,5.755634,2.1274252,8.009961,-6.61934,Mickael Nade,Saint,DF,25.0,a6b6fa6e,FRA
20.638771,3.0985832,2.5227256,6.2847705,-10.685589,Jonathan Clauss,Nice,"DF,MF",31.0,5219ab4a,FRA
22.827028,3.2659502,2.5302176,6.132275,-12.087002,Lassine Sinayoko,Auxerre,"FW,MF",24.0,5e5249c8,MLI
21.67327,3.115134,2.4982152,5.906093,-11.167516,Ludovic Blas,Rennes,"MF,FW",26.0,6191093d,FRA
23.652632,3.8813117,2.7565084,6.877299,-12.272969,Emanuel Emegha,Strasbourg,FW,21.0,a0c590b9,NED
