n_neighbors,min_dist,n_components,trustworthiness,continuity,distance_corr,mrre,composite_score,mse
5,0.0,2,0.9220198320381462,0.9891583758187728,0.5763327878921257,0.7268401922427263,0.46843570875946094,0.17849725477123696
5,0.0,3,0.9271238594928146,0.9893052186968933,0.5572763530341486,0.7790519596609843,0.40346118562341793,0.202087873409177
5,0.0,5,0.9263706710224554,0.9893357422165024,0.5599347902515599,0.7796705967420753,0.4072640917837045,0.20176965818370968
5,0.1,2,0.9174734775363395,0.9890453563002194,0.5781003462975904,0.718329613672459,0.45512978882183674,0.17523184570039285
5,0.1,3,0.9275148905278094,0.9893868897358478,0.5649297422488281,0.7431466819687237,0.4675411514009369,0.18672996232636724
5,0.1,5,0.93053671896913,0.9895015591743801,0.5784979623599903,0.7311030396525765,0.5276977678355844,0.17927774674881491
5,0.3,2,0.9130368427131285,0.9889867841409692,0.5755024538360547,0.7132136455829974,0.43449019753718376,0.17413893814846476
5,0.3,3,0.9296993845798479,0.9893654407761223,0.5914406321685777,0.6843658298276968,0.5921189608724365,0.16008315411422544
5,0.3,5,0.9340427989242521,0.9896302529327328,0.6088023571129936,0.6625090886912601,0.6878635442498073,0.14910294310671487
5,0.5,2,0.9163441073107954,0.9890305070204095,0.5945166782107326,0.6826607826579767,0.5217652913698909,0.1593902766465792
5,0.5,3,0.9324176277450543,0.9894858849345807,0.6169346131690289,0.6024595044914071,0.7550720980983238,0.12859361719880205
5,0.5,5,0.940632579319903,0.9898991898892904,0.6155838001807261,0.6376276097316054,0.7762901224246098,0.13949282509465816
10,0.0,2,0.919927733504925,0.9898117441304096,0.5326891101396761,0.7434706546127777,0.41170559465532475,0.19441086261793064
10,0.0,3,0.9287515055519807,0.9900567572472735,0.53814896054283,0.7118907412315686,0.5121110472648799,0.1813175065341124
10,0.0,5,0.93251249814384,0.9901466778861225,0.5350368958432188,0.7220370570571029,0.5161366812437488,0.18554496271356422
10,0.1,2,0.9240682076919269,0.9898562919698395,0.5380486441722755,0.7129183739622039,0.47670434727531097,0.1818800487449258
10,0.1,3,0.9311207906416539,0.9901796762857001,0.564400591362753,0.6620225801797951,0.6381051402974792,0.15821538142817926
10,0.1,5,0.9351482453101024,0.990216799485225,0.5381670105138929,0.7348868723359653,0.5227909743878526,0.18941247160202074
10,0.3,2,0.9149128017291162,0.989557656453662,0.6018257595815587,0.685182227032357,0.5691823310964463,0.1588415709555379
10,0.3,3,0.9329489019782541,0.9903438433235988,0.5535856018006876,0.6551631231390793,0.6460019111233352,0.1582784059871719
10,0.3,5,0.9417380257057533,0.9905847316405154,0.5518361036301297,0.6719501493826998,0.6762479165037989,0.16396274654795026
10,0.5,2,0.9113836228942896,0.9894726855747497,0.5594055703898523,0.7198430220144667,0.4291988376228928,0.18006527859669022
10,0.5,3,0.9314103515979475,0.9902555726047286,0.5932196817606549,0.6035526379845527,0.7671490513805125,0.13363637696454858
10,0.5,5,0.944467818310812,0.9908091207576433,0.5685800979834361,0.5946292908614429,0.8258647273425737,0.13571885521769317
15,0.0,2,0.9200993251827286,0.9893382170964709,0.5542790234950458,0.7785435191200508,0.37410601217058426,0.20282374787782503
15,0.0,3,0.928019766041347,0.9899495124486463,0.5783681310756017,0.6703802201422057,0.624195476671725,0.15811630970783885
15,0.0,5,0.9312569090399115,0.9900171591677803,0.572221765951941,0.6771811480647391,0.6226393218171239,0.16159844862134562
15,0.1,2,0.9185154020030029,0.9893184180567243,0.5591654788928868,0.6963162793656491,0.47114158791746574,0.17148631795322541
15,0.1,3,0.9312362850401755,0.9899990100480127,0.5727256447360187,0.6535174264101384,0.6495521133894256,0.15361921739576934
15,0.1,5,0.9318583048722137,0.9901763764457424,0.5922564054171722,0.6290063887476776,0.7311501081097928,0.14166091755083596
15,0.3,2,0.9150546948473,0.9891658004586777,0.6025537209825489,0.6550472356493143,0.5747621801894113,0.1485958775959531
15,0.3,3,0.9297150588196472,0.9899767361282977,0.5861279884749659,0.6191407260367481,0.7069491198801058,0.13991642983411423
15,0.3,5,0.9413379201108746,0.9904213895626062,0.6239291517211251,0.5645570039379539,0.9213071670934876,0.11592172075385525
15,0.5,2,0.9076622283819235,0.9890016334207791,0.617591848855007,0.6416210249824837,0.5769693573825065,0.14164019047412696
15,0.5,3,0.9261908297447574,0.9897795706908215,0.6269388678369731,0.5869888775600238,0.7913449757656087,0.12232070037474185
15,0.5,5,0.9443152007127654,0.9907884967579073,0.6247145529387952,0.5892544813501073,0.9348774545421801,0.12281141480768773
30,0.0,2,0.9035217541949215,0.988544605586629,0.5309422778254276,0.7686617237612103,0.21477791460015572,0.20507381757048615
30,0.0,3,0.9119833688066129,0.9888292167829861,0.5142232938584768,0.7505669488069006,0.2598015640766913,0.20180036665883067
30,0.0,5,0.9147238858915343,0.9890032833407579,0.5093387087827811,0.7398755667758503,0.2875411099919012,0.19888932510638951
30,0.1,2,0.8977816825883944,0.988495932947252,0.5610887525041497,0.732184702784974,0.2876212429157693,0.18482961253597455
30,0.1,3,0.913208434390932,0.9888490158227325,0.5513476250641606,0.6944484682704366,0.4007532003676838,0.17280118723192986
30,0.1,5,0.9198477123859493,0.9890164827005891,0.5459429462111726,0.6909369049745396,0.4336217654982829,0.17252666040330453
30,0.3,2,0.8930002144895972,0.9883334158293323,0.6073271672205508,0.6779027017987521,0.40583192491761233,0.15633227249864215
30,0.3,3,0.9163614314705737,0.9891732250985827,0.5982974036331498,0.6398097891319747,0.5901219281586781,0.144458542849347
30,0.3,5,0.9238066953752743,0.9893745153360062,0.599288917461443,0.6201441259676118,0.659530302210979,0.1377666073088341
30,0.5,2,0.8897556468511277,0.988246795030441,0.623986180559768,0.666055875525297,0.4313702819568962,0.14932719424001778
30,0.5,3,0.9186770941609332,0.9890618555000082,0.6221234796095111,0.6072791363780976,0.6724803002051489,0.129577918040441
