n_neighbors,min_dist,n_components,trustworthiness,continuity,distance_corr,mrre,composite_score,mse
5,0.0,2,0.9276848502045353,0.9886103426260907,0.5606706815261084,0.6749154034395856,0.7372720802990425,0.16347006426394703
5,0.0,3,0.931278995530964,0.9889338157054692,0.5488598526764127,0.7069280175940814,0.7604670607072052,0.17702992286917993
5,0.1,2,0.9238306022557992,0.9887455959896905,0.5166402822725815,0.6622445882839216,0.7103989560927431,0.169533237548803
5,0.1,3,0.9309857889385449,0.9889404364994916,0.5620981372349352,0.6332720483242916,0.8139225142084068,0.14941920096880362
5,0.3,2,0.9265413444941004,0.988823153862524,0.5347548513710176,0.6249076632215381,0.7662758869859045,0.1531209329585306
5,0.3,3,0.9349213780709844,0.9891551393913599,0.5806087168851835,0.5770999318760054,0.9018185525344915,0.1283215544394457
5,0.5,2,0.9260239767326381,0.9886585798396822,0.554860681454653,0.6100443145526601,0.7699270283234119,0.14397603961568672
5,0.5,3,0.9368659998581258,0.9892043224326689,0.5696345148797765,0.572847035352365,0.9089227178763766,0.12936765633070277
10,0.0,2,0.9276262088860514,0.9893386299685513,0.4592236744026477,0.7044030837028114,0.7234129572642312,0.1984935922769391
10,0.0,3,0.9300938734009601,0.9894426710174742,0.47767103267860045,0.6709561817276372,0.7793671496959088,0.182002017908224
10,0.1,2,0.9294336856541581,0.989277151166915,0.4769615280280276,0.6675823443300597,0.7591110315909995,0.18108250345786187
10,0.1,3,0.9310709134331181,0.9894946915419356,0.5070651540014776,0.6285612877934554,0.8374166100632603,0.16073390884822447
10,0.3,2,0.9276498545789884,0.9892166181929961,0.5292046006730299,0.6114708308997195,0.8195273975808028,0.15022392748356794
10,0.3,3,0.934688704452484,0.9897595233028303,0.5478320294940712,0.5816620967328351,0.9420088716502915,0.1367892752540422
10,0.5,2,0.9221668913007496,0.9889971861625405,0.5378112333774708,0.5981286194670989,0.7874148624873982,0.14438883903495087
10,0.5,3,0.9324783050767302,0.9898162729658793,0.5701497358785881,0.5555292319376383,0.9729524981002257,0.12451171617102162
15,0.0,2,0.9234276796481521,0.9891333853538578,0.45566057903784585,0.7109524941361202,0.676622636121075,0.20193506442242926
15,0.0,3,0.9243649949161761,0.989326334208224,0.45640306608558817,0.701487550664103,0.708712416056936,0.1983542478583341
15,0.1,2,0.9237889858362299,0.9890161027168901,0.4850915495470476,0.6614192838679809,0.7169603854386246,0.17713373652492237
15,0.1,3,0.9252673145586532,0.9894133503582323,0.5020582297918004,0.6384831336865191,0.7955102695491691,0.16532594248603644
15,0.3,2,0.9196689602988816,0.989100281383746,0.524356577760034,0.6209329938410522,0.7654570082819194,0.15459158194148373
15,0.3,3,0.9300938734009601,0.9895136080962853,0.5568323961771842,0.5722335337234079,0.9083251138209701,0.13221139328671855
15,0.5,2,0.9154505686789152,0.9889130074956847,0.5342586074347158,0.6097578341422041,0.741754287905644,0.14899779719648787
15,0.5,3,0.9347917996736894,0.9896715613251046,0.5717376168887832,0.5528217160083548,0.968163484824955,0.12334482612844451
30,0.0,2,0.8997195620817668,0.9883786148353078,0.2647499644304856,0.9774856829522767,0.18872600733441974,0.3765655245009674
30,0.0,3,0.9029580761864227,0.9886727672554444,0.27334202975966077,0.9373415907561466,0.2657735441693485,0.3540466261635407
30,0.1,2,0.9060386370622591,0.9885952093826109,0.28185762954866095,0.9016139718435692,0.2966570762376502,0.33439875635878724
30,0.1,3,0.9050114681610745,0.9888042373081743,0.3438939125235082,0.8258913560617448,0.41043163695810225,0.280429974081096
30,0.3,2,0.8987340096001514,0.9885819677945662,0.4219912925471776,0.7268287839413614,0.4803468119645031,0.21818982983201682
30,0.3,3,0.9126859142607174,0.9889489489489489,0.4513780641000167,0.6739363780213149,0.6316975410307997,0.19073053636723844
30,0.5,2,0.8950632522286066,0.9884779267456433,0.48861514660757593,0.6490788809736661,0.5524780977851907,0.17349058530253336
30,0.5,3,0.9127483388900712,0.9889555697429713,0.513125199573919,0.5976166387950417,0.7265076727881613,0.15048188751519093
50,0.0,2,0.8729999290629211,0.9876995105341562,0.30130461427039407,0.9445638814403183,0.05409734066173616,0.34916412205514125
50,0.0,3,0.8740677685559575,0.9882537655766003,0.27395288578111937,0.9551614501244338,0.09433571198168117,0.36386867720224525
50,0.1,2,0.8761731810550708,0.9876493816651297,0.36132400856140207,0.847835104902408,0.16518458568873226,0.2855542515020568
50,0.1,3,0.8788593317727176,0.9882849778912771,0.3209065172887865,0.8712484016170393,0.20325620094912691,0.30876350970566285
50,0.3,2,0.8787259700645528,0.9878669220401504,0.4273957115606262,0.7550197016695246,0.30721132999069944,0.2281962557414658
50,0.3,3,0.8896852758270081,0.9885053557494502,0.4017497483351298,0.752798612901196,0.4047776385742272,0.23422764510471383
50,0.5,2,0.8771426544654891,0.9877080229836135,0.4792966749812332,0.6985902819073437,0.35698022071982016,0.19360133867793478
50,0.5,3,0.8913054787070536,0.9883010569624743,0.4655736309798106,0.6769987697477367,0.48268891809302583,0.18897256059283762
