file,method,n,k,ARI_mean,ARI_std,NMI_mean,NMI_std,silhouette,calinski,davies
clusters_annotes_clusters_umap_agglomerative.csv,agglomerative,341,5,0.0741,0.0364,0.1637,0.0355,-0.0721,17.28,7.1092
clusters_annotes_clusters_umap_kmeans_5.csv,kmeans,341,5,0.07,0.0277,0.1335,0.0349,-0.0448,13.71,8.1248
