method,tag,n_clusters_param,silhouette,calinski_harabasz,davies_bouldin,n_clusters
isomap,joueurs_ligue1_ISOMap_raw,3,0.24308264169339355,64.40545391247286,1.6568992891979395,3
isomap,joueurs_ligue1_ISOMap_raw,4,0.24929088460837986,68.48468012672961,1.4404650675643875,4
isomap,joueurs_ligue1_ISOMap_raw,5,0.292752233938364,76.40403860047584,1.2129926494431698,5
isomap,joueurs_ligue1_ISOMap_raw,6,0.3126756309558535,86.91049932396221,1.089924795864443,6
isomap,joueurs_ligue1_ISOMap_raw,7,0.30995095960370245,85.67065072545358,1.0847677584406032,7
isomap,joueurs_ligue1_ISOMap_raw,8,0.2526318797473683,82.32463084265424,1.212047406739227,8
isomap,joueurs_ligue1_ISOMap_raw,9,0.2556466635901989,78.38735803638626,1.2316004703253611,9
isomap,joueurs_ligue1_ISOMap_raw,10,0.23369215390642442,75.79595629285437,1.1948824213554725,10
isomap,joueurs_ligue1_ISOMap_raw,11,0.23213719309725497,73.43048681166078,1.2019656916419847,11
isomap,joueurs_ligue1_ISOMap_raw,12,0.22699853923412622,70.63535806223267,1.1816717295464025,12
