method,tag,n_clusters_param,silhouette,calinski_harabasz,davies_bouldin,n_clusters
isomap,joueurs_ligue1_ISOMap_custom,2,0.17317581039576335,53.872647604165415,2.2339648918274513,2
isomap,joueurs_ligue1_ISOMap_custom,3,0.1946141467778233,57.12723146196414,1.8640584806721614,3
isomap,joueurs_ligue1_ISOMap_custom,4,0.21044890849676492,61.483884599437395,1.6150096933160438,4
isomap,joueurs_ligue1_ISOMap_custom,5,0.24835590844414324,67.89384405790993,1.4114241162667367,5
isomap,joueurs_ligue1_ISOMap_custom,6,0.25808585032108716,71.164792712218,1.2694537761893614,6
isomap,joueurs_ligue1_ISOMap_custom,7,0.25574871755772033,71.1498244019398,1.177195098735378,7
isomap,joueurs_ligue1_ISOMap_custom,8,0.23407557040270405,66.79554787480907,1.232594909620384,8
isomap,joueurs_ligue1_ISOMap_custom,9,0.23080119448291428,64.19461538703014,1.239885238115679,9
isomap,joueurs_ligue1_ISOMap_custom,10,0.23045323258837272,62.75165090758491,1.259686103400449,10
isomap,joueurs_ligue1_ISOMap_custom,11,0.22318358461142646,61.223397221908165,1.2712337646413276,11
isomap,joueurs_ligue1_ISOMap_custom,12,0.23902987511846324,59.23852582022895,1.3137824179756892,12
