player_name,equipe,positions,isomap_1,isomap_2,isomap_3,isomap_4,isomap_5,cluster
Jordan Lefort,Angers,DF,21.34972628343012,-3.5169629662336472,-3.248006637042686,-4.345509589312485,2.8905596781058094,5
Andrey Santos,Strasbourg,MF,13.121149284872487,12.603721973821836,-9.554450690168911,9.577624956413276,-0.4785418436354741,0
Valentin Atangana Edoa,Reims,MF,4.603435666270743,6.032461650997031,-6.280410019213404,9.6566447498059,-0.0751265308665598,0
Himad Abdelli,Angers,"MF,FW",3.556146256444212,17.812337447634608,-6.335513519541747,-1.3979218715462955,4.0401561497616845,4
Mason Greenwood,Marseille,"FW,MF",-15.244165666319615,27.481905590329497,-2.33184548930793,-6.60261001838292,3.4010419068905526,4
Zuriko Davitashvili,Saint,"FW,MF",-16.46561919014999,21.11655253664342,-0.5741671627844022,-0.2945081032111851,0.0146988016626748,4
Gautier Lloris,Le Havre,DF,18.623917801475542,-3.955340483074285,-2.2477520500135912,-2.4578242625227107,1.757526168391316,5
Matthis Abline,Nantes,FW,-18.179428489115796,7.337642202406438,-7.963094700472333,-1.3528344566612762,-0.7388245956288424,4
Bafodé Diakité,Lille,DF,22.89611585592772,-2.7443224293578723,-4.140161357847804,-4.61885055191724,0.7517190985971206,5
Adrien Truffert,Rennes,"DF,MF",7.273252491518652,14.719308317299747,6.290079344813326,-1.17986032922518,-6.438588840733878,2
Moussa Niakhate,Lyon,DF,19.00154295193836,0.8450156804543977,-2.234068125334105,-6.720448552141722,0.1797735646972755,5
Guela Doué,Strasbourg,DF,19.84322672721201,8.080970842437019,-0.1608640971849004,-4.04624887327109,-4.772461412994782,2
Alexsandro Ribeiro,Lille,DF,25.729601655929606,3.80327954855447,-4.061796473544532,-11.4914225519227,-1.437505118835331,5
Cristian Cásseres Jr.,Toulouse,MF,10.27962984613526,13.94822472408077,-2.1135274665594306,12.887298293160011,3.0385324126962496,0
Benjamin André,Lille,MF,14.858494107760428,13.53179951252557,-8.935252054344712,10.316623221434789,-2.136974627426487,0
Gaëtan Perrin,Auxerre,"MF,FW",-6.87835402581684,23.284190883723245,15.224204092135254,-0.6667279977449123,5.163387543974376,3
Junya Ito,Reims,"FW,MF",-1.891837794379248,22.249973513942997,14.316573481433126,-3.179052117534115,1.3807189264486146,3
Aron Dønnum,Toulouse,"DF,MF",5.788322926945297,18.96052216214637,5.767231684212296,2.413696756605583,-1.254211823259679,2
Kenny Lala,Brest,DF,11.398833093088616,12.318119709411809,9.33059131992644,-2.902788820448833,-2.0520373442205257,2
Florent Hanin,Angers,DF,12.93586215962787,10.061462693144408,6.053260040395101,-0.6220908500907673,-8.283925168783973,2
Pierre Højbjerg,Marseille,MF,21.042369588250647,13.90730423181326,-3.7704704396969473,-2.0907413344335124,4.096074963411776,5
Mahdi Camara,Brest,"MF,FW",2.2462039464174843,12.211323284859816,-8.97433124518099,5.912567357663506,-2.512684406388542,0
Keito Nakamura,Reims,"FW,MF",-9.720081260962829,10.057993329673437,-6.206848507549974,-4.730339622834293,-2.833419599083147,4
Jubal,Auxerre,DF,16.124632753190664,-9.549174295494437,-6.478064478007632,-3.5880347253729106,7.619972258862206,5
Ismaël Doukouré,Strasbourg,"DF,MF",19.26174063111456,-0.1393348840758131,-2.875080963649357,-6.708222330761098,0.1124596959785613,5
Léo Pétrot,Saint,DF,12.907783355449869,2.838630387770617,-0.3952834742977257,0.8396108810239029,-5.551838310897725,2
Jean-Charles Castelletto,Nantes,"DF,MF",15.73100417726356,-7.772904808081428,-2.148717403593864,-1.9879097434207893,2.322818317738419,5
Adrien Thomasson,Lens,MF,9.652224773302668,19.755473114951982,-6.212472171920458,8.02432744296518,-3.726461723084513,0
Luis Henrique,Marseille,"DF,FW",-3.519066540126014,15.643206627979398,1.6170936052816656,-9.009975011511028,-1.093432225907118,4
Moses Simon,Nantes,"FW,MF",-16.303062755458217,22.835823067845958,4.1608850830989335,-4.9125719014477225,-3.851904508886423,4
Charlie Cresswell,Toulouse,DF,19.250685423912063,-4.972797280082644,-2.5582649097552226,-3.183069104348288,4.735797779902449,5
Arnaud Kalimuendo,Rennes,"FW,MF",-16.36137667655851,3.133115400921128,-12.407858775252814,-4.616211625846123,4.221153637247455,4
Pierre Ekwah Elimby,Saint,MF,13.338590967787452,4.177352393810755,-2.741667172018773,2.1870289458883163,3.31032997851272,0
Diego Moreira,Strasbourg,"DF,MF",0.2615349891994572,21.320297292754173,-1.5809708970424976,-1.845344784480024,-7.978520178213332,2
Evann Guessand,Nice,"FW,MF",-11.67057337944848,17.507343269862737,-10.076293952333014,-1.5641802343876523,-3.1100153331288696,4
Jonathan David,Lille,FW,-14.638671548197625,7.403174580653268,-11.628947371622246,-5.872994742729054,1.9120926448450075,4
Facundo Medina,Lens,DF,18.65052712099038,7.066461460279838,-1.510315777301115,1.09878259759013,-0.8553820140948115,5
Sergio Akieme,Reims,DF,7.69012060675916,5.172370557580572,2.8183173649020468,-1.628224498066312,-4.407123487597624,2
Dilane Bakwa,Strasbourg,"MF,DF",-7.1560537296370486,22.31285306631471,4.911809001055438,-7.125333984723888,0.949711794792525,3
Mark McKenzie,Toulouse,DF,13.470191052627486,-5.148528099702317,-2.530423974039837,-1.2658738790217,1.004767282967817,5
Ludovic Ajorque,Brest,FW,-16.44080201201111,-0.7664255250138032,-10.312007051369491,3.5570459065924216,-1.5992360319709895,4
Clément Akpa,Auxerre,DF,14.460675536222285,-3.7373497616171942,-0.5710113266374949,4.01223824746704,1.3123559756912415,0
