tsne_1,tsne_2,tsne_3,tsne_4,player_name,equipe,positions
-0.87114614,0.3659012,-1.7469612,2.5537968,Takumi Minamino,Monaco,"MF,FW"
-1.7935858,0.8534381,-1.9078684,1.8415028,Andy Diouf,Lens,MF
-1.8002625,1.4172893,0.6119336,-4.292509,Moïse Bombito,Nice,DF
-2.1371956,1.4795766,1.1563431,-3.4090097,Cédric Kipré,Reims,DF
-1.5458456,1.643435,-2.7419019,3.230086,Bradley Barcola,Paris S,FW
-1.8381653,1.1471905,0.6750738,-0.046374712,Kelvin Amian,Nantes,DF
-1.799893,3.0669107,-0.6522755,0.50163835,Gabriel Suazo,Toulouse,DF
-2.5416434,0.54942244,-2.1042979,-1.3770669,Denis Zakaria,Monaco,MF
-2.062976,0.33658838,1.3733691,-3.043549,Modibo Sagnan,Montpellier,DF
-3.063115,2.0940073,0.31135187,-3.5577345,Willian Pacho,Paris S,DF
-2.7959304,2.266899,0.6085063,-0.18523254,Dennis Appiah,Saint,DF
-2.0905478,2.105063,0.84356636,0.96526396,Ki-Jana Hoever,Auxerre,DF
-2.2596836,1.3400859,0.3396151,-2.760958,Jonathan Gradit,Lens,DF
-0.02902941,2.1388426,-2.2149405,1.2057047,Sebastian Nanasi,Strasbourg,"MF,FW"
-2.1680245,2.142052,-0.03762084,-0.5959875,Djibril Sidibé,Toulouse,DF
-2.5398417,-0.7784773,-1.6595519,0.13975692,Yassine Kechta,Le Havre,"MF,FW"
-2.9590948,1.4117706,-0.061976176,-2.8905303,Wilfried Singo,Monaco,DF
-0.79997283,0.756119,-1.863329,3.0441022,Hamed Junior Traorè,Auxerre,MF
-2.605251,0.4868976,-1.8041204,-1.3687781,Azor Matusiwa,Rennes,MF
-2.9198155,2.8020203,-1.9420446,0.21959749,Achraf Hakimi,Paris S,DF
-2.3652692,2.5128567,0.49390933,0.943054,Vanderson,Monaco,DF
-0.894936,3.6552408,-1.6215119,0.7164578,Lamine Camara,Monaco,MF
1.2799282,0.5487391,0.08147962,5.0513506,Alexandre Lacazette,Lyon,FW
-1.8275449,0.7191091,0.8759818,0.008674916,Nicolas Cozza,Nantes,"DF,MF"
-2.6743436,2.1760519,-1.4797993,-0.8766247,Warren Zaïre-Emery,Paris S,"MF,DF"
-1.9962598,-0.835986,-1.3333045,-0.27921277,Johann Lepenant,Nantes,MF
-2.0474138,1.3947033,0.51834434,-0.14763236,Carlens Arcus,Angers,DF
-3.1123002,2.9392712,-1.9453977,-1.3637291,Vitinha,Paris S,MF
-1.2035618,2.8108003,-2.4513628,2.4627962,Rayan Cherki,Lyon,"FW,MF"
-2.7919023,1.9790754,-0.2217261,-2.7002933,Geoffrey Kondogbia,Marseille,"DF,MF"
-2.1884425,-0.07183574,1.2686898,-4.0037208,Nicolas Pallois,Nantes,DF
-1.499936,0.9793758,1.3666688,-4.3127055,Dylan Batubinsika,Saint,DF
-3.2240965,2.3790953,-0.14815596,-3.331396,Lucas Beraldo,Paris S,DF
-2.2017028,1.7988803,-0.9361581,-1.7714585,Nemanja Matić,Lyon,MF
0.84160876,0.70471936,-1.4083065,3.588477,Josué Casimir,Le Havre,"FW,MF"
-2.0724986,2.7240648,0.26047832,-0.01786299,Ainsley Maitland-Niles,Lyon,DF
-1.6850476,1.0416245,0.5298096,-0.09868367,Aurélio Buta,Reims,DF
-2.153694,1.5320863,0.3450466,-2.7679524,Dante,Nice,DF
-2.4324586,-0.8064925,-1.3973523,-0.44161823,Jean-Eudes Aholou,Angers,MF
-1.8007476,0.0035561286,1.1757272,-3.9993477,Sinaly Diomande,Auxerre,DF
-2.062844,2.1208067,0.951444,1.1145711,Melvin Bard,Nice,"DF,MF"
-2.3374503,1.2365047,0.31287378,-3.100315,Youssouf Ndayishimiye,Nice,DF
-1.6468416,3.0084662,-0.8122106,0.532259,Caio Henrique Oliveira Silva,Monaco,DF
-2.89468,2.1226823,-0.18492542,-0.28170627,Thomas Meunier,Lille,DF
-2.9186625,2.2136233,-2.1798642,-0.2183978,Fabián Ruiz Peña,Paris S,MF
-0.073186316,-0.4109952,-1.5050329,3.480442,Issa Soumaré,Le Havre,"FW,MF"
-2.9284925,0.60076356,-0.05962748,-0.56789684,Nicolás Tagliafico,Lyon,DF
1.0394019,0.06676031,-0.7616289,4.04244,Zakaria Aboukhlal,Toulouse,"MF,FW"
-1.7897803,1.1935263,0.6205458,-0.03359044,Enzo Tchato,Montpellier,DF
0.92114335,1.9757396,-1.2853501,2.4899223,Farid El Melali,Angers,FW
-1.1825428,-0.21249324,-0.4859358,-1.7812123,Joris Chotard,Montpellier,MF
1.0350447,-0.24592002,-0.8066311,3.8584263,Lucas Stassin,Saint,FW
-2.9463577,2.1410217,-2.0994003,-0.23508714,João Neves,Paris S,"MF,DF"
0.6947356,-0.12820831,-1.0060279,3.924038,Breel Embolo,Monaco,"FW,MF"
